date,home_team,away_team,home_score,away_score,gameweek
2018-08-20 00:00:00,Crystal Palace,Liverpool,0,2,2
2018-08-19 00:00:00,Burnley,Watford,1,3,2
2018-08-19 00:00:00,Manchester City,Huddersfield Town,6,1,2
2018-08-19 00:00:00,Brighton and Hove Albion,Manchester United,3,2,2
2018-08-18 00:00:00,Cardiff City,Newcastle United,0,0,2
2018-08-18 00:00:00,Everton,Southampton,2,1,2
2018-08-18 00:00:00,Leicester City,Wolverhampton Wanderers,2,0,2
2018-08-18 00:00:00,Tottenham Hotspur,Fulham,3,1,2
2018-08-18 00:00:00,West Ham United,Bournemouth,1,2,2
2018-08-18 00:00:00,Chelsea,Arsenal,3,2,2
2018-08-12 00:00:00,Liverpool,West Ham United,4,0,1
2018-08-12 00:00:00,Southampton,Burnley,0,0,1
2018-08-12 00:00:00,Arsenal,Manchester City,0,2,1
2018-08-11 00:00:00,Newcastle United,Tottenham Hotspur,1,2,1
2018-08-11 00:00:00,Bournemouth,Cardiff City,2,0,1
2018-08-11 00:00:00,Fulham,Crystal Palace,0,2,1
2018-08-11 00:00:00,Huddersfield Town,Chelsea,0,3,1
2018-08-11 00:00:00,Watford,Brighton and Hove Albion,2,0,1
2018-08-11 00:00:00,Wolverhampton Wanderers,Everton,2,2,1
2018-08-10 00:00:00,Manchester United,Leicester City,2,1,1
