Season,Absence/Suspension,competition,from,until,Days,Games missed,player,url
16/17,Indirect card suspension, ,"Sep 5, 2016","Sep 11, 2016",6 Tage,1,Jayson Molumby,/jayson-molumby/profil/spieler/357656
18/19,Indirect card suspension,Championship Play-Offs,"May 13, 2019","May 15, 2019",2 Tage,1,Dwight Gayle,/dwight-gayle/profil/spieler/196522
18/19,Suspension through sports court,Championship,"Feb 13, 2019","Feb 20, 2019",7 Tage,2,Dwight Gayle,/dwight-gayle/profil/spieler/196522
21/22,special leave,,"Jan 1, 2022","Jan 31, 2022",30 Tage,?,Tommy Doyle,/tommy-doyle/profil/spieler/433183
16/17,Yellow card suspension,Liga Portugal,"Apr 16, 2017","Apr 24, 2017",8 Tage,1,Rui Fonte,/rui-fonte/profil/spieler/9335
14/15,Yellow card suspension,Liga Portugal,"May 10, 2015","May 17, 2015",7 Tage,1,Rui Fonte,/rui-fonte/profil/spieler/9335
21/22,Red card suspension,Championship,"Feb 15, 2022","Mar 17, 2022",30 Tage,1,Junior Hoilett,/junior-hoilett/profil/spieler/58993
15/16,Indirect card suspension,Regionalliga Südwest,"Mar 28, 2016","Apr 3, 2016",6 Tage,1,Robin Koch,/robin-koch/profil/spieler/328784
14/15,Yellow card suspension,Regionalliga Südwest,"Apr 6, 2015","Apr 13, 2015",7 Tage,1,Robin Koch,/robin-koch/profil/spieler/328784
14/15,Indirect card suspension,Regionalliga Südwest,"Dec 8, 2014","Mar 1, 2015",83 Tage,1,Robin Koch,/robin-koch/profil/spieler/328784
14/15,Indirect card suspension,Regionalliga Südwest,"Oct 22, 2014","Oct 25, 2014",3 Tage,1,Robin Koch,/robin-koch/profil/spieler/328784
19/20,Yellow card suspension,LaLiga,"Feb 15, 2020","Feb 23, 2020",8 Tage,1,Gabriel Paulista,/gabriel-paulista/profil/spieler/149498
18/19,Yellow card suspension,LaLiga,"Jan 20, 2019","Jan 27, 2019",7 Tage,1,Gabriel Paulista,/gabriel-paulista/profil/spieler/149498
17/18,Yellow card suspension,LaLiga,"Apr 15, 2018","Apr 19, 2018",4 Tage,1,Gabriel Paulista,/gabriel-paulista/profil/spieler/149498
17/18,Indirect card suspension,LaLiga,"Jan 21, 2018","Jan 28, 2018",7 Tage,1,Gabriel Paulista,/gabriel-paulista/profil/spieler/149498
15/16,Suspension through sports court,Premier League,"Sep 25, 2015","Sep 27, 2015",2 Tage,1,Gabriel Paulista,/gabriel-paulista/profil/spieler/149498
21/22,Yellow card suspension,Championship,"Nov 19, 2021","Nov 21, 2021",2 Tage,1,Denis Odoi,/denis-odoi/profil/spieler/59641
19/20,Red card suspension,Championship,"Dec 11, 2019","Dec 26, 2019",15 Tage,3,Denis Odoi,/denis-odoi/profil/spieler/59641
17/18,Indirect card suspension,Premier League,"May 28, 2018","Aug 18, 2018",82 Tage,2,Denis Odoi,/denis-odoi/profil/spieler/59641
17/18,Indirect card suspension,Championship,"Dec 4, 2017","Dec 11, 2017",7 Tage,1,Denis Odoi,/denis-odoi/profil/spieler/59641
16/17,Yellow card suspension,Championship,"Nov 28, 2016","Dec 5, 2016",7 Tage,1,Denis Odoi,/denis-odoi/profil/spieler/59641
18/19,Indirect card suspension,Premier League,"Nov 26, 2018","Dec 3, 2018",7 Tage,1,Jordan Henderson,/jordan-henderson/profil/spieler/61651
13/14,Red card suspension,Premier League,"Apr 13, 2014","May 4, 2014",21 Tage,3,Jordan Henderson,/jordan-henderson/profil/spieler/61651
21/22,Indirect card suspension,Scottish League One,"Feb 13, 2022","Feb 20, 2022",7 Tage,1,Luis Longstaff,/luis-longstaff/profil/spieler/433182
20/21,Red card suspension,League Two,"Apr 2, 2021","Apr 13, 2021",11 Tage,3,Liam Gibson,/liam-gibson/profil/spieler/312553
20/21,Yellow card suspension,Serie A,"Feb 23, 2021","Mar 1, 2021",6 Tage,1,Marvin Zeegelaar,/marvin-zeegelaar/profil/spieler/92899
18/19,Yellow card suspension,Serie A,"May 21, 2019","May 27, 2019",6 Tage,1,Marvin Zeegelaar,/marvin-zeegelaar/profil/spieler/92899
18/19,Indirect card suspension,Serie A,"Apr 10, 2019","Apr 14, 2019",4 Tage,1,Marvin Zeegelaar,/marvin-zeegelaar/profil/spieler/92899
17/18,Red card suspension,Premier League,"Dec 10, 2017","Dec 24, 2017",14 Tage,3,Marvin Zeegelaar,/marvin-zeegelaar/profil/spieler/92899
16/17,Yellow card suspension,Liga Portugal,"Apr 15, 2017","Apr 23, 2017",8 Tage,1,Marvin Zeegelaar,/marvin-zeegelaar/profil/spieler/92899
15/16,Yellow card suspension,Liga Portugal,"Mar 13, 2016","Mar 20, 2016",7 Tage,1,Marvin Zeegelaar,/marvin-zeegelaar/profil/spieler/92899
15/16,Yellow card suspension,Liga Portugal,"Dec 8, 2015","Dec 12, 2015",4 Tage,1,Marvin Zeegelaar,/marvin-zeegelaar/profil/spieler/92899
14/15,Yellow card suspension,Liga Portugal,"May 10, 2015","May 17, 2015",7 Tage,1,Marvin Zeegelaar,/marvin-zeegelaar/profil/spieler/92899
12/13,Red card suspension, ,"Jan 20, 2013","Feb 3, 2013",14 Tage,2,Marvin Zeegelaar,/marvin-zeegelaar/profil/spieler/92899
12/13,Red card suspension, ,"Sep 30, 2012","Oct 21, 2012",21 Tage,2,Marvin Zeegelaar,/marvin-zeegelaar/profil/spieler/92899
20/21,Indirect card suspension,Championship,"Oct 21, 2020","Oct 26, 2020",5 Tage,1,Adam Clayton,/adam-clayton/profil/spieler/73067
18/19,Yellow card suspension,Championship,"Oct 1, 2018","Oct 3, 2018",2 Tage,1,Adam Clayton,/adam-clayton/profil/spieler/73067
17/18,Yellow card suspension,EFL Cup,"Sep 18, 2017","Sep 20, 2017",2 Tage,1,Adam Clayton,/adam-clayton/profil/spieler/73067
15/16,Yellow card suspension,Championship,"Feb 16, 2016","Feb 29, 2016",13 Tage,2,Adam Clayton,/adam-clayton/profil/spieler/73067
14/15,Indirect card suspension,Championship,"Jan 5, 2015","Jan 12, 2015",7 Tage,1,Adam Clayton,/adam-clayton/profil/spieler/73067
14/15,Yellow card suspension,Championship,"Nov 24, 2014","Dec 1, 2014",7 Tage,1,Adam Clayton,/adam-clayton/profil/spieler/73067
13/14,Yellow card suspension,Championship,"Dec 2, 2013","Dec 5, 2013",3 Tage,1,Adam Clayton,/adam-clayton/profil/spieler/73067
13/14,Red card suspension,Premier League,"Jan 1, 2014","Jan 19, 2014",18 Tage,4,Kevin Nolan,/kevin-nolan/profil/spieler/3950
13/14,Red card suspension,Premier League,"Dec 7, 2013","Dec 22, 2013",15 Tage,3,Kevin Nolan,/kevin-nolan/profil/spieler/3950
12/13,Yellow card suspension,Premier League,"Dec 30, 2012","Jan 2, 2013",3 Tage,1,Kevin Nolan,/kevin-nolan/profil/spieler/3950
08/09,Red card suspension,Premier League,"Feb 22, 2009","Mar 15, 2009",21 Tage,3,Kevin Nolan,/kevin-nolan/profil/spieler/3950
17/18,Red card suspension,UEFA European Under-21 Championship Qualifying,"Jun 23, 2017","Sep 6, 2017",75 Tage,?,Diogo Jota,/diogo-jota/profil/spieler/340950
15/16,Yellow card suspension,Liga Portugal,"Feb 1, 2016","Feb 7, 2016",6 Tage,1,Diogo Jota,/diogo-jota/profil/spieler/340950
15/16,Red card suspension,Liga Portugal,"Aug 18, 2015","Aug 22, 2015",4 Tage,1,Diogo Jota,/diogo-jota/profil/spieler/340950
18/19,Suspension through sports court, ,"Jan 10, 2019","Jan 17, 2019",7 Tage,2,Charlie Austin,/charlie-austin/profil/spieler/129627
17/18,Suspension through sports court,Premier League,"Dec 24, 2017","Jan 3, 2018",10 Tage,3,Charlie Austin,/charlie-austin/profil/spieler/129627
14/15,Indirect card suspension,Premier League,"Dec 7, 2014","Dec 16, 2014",9 Tage,1,Charlie Austin,/charlie-austin/profil/spieler/129627
15/16,Red card suspension,Premier League 2,"Nov 21, 2015","Nov 28, 2015",7 Tage,1,George Dobson,/george-dobson/profil/spieler/292734
18/19,Indirect card suspension,Jupiler Pro League,"Jan 28, 2019","Feb 4, 2019",7 Tage,1,Marvelous Nakamba,/marvelous-nakamba/profil/spieler/324882
17/18,Yellow card suspension,Jupiler Pro League,"Feb 19, 2018","Feb 26, 2018",7 Tage,1,Marvelous Nakamba,/marvelous-nakamba/profil/spieler/324882
16/17,Called up to national team,Eredivisie,"Jan 2, 2017","Jan 23, 2017",21 Tage,2,Marvelous Nakamba,/marvelous-nakamba/profil/spieler/324882
16/17,Yellow card suspension,Eredivisie,"Nov 21, 2016","Nov 27, 2016",6 Tage,1,Marvelous Nakamba,/marvelous-nakamba/profil/spieler/324882
15/16,Indirect card suspension,Eredivisie,"Nov 9, 2015","Nov 23, 2015",14 Tage,1,Marvelous Nakamba,/marvelous-nakamba/profil/spieler/324882
16/17,Indirect card suspension,KNVB beker,"Sep 23, 2015","Sep 23, 2016",366 Tage,1,Marvelous Nakamba,/marvelous-nakamba/profil/spieler/324882
14/15,No eligibility,Eredivisie,"Aug 14, 2014","Sep 1, 2014",18 Tage,4,Marvelous Nakamba,/marvelous-nakamba/profil/spieler/324882
17/18,Yellow card suspension,Championship,"Nov 6, 2017","Nov 20, 2017",14 Tage,1,Cyrus Christie,/cyrus-christie/profil/spieler/158623
21/22,Suspension through sports court,World Cup qualification South America,"Feb 14, 2022","Mar 31, 2022",45 Tage,2,Cristian Romero,/cristian-romero/profil/spieler/355915
21/22,Red card suspension,World Cup qualification South America,"Jul 12, 2021","Sep 4, 2021",54 Tage,?,Cristian Romero,/cristian-romero/profil/spieler/355915
20/21,Yellow card suspension,Serie A,"Apr 13, 2021","Apr 19, 2021",6 Tage,1,Cristian Romero,/cristian-romero/profil/spieler/355915
20/21,Yellow card suspension,Italy Cup,"Feb 4, 2021","Feb 11, 2021",7 Tage,1,Cristian Romero,/cristian-romero/profil/spieler/355915
20/21,Yellow card suspension,Serie A,"Jan 4, 2021","Jan 7, 2021",3 Tage,1,Cristian Romero,/cristian-romero/profil/spieler/355915
20/21,Indirect card suspension,Serie A,"Aug 3, 2020","Sep 27, 2020",55 Tage,?,Cristian Romero,/cristian-romero/profil/spieler/355915
19/20,Yellow card suspension,Serie A,"Feb 3, 2020","Feb 10, 2020",7 Tage,1,Cristian Romero,/cristian-romero/profil/spieler/355915
19/20,Yellow card suspension,Serie A,"Oct 7, 2019","Oct 21, 2019",14 Tage,1,Cristian Romero,/cristian-romero/profil/spieler/355915
18/19,Yellow card suspension,Serie A,"May 12, 2019","May 19, 2019",7 Tage,1,Cristian Romero,/cristian-romero/profil/spieler/355915
18/19,Red card suspension,Serie A,"Apr 5, 2019","Apr 8, 2019",3 Tage,1,Cristian Romero,/cristian-romero/profil/spieler/355915
18/19,Yellow card suspension,Serie A,"Feb 5, 2019","Feb 11, 2019",6 Tage,1,Cristian Romero,/cristian-romero/profil/spieler/355915
18/19,Indirect card suspension,Serie A,"Oct 29, 2018","Nov 1, 2018",3 Tage,1,Cristian Romero,/cristian-romero/profil/spieler/355915
18/19,No eligibility, ,"Jul 1, 2018","Sep 27, 2018",88 Tage,6,Cristian Romero,/cristian-romero/profil/spieler/355915
16/17,Indirect card suspension,U-20 South American Championship 2017,"Jan 29, 2017","Feb 1, 2017",3 Tage,1,Cristian Romero,/cristian-romero/profil/spieler/355915
16/17,Indirect card suspension,U-20 South American Championship 2017,"Jan 20, 2017","Jan 23, 2017",3 Tage,1,Cristian Romero,/cristian-romero/profil/spieler/355915
16/17,Yellow card suspension,2. Bundesliga,"Feb 20, 2017","Feb 27, 2017",7 Tage,1,Marco Stiepermann,/marco-stiepermann/profil/spieler/45760
15/16,Yellow card suspension,2. Bundesliga,"May 9, 2016","May 16, 2016",7 Tage,1,Marco Stiepermann,/marco-stiepermann/profil/spieler/45760
15/16,Yellow card suspension,2. Bundesliga,"Mar 3, 2016","Mar 7, 2016",4 Tage,1,Marco Stiepermann,/marco-stiepermann/profil/spieler/45760
13/14,Yellow card suspension,2. Bundesliga,"Apr 29, 2014","May 6, 2014",7 Tage,1,Marco Stiepermann,/marco-stiepermann/profil/spieler/45760
13/14,Yellow card suspension,2. Bundesliga,"Dec 10, 2013","Dec 17, 2013",7 Tage,1,Marco Stiepermann,/marco-stiepermann/profil/spieler/45760
09/10,Called up to national team, ,"Feb 1, 2010","Feb 10, 2010",9 Tage,1,Marco Stiepermann,/marco-stiepermann/profil/spieler/45760
08/09,Indirect card suspension,A-Junioren Bundesliga West,"Apr 27, 2009","May 11, 2009",14 Tage,1,Marco Stiepermann,/marco-stiepermann/profil/spieler/45760
21/22,Yellow card suspension,Serie A,"Apr 5, 2022","Apr 11, 2022",6 Tage,1,Lucas Torreira,/lucas-torreira/profil/spieler/318077
21/22,Indirect card suspension,Serie A,"Feb 8, 2022","Feb 15, 2022",7 Tage,1,Lucas Torreira,/lucas-torreira/profil/spieler/318077
20/21,special leave,LaLiga,"Mar 25, 2021","Apr 7, 2021",13 Tage,1,Lucas Torreira,/lucas-torreira/profil/spieler/318077
18/19,Red card suspension,Premier League,"Mar 3, 2019","Apr 8, 2019",36 Tage,3,Lucas Torreira,/lucas-torreira/profil/spieler/318077
17/18,Yellow card suspension,Serie A,"Apr 2, 2018","Apr 4, 2018",2 Tage,1,Lucas Torreira,/lucas-torreira/profil/spieler/318077
16/17,Yellow card suspension,Serie A,"Feb 21, 2017","Feb 27, 2017",6 Tage,1,Lucas Torreira,/lucas-torreira/profil/spieler/318077
15/16,Yellow card suspension,Serie B,"Apr 5, 2016","Apr 11, 2016",6 Tage,1,Lucas Torreira,/lucas-torreira/profil/spieler/318077
15/16,Indirect card suspension,Serie B,"Nov 30, 2015","Dec 8, 2015",8 Tage,1,Lucas Torreira,/lucas-torreira/profil/spieler/318077
14/15,Red card suspension,Viareggio Cup,"Feb 10, 2015","Feb 13, 2015",3 Tage,1,Lucas Torreira,/lucas-torreira/profil/spieler/318077
21/22,Suspended, ,"Jul 16, 2021",-,303 Tage,42,Gylfi Sigurdsson,/gylfi-sigurdsson/profil/spieler/90466
17/18,special leave,Premier League,"Aug 10, 2017","Aug 14, 2017",4 Tage,1,Gylfi Sigurdsson,/gylfi-sigurdsson/profil/spieler/90466
14/15,Red card suspension,Premier League,"Jan 26, 2015","Feb 12, 2015",17 Tage,3,Gylfi Sigurdsson,/gylfi-sigurdsson/profil/spieler/90466
15/16,Yellow card suspension,Scottish Premiership,"Oct 3, 2015","Oct 21, 2015",18 Tage,1,Callum Paterson,/callum-paterson/profil/spieler/169555
13/14,Yellow card suspension,Scottish Premiership,"Feb 14, 2014","Feb 17, 2014",3 Tage,1,Callum Paterson,/callum-paterson/profil/spieler/169555
17/18,Red card suspension, ,"Sep 13, 2017","Sep 25, 2017",12 Tage,3,Adama Traoré,/adama-traore/profil/spieler/204103
14/15,Yellow card suspension,LaLiga2,"May 24, 2015","Jun 1, 2015",8 Tage,1,Adama Traoré,/adama-traore/profil/spieler/204103
