season,absence/suspension,competition,from,until,days,games,player,url
2122,No eligibility,UEFA Champions League,2021-09-03,2021-12-31,119,6,Phil Jones,/phil-jones/profil/spieler/117996
2122,Yellow card suspension,Premier League,2022-01-04,2022-01-16,12,1,Scott McTominay,/scott-mctominay/profil/spieler/315969
2122,Yellow card suspension,Serie A,2021-12-07,2021-12-12,5,1,Samir,/samir/profil/spieler/255744
2122,Yellow card suspension,World Cup qualification Europe,2021-09-07,2021-10-09,32,1,Ozan Kabak,/ozan-kabak/profil/spieler/361260
2122,Red card suspension,Premier League,2021-12-20,2022-01-03,14,2,Andrew Robertson,/andrew-robertson/profil/spieler/234803
2122,Red card suspension,EFL Cup,2021-12-20,2021-12-23,3,1,Andrew Robertson,/andrew-robertson/profil/spieler/234803
2122,Called up to national team,Premier League,2022-01-03,2022-02-06,34,3,Imrân Louza,/imran-louza/profil/spieler/635336
2122,No eligibility,Europa League,2021-09-03,2021-12-10,98,6,Nampalys Mendy,/nampalys-mendy/profil/spieler/111051
2122,Yellow card suspension,Premier League,2022-04-17,2022-04-29,12,2,Yves Bissouma,/yves-bissouma/profil/spieler/410425
2122,Called up to national team,Premier League,2022-01-03,2022-01-27,24,3,Yves Bissouma,/yves-bissouma/profil/spieler/410425
2122,Yellow card suspension,Premier League,2021-12-25,2021-12-27,2,1,Yves Bissouma,/yves-bissouma/profil/spieler/410425
2122,Yellow card suspension, ,2021-12-20,2021-12-28,8,1,Isaac Hayden,/isaac-hayden/profil/spieler/206225
2122,special leave, ,2021-08-16,2021-08-23,7,2,Takehiro Tomiyasu,/takehiro-tomiyasu/profil/spieler/331560
2122,Suspended, ,2021-07-16,,303,42,Gylfi Sigurdsson,/gylfi-sigurdsson/profil/spieler/90466
2122,Called up to national team,Premier League,2022-01-03,2022-02-06,34,3,Moussa Djenepo,/moussa-djenepo/profil/spieler/485424
2122,Called up to national team,Premier League,2022-01-03,2022-02-04,32,1,Maxwel Cornet,/maxwel-cornet/profil/spieler/234781
2122,Yellow card suspension,Premier League,2021-11-28,2021-12-01,3,1,Matt Ritchie,/matt-ritchie/profil/spieler/92469
2122,Called up to national team, ,2022-01-03,2022-02-06,34,4,William Troost-Ekong,/william-troost-ekong/profil/spieler/192875
2122,Yellow card suspension,Premier League,2021-12-27,2021-12-28,1,1,Declan Rice,/declan-rice/profil/spieler/357662
2122,Indirect card suspension,World Cup qualification Europe,2021-09-07,2021-10-09,32,1,Caglar Söyüncü,/caglar-soyuncu/profil/spieler/320141
2122,Red card suspension,Premier League,2022-02-16,2022-02-20,4,1,Lewis Dunk,/lewis-dunk/profil/spieler/148153
2122,visa issues,International Friendlies,2022-03-20,2022-03-26,6,1,Bertrand Traoré,/bertrand-traore/profil/spieler/131996
2122,Called up to national team,Premier League,2022-01-03,2022-02-06,34,2,Bertrand Traoré,/bertrand-traore/profil/spieler/131996
2122,Yellow card suspension,World Cup qualification Europe,2021-10-09,2021-10-12,3,1,Mateo Kovacic,/mateo-kovacic/profil/spieler/51471
2122,Yellow card suspension,UEFA Champions League,2022-04-07,2022-04-14,7,1,Gabriel Jesus,/gabriel-jesus/profil/spieler/363205
2122,special leave,Community Shield,2021-07-12,2021-08-09,28,1,Gabriel Jesus,/gabriel-jesus/profil/spieler/363205
2122,Red card suspension,Europa League,2022-04-11,2022-04-18,7,1,Aaron Cresswell,/aaron-cresswell/profil/spieler/92571
2122,Called up to national team,Premier League,2022-01-03,2022-02-06,34,2,Alex Iwobi,/alex-iwobi/profil/spieler/242631
2122,Called up to national team,Premier League,2022-01-03,2022-02-06,34,3,Adam Masina,/adam-masina/profil/spieler/286949
2122,Red card suspension,Premier League,2021-08-22,2021-09-25,34,3,Ayoze Pérez,/ayoze-perez/profil/spieler/246968
2122,No eligibility,Europa League,2021-09-03,2021-12-10,98,6,Wesley Fofana,/wesley-fofana/profil/spieler/475411
2122,No eligibility,UEFA Champions League,2021-09-03,2021-12-31,119,6,Lee Grant,/lee-grant/profil/spieler/13460
2122,Called up to national team, ,2022-01-03,2022-02-06,34,6,Mohamed Salah,/mohamed-salah/profil/spieler/148455
2122,Suspension through sports court,World Cup qualification South America,2022-02-14,2022-03-31,45,2,Cristian Romero,/cristian-romero/profil/spieler/355915
2122,Red card suspension,World Cup qualification South America,2021-07-12,2021-09-04,54,,Cristian Romero,/cristian-romero/profil/spieler/355915
2122,Red card suspension,Premier League,2021-12-01,2021-12-05,4,1,Ciaran Clark,/ciaran-clark/profil/spieler/98240
2122,Yellow card suspension,World Cup qualification South America,2021-10-09,2021-10-12,3,1,Rodrigo Bentancur,/rodrigo-bentancur/profil/spieler/354362
2122,Called up to national team, ,2021-09-09,2021-09-11,2,1,Rodrigo Bentancur,/rodrigo-bentancur/profil/spieler/354362
2122,special leave,Premier League,2022-01-20,2022-01-23,3,1,Victor Lindelöf,/victor-lindelof/profil/spieler/184573
2122,Red card suspension,Premier League,2021-10-25,2021-11-21,27,3,Paul Pogba,/paul-pogba/profil/spieler/122153
2122,Yellow card suspension,Premier League,2021-12-13,2021-12-16,3,1,Shane Duffy,/shane-duffy/profil/spieler/119269
2122,Yellow card suspension,Jupiler Pro League,2021-07-23,2021-07-25,2,1,Albert Sambi Lokonga,/albert-sambi-lokonga/profil/spieler/381967
2122,Yellow card suspension,World Cup qualification Europe,2021-09-06,2021-09-08,2,1,Romelu Lukaku,/romelu-lukaku/profil/spieler/96341
2122,Yellow card suspension,Super League,2021-10-18,2021-10-25,7,1,Toti,/toti/profil/spieler/606718
2122,Called up to national team, ,2022-01-03,2022-02-06,34,4,Kelechi Iheanacho,/kelechi-iheanacho/profil/spieler/295330
2122,special leave,Community Shield,2021-07-12,2021-08-08,27,1,John Stones,/john-stones/profil/spieler/186590
2122,special leave, ,2022-02-25,2022-03-11,14,4,Andriy Yarmolenko,/andriy-yarmolenko/profil/spieler/69015
2122,special leave, ,2022-01-19,2022-01-23,4,2,Jadon Sancho,/jadon-sancho/profil/spieler/401173
2122,Yellow card suspension,World Cup qualification Europe,2021-09-02,2021-09-05,3,1,Oleksandr Zinchenko,/oleksandr-zinchenko/profil/spieler/203853
