date,home_team,away_team,home_score,away_score,gameweek
2021-08-13T19:00:00Z,Brentford,Arsenal,2,0,1
2021-08-14T11:30:00Z,Man Utd,Leeds,5,1,1
2021-08-14T14:00:00Z,Burnley,Brighton,1,2,1
2021-08-14T14:00:00Z,Chelsea,Crystal Palace,3,0,1
2021-08-14T14:00:00Z,Everton,Southampton,3,1,1
2021-08-14T14:00:00Z,Leicester,Wolves,1,0,1
2021-08-14T14:00:00Z,Watford,Aston Villa,3,2,1
2021-08-14T16:30:00Z,Norwich,Liverpool,0,3,1
2021-08-15T13:00:00Z,Newcastle,West Ham,2,4,1
2021-08-15T15:30:00Z,Spurs,Man City,1,0,1
2021-08-21T11:30:00Z,Liverpool,Burnley,2,0,2
2021-08-21T14:00:00Z,Aston Villa,Newcastle,2,0,2
2021-08-21T14:00:00Z,Crystal Palace,Brentford,0,0,2
2021-08-21T14:00:00Z,Leeds,Everton,2,2,2
2021-08-21T14:00:00Z,Man City,Norwich,5,0,2
2021-08-21T16:30:00Z,Brighton,Watford,2,0,2
2021-08-22T13:00:00Z,Southampton,Man Utd,1,1,2
2021-08-22T13:00:00Z,Wolves,Spurs,0,1,2
2021-08-22T15:30:00Z,Arsenal,Chelsea,0,2,2
2021-08-23T19:00:00Z,West Ham,Leicester,4,1,2
2021-08-28T11:30:00Z,Man City,Arsenal,5,0,3
2021-08-28T14:00:00Z,Aston Villa,Brentford,1,1,3
2021-08-28T14:00:00Z,Brighton,Everton,0,2,3
2021-08-28T14:00:00Z,Newcastle,Southampton,2,2,3
2021-08-28T14:00:00Z,Norwich,Leicester,1,2,3
2021-08-28T14:00:00Z,West Ham,Crystal Palace,2,2,3
2021-08-28T16:30:00Z,Liverpool,Chelsea,1,1,3
2021-08-29T13:00:00Z,Burnley,Leeds,1,1,3
2021-08-29T13:00:00Z,Spurs,Watford,1,0,3
2021-08-29T15:30:00Z,Wolves,Man Utd,0,1,3
2021-09-11T11:30:00Z,Crystal Palace,Spurs,3,0,4
2021-09-11T14:00:00Z,Arsenal,Norwich,1,0,4
2021-09-11T14:00:00Z,Brentford,Brighton,0,1,4
2021-09-11T14:00:00Z,Leicester,Man City,0,1,4
2021-09-11T14:00:00Z,Man Utd,Newcastle,4,1,4
2021-09-11T14:00:00Z,Southampton,West Ham,0,0,4
2021-09-11T14:00:00Z,Watford,Wolves,0,2,4
2021-09-11T16:30:00Z,Chelsea,Aston Villa,3,0,4
2021-09-12T15:30:00Z,Leeds,Liverpool,0,3,4
2021-09-13T19:00:00Z,Everton,Burnley,3,1,4
2021-09-17T19:00:00Z,Newcastle,Leeds,1,1,5
2021-09-18T11:30:00Z,Wolves,Brentford,0,2,5
2021-09-18T14:00:00Z,Burnley,Arsenal,0,1,5
2021-09-18T14:00:00Z,Liverpool,Crystal Palace,3,0,5
2021-09-18T14:00:00Z,Man City,Southampton,0,0,5
2021-09-18T14:00:00Z,Norwich,Watford,1,3,5
2021-09-18T16:30:00Z,Aston Villa,Everton,3,0,5
2021-09-19T13:00:00Z,Brighton,Leicester,2,1,5
2021-09-19T13:00:00Z,West Ham,Man Utd,1,2,5
2021-09-19T15:30:00Z,Spurs,Chelsea,0,3,5
2021-09-25T11:30:00Z,Chelsea,Man City,0,1,6
2021-09-25T11:30:00Z,Man Utd,Aston Villa,0,1,6
2021-09-25T14:00:00Z,Everton,Norwich,2,0,6
2021-09-25T14:00:00Z,Leeds,West Ham,1,2,6
2021-09-25T14:00:00Z,Leicester,Burnley,2,2,6
2021-09-25T14:00:00Z,Watford,Newcastle,1,1,6
2021-09-25T16:30:00Z,Brentford,Liverpool,3,3,6
2021-09-26T13:00:00Z,Southampton,Wolves,0,1,6
2021-09-26T15:30:00Z,Arsenal,Spurs,3,1,6
2021-09-27T19:00:00Z,Crystal Palace,Brighton,1,1,6
2021-10-02T11:30:00Z,Man Utd,Everton,1,1,7
2021-10-02T14:00:00Z,Burnley,Norwich,0,0,7
2021-10-02T14:00:00Z,Chelsea,Southampton,3,1,7
2021-10-02T14:00:00Z,Leeds,Watford,1,0,7
2021-10-02T14:00:00Z,Wolves,Newcastle,2,1,7
2021-10-02T16:30:00Z,Brighton,Arsenal,0,0,7
2021-10-03T13:00:00Z,Crystal Palace,Leicester,2,2,7
2021-10-03T13:00:00Z,Spurs,Aston Villa,2,1,7
2021-10-03T13:00:00Z,West Ham,Brentford,1,2,7
2021-10-03T15:30:00Z,Liverpool,Man City,2,2,7
2021-10-16T11:30:00Z,Watford,Liverpool,0,5,8
2021-10-16T14:00:00Z,Aston Villa,Wolves,2,3,8
2021-10-16T14:00:00Z,Leicester,Man Utd,4,2,8
2021-10-16T14:00:00Z,Man City,Burnley,2,0,8
2021-10-16T14:00:00Z,Norwich,Brighton,0,0,8
2021-10-16T14:00:00Z,Southampton,Leeds,1,0,8
2021-10-16T16:30:00Z,Brentford,Chelsea,0,1,8
2021-10-17T13:00:00Z,Everton,West Ham,0,1,8
2021-10-17T15:30:00Z,Newcastle,Spurs,2,3,8
2021-10-18T19:00:00Z,Arsenal,Crystal Palace,2,2,8
2021-10-22T19:00:00Z,Arsenal,Aston Villa,3,1,9
2021-10-23T11:30:00Z,Chelsea,Norwich,7,0,9
2021-10-23T14:00:00Z,Crystal Palace,Newcastle,1,1,9
2021-10-23T14:00:00Z,Everton,Watford,2,5,9
2021-10-23T14:00:00Z,Leeds,Wolves,1,1,9
2021-10-23T14:00:00Z,Southampton,Burnley,2,2,9
2021-10-23T16:30:00Z,Brighton,Man City,1,4,9
2021-10-24T13:00:00Z,Brentford,Leicester,1,2,9
2021-10-24T13:00:00Z,West Ham,Spurs,1,0,9
2021-10-24T15:30:00Z,Man Utd,Liverpool,0,5,9
2021-10-30T11:30:00Z,Leicester,Arsenal,0,2,10
2021-10-30T14:00:00Z,Burnley,Brentford,3,1,10
2021-10-30T14:00:00Z,Liverpool,Brighton,2,2,10
2021-10-30T14:00:00Z,Man City,Crystal Palace,0,2,10
2021-10-30T14:00:00Z,Newcastle,Chelsea,0,3,10
2021-10-30T14:00:00Z,Watford,Southampton,0,1,10
2021-10-30T16:30:00Z,Spurs,Man Utd,0,3,10
2021-10-31T14:00:00Z,Norwich,Leeds,1,2,10
2021-10-31T16:30:00Z,Aston Villa,West Ham,1,4,10
2021-11-01T20:00:00Z,Wolves,Everton,2,1,10
2021-11-05T20:00:00Z,Southampton,Aston Villa,1,0,11
2021-11-06T12:30:00Z,Man Utd,Man City,0,2,11
2021-11-06T15:00:00Z,Brentford,Norwich,1,2,11
2021-11-06T15:00:00Z,Chelsea,Burnley,1,1,11
2021-11-06T15:00:00Z,Crystal Palace,Wolves,2,0,11
2021-11-06T17:30:00Z,Brighton,Newcastle,1,1,11
2021-11-07T14:00:00Z,Arsenal,Watford,1,0,11
2021-11-07T14:00:00Z,Everton,Spurs,0,0,11
2021-11-07T14:00:00Z,Leeds,Leicester,1,1,11
2021-11-07T16:30:00Z,West Ham,Liverpool,3,2,11
2021-11-20T12:30:00Z,Leicester,Chelsea,0,3,12
2021-11-20T15:00:00Z,Aston Villa,Brighton,2,0,12
2021-11-20T15:00:00Z,Burnley,Crystal Palace,3,3,12
2021-11-20T15:00:00Z,Newcastle,Brentford,3,3,12
2021-11-20T15:00:00Z,Norwich,Southampton,2,1,12
2021-11-20T15:00:00Z,Watford,Man Utd,4,1,12
2021-11-20T15:00:00Z,Wolves,West Ham,1,0,12
2021-11-20T17:30:00Z,Liverpool,Arsenal,4,0,12
2021-11-21T14:00:00Z,Man City,Everton,3,0,12
2021-11-21T16:30:00Z,Spurs,Leeds,2,1,12
2021-11-27T12:30:00Z,Arsenal,Newcastle,2,0,13
2021-11-27T15:00:00Z,Crystal Palace,Aston Villa,1,2,13
2021-11-27T15:00:00Z,Liverpool,Southampton,4,0,13
2021-11-27T15:00:00Z,Norwich,Wolves,0,0,13
2021-11-27T17:30:00Z,Brighton,Leeds,0,0,13
2021-11-28T14:00:00Z,Brentford,Everton,1,0,13
