season,absence/suspension,competition,from,until,days,games,player,url
1920,No eligibility,Premier League,2019-08-09,2019-12-31,144,20,Bartosz Kapustka,/bartosz-kapustka/profil/spieler/246579
1920,Suspended,Championship,2020-02-12,2020-07-23,162,16,Gaëtan Bong,/gaetan-bong/profil/spieler/36291
1920,No eligibility,Championship,2020-01-31,2020-02-02,2,1,Gaëtan Bong,/gaetan-bong/profil/spieler/36291
1920,Suspension through sports court,Premier League,2020-06-11,2020-06-20,9,1,Dele Alli,/dele-alli/profil/spieler/207929
1920,Red card suspension,Premier League,2019-12-28,2019-12-30,2,1,Ederson,/ederson/profil/spieler/238223
1920,No eligibility,Premier League,2020-02-07,2020-02-09,2,1,Cenk Tosun,/cenk-tosun/profil/spieler/45671
1920,Red card suspension,Premier League,2019-12-01,2019-12-05,4,1,Alisson,/alisson/profil/spieler/105470
1920,Yellow card suspension,Premier League,2019-12-22,2019-12-27,5,1,Calum Chambers,/calum-chambers/profil/spieler/215118
1920,Red card suspension,Premier League,2020-01-22,2020-01-28,6,1,David Luiz,/david-luiz/profil/spieler/46741
1920,Yellow card suspension,Premier League,2019-12-02,2019-12-05,3,1,Frédéric Guilbert,/frederic-guilbert/profil/spieler/354352
1920,Yellow card suspension,Süper Lig,2020-07-13,2020-07-20,7,1,Georges-Kevin N'Koudou,/georges-kevin-nkoudou/profil/spieler/215679
1920,Red card suspension,Premier League,2019-12-03,2019-12-22,19,3,Mamadou Sakho,/mamadou-sakho/profil/spieler/47713
1920,Red card suspension,Süper Lig,2019-09-02,2019-09-14,12,1,Florin Andone,/florin-andone/profil/spieler/177065
1920,Red card suspension,Premier League,2019-08-24,2019-09-01,8,1,Florin Andone,/florin-andone/profil/spieler/177065
1920,Red card suspension,EFL Cup,2019-08-24,2019-09-01,8,1,Florin Andone,/florin-andone/profil/spieler/177065
1920,No eligibility,Premier League,2020-01-01,2020-01-03,2,1,Takumi Minamino,/takumi-minamino/profil/spieler/165793
1920,special leave, ,2019-08-30,2019-09-01,2,1,Takumi Minamino,/takumi-minamino/profil/spieler/165793
1920,Yellow card suspension,Serie A,2020-07-06,2020-07-10,4,1,Ken Sema,/ken-sema/profil/spieler/252345
1920,Yellow card suspension,Premier League,2019-12-22,2019-12-27,5,1,Jeff Hendrick,/jeff-hendrick/profil/spieler/148262
1920,Yellow card suspension,Serie A,2020-07-09,2020-07-12,3,1,Henrikh Mkhitaryan,/henrikh-mkhitaryan/profil/spieler/55735
1920,Suspension through sports court, ,2019-10-10,2019-10-24,14,1,Harvey Elliott,/harvey-elliott/profil/spieler/565822
1920,No eligibility, ,2020-05-31,2020-08-24,85,14,Arijanet Muric,/arijanet-muric/profil/spieler/371021
1920,special leave,,2020-04-13,2020-06-30,78,,Ralf Fährmann,/ralf-fahrmann/profil/spieler/39015
1920,Indirect card suspension,Premier League,2019-09-29,2019-10-06,7,1,Serge Aurier,/serge-aurier/profil/spieler/127032
1920,Red card suspension, ,2020-07-08,2020-07-19,11,3,Eddie Nketiah,/eddie-nketiah/profil/spieler/340324
1920,Yellow card suspension,Campeonato Brasileiro Série A,2019-10-21,2019-10-28,7,1,Pablo Marí,/pablo-mari/profil/spieler/210178
1920,Yellow card suspension,Premier League,2020-03-02,2020-03-09,7,1,Jorginho,/jorginho/profil/spieler/102017
1920,Yellow card suspension,Premier League,2019-11-04,2019-11-10,6,1,Jorginho,/jorginho/profil/spieler/102017
1920,Red card suspension,Premier League,2020-07-20,2020-07-27,7,1,Emiliano Buendía,/emiliano-buendia/profil/spieler/321247
1920,Red card suspension,UEFA Champions League,2019-11-07,2019-11-27,20,1,Claudio Bravo,/claudio-bravo/profil/spieler/40423
1920,Yellow card suspension,Premier League,2019-12-23,2019-12-27,4,1,Abdoulaye Doucouré,/abdoulaye-doucoure/profil/spieler/127187
1920,Red card suspension,Premier League,2020-02-22,2020-03-01,8,1,Valentino Lazaro,/valentino-lazaro/profil/spieler/186368
1920,Yellow card suspension,Premier League,2019-12-16,2019-12-21,5,1,Sokratis Papastathopoulos,/sokratis-papastathopoulos/profil/spieler/34322
1920,Indirect card suspension,Premier League,2019-09-17,2019-09-23,6,1,Arthur Masuaku,/arthur-masuaku/profil/spieler/181380
1920,Red card suspension, ,2019-09-15,2019-09-29,14,3,Billy Sharp,/billy-sharp/profil/spieler/49542
1920,Indirect card suspension,Premier League,2019-09-01,2019-09-15,14,1,Kevin Danso,/kevin-danso/profil/spieler/263236
1920,Red card suspension,Premier League,2019-10-28,2019-11-26,29,3,Sean Longstaff,/sean-longstaff/profil/spieler/346707
1920,Red card suspension,Premier League,2020-07-20,2020-07-27,7,1,Josip Drmic,/josip-drmic/profil/spieler/140579
1920,Yellow card suspension,Premier League,2019-11-03,2019-11-11,8,1,Ashley Young,/ashley-young/profil/spieler/14086
1920,Red card suspension,UEFA European Under-21 Championship Qualifying,2019-10-11,2019-11-17,37,2,Moise Kean,/moise-kean/profil/spieler/364135
1920,No eligibility,Premier League,2019-08-08,2019-08-11,3,1,Alex Iwobi,/alex-iwobi/profil/spieler/242631
1920,Suspended,FA Cup,2020-01-26,2020-01-28,2,1,Kyle Taylor,/kyle-taylor/profil/spieler/562254
1920,Indirect card suspension,League Two,2019-09-23,2019-09-29,6,1,Kyle Taylor,/kyle-taylor/profil/spieler/562254
1920,Suspended,EFL Cup,2019-08-27,2019-08-29,2,1,Kyle Taylor,/kyle-taylor/profil/spieler/562254
1920,Suspended,Premier League,2019-08-09,2020-07-27,353,,Kyle Taylor,/kyle-taylor/profil/spieler/562254
1920,Indirect card suspension,Premier League,2020-02-03,2020-02-10,7,1,Jefferson Lerma,/jefferson-lerma/profil/spieler/262980
1920,Yellow card suspension,Premier League,2019-11-04,2019-11-10,6,1,Jefferson Lerma,/jefferson-lerma/profil/spieler/262980
1920,Yellow card suspension,Premier League,2019-12-02,2019-12-04,2,1,Ilkay Gündogan,/ilkay-gundogan/profil/spieler/53622
1920,Suspended,FA Cup,2020-01-03,2020-01-28,25,2,Jordon Ibe,/jordon-ibe/profil/spieler/195652
1920,Red card suspension, ,2019-08-05,2019-08-19,14,3,Rushian Hepburn-Murphy,/rushian-hepburn-murphy/profil/spieler/314237
1920,Yellow card suspension,UEFA Nations League A,2018-10-15,2019-03-23,159,1,Fabian Schär,/fabian-schar/profil/spieler/135343
1920,Yellow card suspension,Premier League,2020-07-06,2020-07-08,2,1,Todd Cantwell,/todd-cantwell/profil/spieler/332341
1920,Yellow card suspension,Premier League,2019-12-15,2019-12-27,12,1,Ryan Fredericks,/ryan-fredericks/profil/spieler/140191
1920,No eligibility,Premier League,2020-05-04,2020-06-30,57,2,Loris Karius,/loris-karius/profil/spieler/85864
1920,Yellow card suspension,UEFA Champions League,2020-02-26,2020-08-08,164,1,Benjamin Mendy,/benjamin-mendy/profil/spieler/157495
1920,No eligibility,AFC Champions League,2020-11-19,2020-12-31,42,5,Sung-yueng Ki,/sung-yueng-ki/profil/spieler/81796
1920,special leave,Bundesliga,2020-01-31,2020-02-02,2,1,Angeliño,/angelino/profil/spieler/277179
1920,Indirect card suspension,UEFA Champions League,2019-10-23,2019-11-07,15,1,Phil Foden,/phil-foden/profil/spieler/406635
1920,Yellow card suspension,Premier League,2020-03-09,2020-03-17,8,1,André Gomes,/andre-gomes/profil/spieler/221025
1920,Called up to national team,Scottish Premiership,2020-01-20,2020-01-24,4,1,Ryotaro Meshino,/ryotaro-meshino/profil/spieler/426666
1920,Indirect card suspension,Premier League,2019-09-02,2019-09-15,13,1,Willy Boly,/willy-boly/profil/spieler/142310
1920,No eligibility,Premier League,2019-08-09,2019-12-31,144,20,George Thomas,/george-thomas/profil/spieler/298240
1920,special leave,Premier League,2020-01-31,2020-02-02,2,1,Odion Ighalo,/odion-ighalo/profil/spieler/62121
1920,Indirect card suspension,Premier League,2019-08-11,2019-08-18,7,1,Morgan Schneiderlin,/morgan-schneiderlin/profil/spieler/56818
1920,Suspended,FA Cup,2020-01-03,2020-06-29,178,4,Matty James,/matty-james/profil/spieler/73522
1920,Suspended,EFL Cup,2019-08-27,2019-01-29,210,6,Matty James,/matty-james/profil/spieler/73522
1920,Suspended,Premier League,2019-08-09,2020-01-31,175,24,Matty James,/matty-james/profil/spieler/73522
1920,Yellow card suspension,Premier League,2019-12-27,2019-12-29,2,1,Harry Winks,/harry-winks/profil/spieler/249126
1920,Red card suspension,Liga Portugal,2020-01-24,2020-01-29,5,1,Yannick Bolasie,/yannick-bolasie/profil/spieler/75471
1920,Red card suspension,Premier League,2020-07-13,2020-07-27,14,3,Caglar Söyüncü,/caglar-soyuncu/profil/spieler/320141
1920,Yellow card suspension,Europa League,2019-11-29,2019-12-13,14,1,Bruno Fernandes,/bruno-fernandes/profil/spieler/240306
1920,Indirect card suspension,Liga Portugal,2019-09-16,2019-09-24,8,1,Bruno Fernandes,/bruno-fernandes/profil/spieler/240306
1920,Red card suspension, ,2019-10-26,2019-11-10,15,3,Ryan Bertrand,/ryan-bertrand/profil/spieler/40611
1920,Indirect card suspension,Premier League,2019-09-01,2019-09-17,16,1,Trezeguet,/trezeguet/profil/spieler/234189
1920,Yellow card suspension,Premier League,2019-10-28,2019-11-04,7,1,Danny Rose,/danny-rose/profil/spieler/50174
1920,No eligibility,UEFA Champions League,2020-07-15,2020-08-24,40,4,Leroy Sané,/leroy-sane/profil/spieler/192565
1920,Suspension through sports court, ,2020-07-08,2020-07-19,11,4,Eric Dier,/eric-dier/profil/spieler/175722
1920,Yellow card suspension,Premier League,2019-12-23,2019-12-27,4,1,Mateo Kovacic,/mateo-kovacic/profil/spieler/51471
1920,Yellow card suspension,Premier League,2019-12-26,2019-12-30,4,1,Aaron Cresswell,/aaron-cresswell/profil/spieler/92571
1920,Yellow card suspension,Premier League,2020-03-09,2020-03-15,6,1,Kurt Zouma,/kurt-zouma/profil/spieler/157509
1920,Yellow card suspension,Premier League,2019-12-27,2019-12-29,2,1,Moussa Sissoko,/moussa-sissoko/profil/spieler/46001
1920,No eligibility, ,2020-07-31,2020-08-31,31,1,Pepe Reina,/pepe-reina/profil/spieler/7825
1920,Red card suspension,Serie A,2019-09-27,2019-09-30,3,1,Pepe Reina,/pepe-reina/profil/spieler/7825
1920,Red card suspension,Premier League,2020-01-13,2020-01-22,9,2,Pierre-Emerick Aubameyang,/pierre-emerick-aubameyang/profil/spieler/58864
1920,Military service,,2020-04-06,2020-05-04,28,,Heung-min Son,/heung-min-son/profil/spieler/91845
1920,Red card suspension,Premier League,2019-12-23,2020-01-02,10,3,Heung-min Son,/heung-min-son/profil/spieler/91845
1920,Indirect card suspension, ,2019-10-27,2019-10-30,3,1,Fernandinho,/fernandinho/profil/spieler/26267
1920,Yellow card suspension,Premier League,2019-12-22,2019-12-27,5,1,Diego Rico,/diego-rico/profil/spieler/249513
