date,home_team,away_team,home_score,away_score
26/12/2018,Tottenham Hotspur,Bournemouth,5,0
26/12/2018,Manchester United,Huddersfield Town,3,1
26/12/2018,Leicester City,Manchester City,2,1
26/12/2018,Burnley,Everton,1,5
26/12/2018,Crystal Palace,Cardiff,0,0
26/12/2018,Brighton and Hove Albion,Arsenal,1,1
26/12/2018,Watford,Chelsea,1,2
23/12/2018,Everton,Tottenham Hotspur,2,6
22/12/2018,Arsenal,Burnley,3,1
22/12/2018,Manchester City,Crystal Palace,2,3
22/12/2018,Newcastle United,Fulham,0,0
22/12/2018,Chelsea,Leicester City,0,1
22/12/2018,Huddersfield Town,Southampton,1,3
22/12/2018,West Ham United,Watford,0,2
22/12/2018,Bournemouth,Brighton and Hove Albion,2,0
22/12/2018,Cardiff,Manchester United,1,5
21/12/2018,Wolves,Liverpool,0,2
16/12/2018,Southampton,Arsenal,3,2
16/12/2018,Brighton and Hove Albion,Chelsea,1,2
16/12/2018,Liverpool,Manchester United,3,1
15/12/2018,Manchester City,Everton,3,1
15/12/2018,Wolves,Bournemouth,2,0
15/12/2018,Tottenham Hotspur,Burnley,1,0
15/12/2018,Huddersfield Town,Newcastle United,0,1
15/12/2018,Crystal Palace,Leicester City,1,0
15/12/2018,Watford,Cardiff,3,2
15/12/2018,Fulham,West Ham United,0,2
10/12/2018,Everton,Watford,2,2
09/12/2018,Newcastle United,Wolves,1,2
08/12/2018,Bournemouth,Liverpool,0,4
08/12/2018,Arsenal,Huddersfield Town,1,0
08/12/2018,Manchester United,Fulham,4,1
08/12/2018,Burnley,Brighton and Hove Albion,1,0
08/12/2018,Cardiff,Southampton,1,0
08/12/2018,West Ham United,Crystal Palace,3,2
08/12/2018,Chelsea,Manchester City,2,0
08/12/2018,Leicester City,Tottenham Hotspur,0,2
05/12/2018,Wolves,Chelsea,2,1
05/12/2018,Fulham,Leicester City,1,1
05/12/2018,Burnley,Liverpool,1,3
05/12/2018,Everton,Newcastle United,1,1
05/12/2018,Manchester United,Arsenal,2,2
05/12/2018,Tottenham Hotspur,Southampton,3,1
04/12/2018,West Ham United,Cardiff,3,1
04/12/2018,Brighton and Hove Albion,Crystal Palace,3,1
04/12/2018,Bournemouth,Huddersfield Town,2,1
04/12/2018,Watford,Manchester City,1,2
02/12/2018,Chelsea,Fulham,2,0
02/12/2018,Arsenal,Tottenham Hotspur,4,2
02/12/2018,Liverpool,Everton,1,0
01/12/2018,Manchester City,Bournemouth,3,1
01/12/2018,Newcastle United,West Ham United,0,3
01/12/2018,Leicester City,Watford,2,0
01/12/2018,Huddersfield Town,Brighton and Hove Albion,1,2
01/12/2018,Crystal Palace,Burnley,2,0
01/12/2018,Southampton,Manchester United,2,2
30/11/2018,Cardiff,Wolves,2,1
26/11/2018,Burnley,Newcastle United,1,2
25/11/2018,Bournemouth,Arsenal,1,2
25/11/2018,Wolves,Huddersfield Town,0,2
24/11/2018,Fulham,Southampton,3,2
24/11/2018,Everton,Cardiff,1,0
24/11/2018,Manchester United,Crystal Palace,0,0
24/11/2018,West Ham United,Manchester City,0,4
24/11/2018,Brighton and Hove Albion,Leicester City,1,1
24/11/2018,Watford,Liverpool,0,3
24/11/2018,Tottenham Hotspur,Chelsea,3,1
11/11/2018,Liverpool,Fulham,2,0
11/11/2018,Chelsea,Everton,0,0
11/11/2018,Manchester City,Manchester United,3,1
11/11/2018,Arsenal,Wolves,1,1
10/11/2018,Cardiff,Brighton and Hove Albion,2,1
10/11/2018,Newcastle United,Bournemouth,2,1
10/11/2018,Leicester City,Burnley,0,0
10/11/2018,Huddersfield Town,West Ham United,1,1
10/11/2018,Southampton,Watford,1,1
10/11/2018,Crystal Palace,Tottenham Hotspur,0,1
05/11/2018,Huddersfield Town,Fulham,1,0
04/11/2018,Manchester City,Southampton,6,1
04/11/2018,Chelsea,Crystal Palace,3,1
03/11/2018,Bournemouth,Manchester United,1,2
03/11/2018,Newcastle United,Watford,1,0
03/11/2018,Everton,Brighton and Hove Albion,3,1
03/11/2018,Cardiff,Leicester City,0,1
03/11/2018,West Ham United,Burnley,4,2
03/11/2018,Arsenal,Liverpool,1,1
03/11/2018,Wolves,Tottenham Hotspur,2,3
29/10/2018,Tottenham Hotspur,Manchester City,0,1
28/10/2018,Burnley,Chelsea,0,4
28/10/2018,Crystal Palace,Arsenal,2,2
28/10/2018,Manchester United,Everton,2,1
27/10/2018,Fulham,Bournemouth,0,3
27/10/2018,Liverpool,Cardiff,4,1
27/10/2018,Southampton,Newcastle United,0,0
27/10/2018,Brighton and Hove Albion,Wolves,1,0
27/10/2018,Watford,Huddersfield Town,3,0
27/10/2018,Leicester City,West Ham United,1,1
22/10/2018,Arsenal,Leicester City,3,1
21/10/2018,Everton,Crystal Palace,2,0
20/10/2018,Chelsea,Manchester United,2,2
20/10/2018,Wolves,Watford,0,2
20/10/2018,Manchester City,Burnley,5,0
20/10/2018,Newcastle United,Brighton and Hove Albion,0,1
20/10/2018,Cardiff,Fulham,4,2
20/10/2018,West Ham United,Tottenham Hotspur,0,1
20/10/2018,Bournemouth,Southampton,0,0
20/10/2018,Huddersfield Town,Liverpool,0,1
07/10/2018,Fulham,Arsenal,1,5
07/10/2018,Southampton,Chelsea,0,3
07/10/2018,Liverpool,Manchester City,0,0
06/10/2018,Tottenham Hotspur,Cardiff,1,0
06/10/2018,Leicester City,Everton,1,2
06/10/2018,Burnley,Huddersfield Town,1,1
06/10/2018,Crystal Palace,Wolves,0,1
06/10/2018,Watford,Bournemouth,0,4
06/10/2018,Manchester United,Newcastle United,3,2
05/10/2018,Brighton and Hove Albion,West Ham United,1,0
01/10/2018,Bournemouth,Crystal Palace,2,1
30/09/2018,Cardiff,Burnley,1,2
29/09/2018,West Ham United,Manchester United,3,1
29/09/2018,Wolves,Southampton,2,0
29/09/2018,Manchester City,Brighton and Hove Albion,2,0
29/09/2018,Newcastle United,Leicester City,0,2
29/09/2018,Arsenal,Watford,2,0
29/09/2018,Everton,Fulham,3,0
29/09/2018,Huddersfield Town,Tottenham Hotspur,0,2
29/09/2018,Chelsea,Liverpool,1,1
23/09/2018,West Ham United,Chelsea,0,0
23/09/2018,Arsenal,Everton,2,0
22/09/2018,Fulham,Watford,1,1
22/09/2018,Liverpool,Southampton,3,0
22/09/2018,Manchester United,Wolves,1,1
22/09/2018,Leicester City,Huddersfield Town,3,1
22/09/2018,Burnley,Bournemouth,4,0
22/09/2018,Cardiff,Manchester City,0,5
22/09/2018,Crystal Palace,Newcastle United,0,0
22/09/2018,Brighton and Hove Albion,Tottenham Hotspur,1,2
17/09/2018,Southampton,Brighton and Hove Albion,2,2
16/09/2018,Wolves,Burnley,1,0
16/09/2018,Everton,West Ham United,1,3
15/09/2018,Tottenham Hotspur,Liverpool,1,2
15/09/2018,Manchester City,Fulham,3,0
15/09/2018,Newcastle United,Arsenal,1,2
15/09/2018,Chelsea,Cardiff,4,1
15/09/2018,Huddersfield Town,Crystal Palace,0,1
15/09/2018,Bournemouth,Leicester City,4,2
15/09/2018,Watford,Manchester United,1,2
02/09/2018,Cardiff,Arsenal,2,3
02/09/2018,Burnley,Manchester United,0,2
02/09/2018,Watford,Tottenham Hotspur,2,1
01/09/2018,Leicester City,Liverpool,1,2
01/09/2018,Chelsea,Bournemouth,2,0
01/09/2018,Everton,Huddersfield Town,1,1
01/09/2018,West Ham United,Wolves,0,1
01/09/2018,Crystal Palace,Southampton,0,2
01/09/2018,Brighton and Hove Albion,Fulham,2,2
01/09/2018,Manchester City,Newcastle United,2,1
27/08/2018,Manchester United,Tottenham Hotspur,0,3
26/08/2018,Watford,Crystal Palace,2,1
26/08/2018,Fulham,Burnley,4,2
26/08/2018,Newcastle United,Chelsea,1,2
25/08/2018,Wolves,Manchester City,1,1
25/08/2018,Arsenal,West Ham United,3,1
25/08/2018,Huddersfield Town,Cardiff,0,0
25/08/2018,Southampton,Leicester City,1,2
25/08/2018,Bournemouth,Everton,2,2
25/08/2018,Liverpool,Brighton and Hove Albion,1,0
20/08/2018,Crystal Palace,Liverpool,0,2
19/08/2018,Manchester City,Huddersfield Town,6,1
19/08/2018,Burnley,Watford,1,3
19/08/2018,Brighton and Hove Albion,Manchester United,3,2
18/08/2018,Cardiff,Newcastle United,0,0
18/08/2018,Tottenham Hotspur,Fulham,3,1
18/08/2018,Everton,Southampton,2,1
18/08/2018,Leicester City,Wolves,2,0
18/08/2018,West Ham United,Bournemouth,1,2
18/08/2018,Chelsea,Arsenal,3,2
12/08/2018,Liverpool,West Ham United,4,0
12/08/2018,Southampton,Burnley,0,0
12/08/2018,Arsenal,Manchester City,0,2
11/08/2018,Newcastle United,Tottenham Hotspur,1,2
11/08/2018,Fulham,Crystal Palace,0,2
11/08/2018,Huddersfield Town,Chelsea,0,3
11/08/2018,Watford,Brighton and Hove Albion,2,0
11/08/2018,Bournemouth,Cardiff,2,0
11/08/2018,Wolves,Everton,2,2
10/08/2018,Manchester United,Leicester City,2,1
