season,details,from,until,days,games,reason,player,url
2526,Knock,,,4,1,injury,Santiago Bueno,/santiago-bueno/profil/spieler/438001
2526,Muscle injury,,,11,1,injury,Destiny Udogie,/destiny-udogie/profil/spieler/556385
2526,Hamstring injury,,,38,6,injury,Destiny Udogie,/destiny-udogie/profil/spieler/556385
2526,Hamstring injury,,,31,6,injury,Destiny Udogie,/destiny-udogie/profil/spieler/556385
2526,Knee injury,,,14,4,injury,Destiny Udogie,/destiny-udogie/profil/spieler/556385
2526,Knee injury,,,42,3,injury,Destiny Udogie,/destiny-udogie/profil/spieler/556385
2526,Hamstring injury,,,149,26,injury,Mohammed Kudus,/mohammed-kudus/profil/spieler/543499
2526,unknown injury,,,19,4,injury,Mohammed Kudus,/mohammed-kudus/profil/spieler/543499
2526,Hamstring muscle injury,,,48,6,injury,Taty Castellanos,/taty-castellanos/profil/spieler/522784
2526,Hamstring injury,,,109,19,injury,Ben Gannon-Doak,/ben-gannon-doak/profil/spieler/719673
2526,Foot injury,,,12,1,injury,Emiliano Buendía,/emiliano-buendia/profil/spieler/321247
2526,Knee surgery,,,124,16,injury,Justin Kluivert,/justin-kluivert/profil/spieler/330659
2526,Adductor injury,,,10,1,injury,Justin Kluivert,/justin-kluivert/profil/spieler/330659
2526,Calf injury,,,39,1,injury,Justin Kluivert,/justin-kluivert/profil/spieler/330659
2526,Ankle surgery,,,134,20,injury,Ben Davies,/ben-davies/profil/spieler/192765
2526,Hamstring injury,,,41,8,injury,Ben Davies,/ben-davies/profil/spieler/192765
2526,Hamstring injury,,,9,2,injury,Yankuba Minteh,/yankuba-minteh/profil/spieler/1012534
2526,Knock,,,15,2,injury,Solly March,/solly-march/profil/spieler/209212
2526,Rest,,,4,1,injury,Solly March,/solly-march/profil/spieler/209212
2526,Rest,,,3,1,injury,Solly March,/solly-march/profil/spieler/209212
2526,Fitness,,,77,14,injury,Solly March,/solly-march/profil/spieler/209212
2526,Calf injury,,,60,7,injury,Wilfried Gnonto,/wilfried-gnonto/profil/spieler/627626
2526,Knock,,,43,6,injury,Mason Mount,/mason-mount/profil/spieler/346483
2526,Knock,,,10,2,injury,Mason Mount,/mason-mount/profil/spieler/346483
2526,Knock,,,20,1,injury,Mason Mount,/mason-mount/profil/spieler/346483
2526,Muscle injury,,,4,1,injury,Joël Veltman,/joel-veltman/profil/spieler/111195
2526,Calf injury,,,37,5,injury,Joël Veltman,/joel-veltman/profil/spieler/111195
2526,Meniscus injury,,,35,6,injury,Ilia Gruev,/ilia-gruev/profil/spieler/381753
2526,Calf injury,,,22,4,injury,Nordi Mukiele,/nordi-mukiele/profil/spieler/348026
2526,Fitness,,,9,1,injury,Nordi Mukiele,/nordi-mukiele/profil/spieler/348026
2526,Calf injury,,,40,1,injury,Joël Piroe,/joel-piroe/profil/spieler/369962
2526,Finger injury,,,11,2,injury,Walter Benítez,/walter-benitez/profil/spieler/296802
2526,Muscle injury,,,19,4,injury,Diogo Dalot,/diogo-dalot/profil/spieler/357147
2526,Knee surgery,,,173,27,injury,Conor Bradley,/conor-bradley/profil/spieler/624258
2526,Muscle injury,,,16,4,injury,Conor Bradley,/conor-bradley/profil/spieler/624258
2526,Hamstring injury,,,26,2,injury,Conor Bradley,/conor-bradley/profil/spieler/624258
2526,Ill,,,22,3,injury,Aaron Wan-Bissaka,/aaron-wan-bissaka/profil/spieler/477758
2526,Back problems,,,3,1,injury,Danny Welbeck,/danny-welbeck/profil/spieler/67063
2526,Knee injury,,,105,21,injury,Willy Boly,/willy-boly/profil/spieler/142310
2526,Hip injury,,,11,1,injury,Jurriën Timber,/jurrien-timber/profil/spieler/420243
2526,Ankle injury,,,52,10,injury,Jurriën Timber,/jurrien-timber/profil/spieler/420243
2526,Ankle injury,,,5,1,injury,Jurriën Timber,/jurrien-timber/profil/spieler/420243
2526,Knock,,,20,4,injury,Riccardo Calafiori,/riccardo-calafiori/profil/spieler/502821
2526,Muscle injury,,,32,9,injury,Riccardo Calafiori,/riccardo-calafiori/profil/spieler/502821
2526,Hip problems,,,11,2,injury,Riccardo Calafiori,/riccardo-calafiori/profil/spieler/502821
2526,Knock,,,4,1,injury,Michael Kayode,/michael-kayode/profil/spieler/823486
2526,unknown injury,,,5,1,injury,James Tarkowski,/james-tarkowski/profil/spieler/173504
2526,unknown injury,,,6,1,injury,Kepa Arrizabalaga,/kepa-arrizabalaga/profil/spieler/192279
2526,unknown injury,,,7,3,injury,Leon Bailey,/leon-bailey/profil/spieler/387626
2526,muscular problems,,,24,4,injury,Leon Bailey,/leon-bailey/profil/spieler/387626
2526,Hamstring muscle injury,,,23,5,injury,Leon Bailey,/leon-bailey/profil/spieler/387626
2526,Muscle injury,,,59,12,injury,Leon Bailey,/leon-bailey/profil/spieler/387626
2526,Knock,,,6,1,injury,Kobbie Mainoo,/kobbie-mainoo/profil/spieler/820374
2526,Calf injury,,,22,4,injury,Kobbie Mainoo,/kobbie-mainoo/profil/spieler/820374
2526,Knock,,,4,1,injury,Kobbie Mainoo,/kobbie-mainoo/profil/spieler/820374
2526,Knock,,,7,1,injury,Micky van de Ven,/micky-van-de-ven/profil/spieler/557459
2526,Hamstring injury,,,20,2,injury,Tyler Adams,/tyler-adams/profil/spieler/332705
2526,Knee medial ligament tear,,,64,10,injury,Tyler Adams,/tyler-adams/profil/spieler/332705
2526,Hamstring injury,,,52,9,injury,Rúben Dias,/ruben-dias/profil/spieler/258004
2526,Hamstring injury,,,35,8,injury,Rúben Dias,/ruben-dias/profil/spieler/258004
