season,absence/suspension,competition,from,until,days,games,player,url
2021,No eligibility,Premier League,2021-02-05,2021-05-23,107,16,Kevin McDonald,/kevin-mcdonald/profil/spieler/36529
2021,No eligibility,Premier League,2020-10-20,2021-01-02,74,12,Kevin McDonald,/kevin-mcdonald/profil/spieler/36529
2021,Suspended,EFL Cup,2020-09-23,2020-10-01,8,2,Patrick Roberts,/patrick-roberts/profil/spieler/225452
2021,Suspended,Premier League,2020-09-20,2020-10-04,14,3,Patrick Roberts,/patrick-roberts/profil/spieler/225452
2021,Yellow card suspension,UEFA Nations League B,2020-10-11,2020-10-15,4,1,Ozan Kabak,/ozan-kabak/profil/spieler/361260
2021,Suspension through sports court, ,2020-10-04,2020-11-04,31,4,Ozan Kabak,/ozan-kabak/profil/spieler/361260
2021,Indirect card suspension,Bundesliga,2020-09-27,2020-10-04,7,1,Ozan Kabak,/ozan-kabak/profil/spieler/361260
2021,Yellow card suspension,UEFA Nations League B,2020-10-12,2020-10-15,3,1,Andrew Robertson,/andrew-robertson/profil/spieler/234803
2021,Red card suspension, ,2021-01-16,2021-01-28,12,3,Antonee Robinson,/antonee-robinson/profil/spieler/349701
2021,Called up to national team,Sydbank Pokalen,2020-10-06,2020-10-09,3,1,Frederik Alves,/frederik-alves/profil/spieler/542690
2021,Indirect card suspension,Jupiler Pro League,2021-03-22,2021-04-05,14,1,Josh Cullen,/josh-cullen/profil/spieler/242606
2021,No eligibility,Premier League,2020-10-20,2021-01-02,74,12,Josh Onomah,/josh-onomah/profil/spieler/243589
2021,Yellow card suspension,Premier League,2020-12-14,2020-12-16,2,1,Héctor Bellerín,/hector-bellerin/profil/spieler/191217
2021,Red card suspension,Premier League,2020-07-27,2020-09-14,49,1,Jonny Evans,/jonny-evans/profil/spieler/42412
2021,Red card suspension,Premier League 2,2020-10-25,2020-10-30,5,1,Karl Hein,/karl-hein/profil/spieler/493513
2021,Yellow card suspension,Bundesliga,2021-05-13,2021-05-16,3,1,Sead Kolasinac,/sead-kolasinac/profil/spieler/94005
2021,Indirect card suspension,UEFA Champions League,2020-11-26,2020-12-01,5,1,Marko Grujic,/marko-grujic/profil/spieler/222813
2021,Red card suspension,Premier League,2021-02-27,2021-03-03,4,1,Semi Ajayi,/semi-ajayi/profil/spieler/251912
2021,No eligibility,EFL Cup,2020-09-04,2020-09-06,2,1,Ben Gibson,/ben-gibson/profil/spieler/128904
2021,Red card suspension,Championship,2021-02-11,2021-02-15,4,1,Alfie Mawson,/alfie-mawson/profil/spieler/287431
2021,special leave, ,2021-03-03,2021-03-12,9,3,David de Gea,/david-de-gea/profil/spieler/59377
2021,Indirect card suspension,Premier League,2020-12-13,2020-12-17,4,1,Douglas Luiz,/douglas-luiz/profil/spieler/447661
2021,Red card suspension,Premier League,2020-10-24,2020-11-27,34,3,Aboubakar Kamara,/aboubakar-kamara/profil/spieler/290951
2021,Red card suspension, ,2021-03-04,2021-03-16,12,2,Crysencio Summerville,/crysencio-summerville/profil/spieler/474701
2021,Indirect card suspension,Championship,2021-03-01,2021-03-03,2,1,Leo Östigard,/leo-ostigard/profil/spieler/367284
2021,Indirect card suspension,Süper Lig,2021-03-19,2021-04-04,16,1,DeAndre Yedlin,/deandre-yedlin/profil/spieler/255916
2021,Red card suspension,Süper Lig,2021-01-17,2021-01-25,8,2,Mbaye Diagne,/mbaye-diagne/profil/spieler/271966
2021,Red card suspension,Premier League,2020-10-05,2020-11-02,28,3,Anthony Martial,/anthony-martial/profil/spieler/182877
2021,Red card suspension,World Cup qualification South America,2021-06-01,2021-06-10,9,2,Edinson Cavani,/edinson-cavani/profil/spieler/48280
2021,Suspension through sports court, ,2020-12-31,2021-01-10,10,3,Edinson Cavani,/edinson-cavani/profil/spieler/48280
2021,Indirect card suspension, ,2021-01-03,2021-01-05,2,1,Matt Doherty,/matt-doherty/profil/spieler/171679
2021,Red card suspension,Copa América 2021,2021-07-05,2021-07-12,7,2,Gabriel Jesus,/gabriel-jesus/profil/spieler/363205
2021,special leave,Bundesliga,2020-09-17,2020-09-19,2,,Thiago,/thiago/profil/spieler/60444
2021,Indirect card suspension,World Cup qualification South America,2020-11-14,2020-11-18,4,1,Yerry Mina,/yerry-mina/profil/spieler/289446
2021,Red card suspension,Premier League,2020-10-30,2020-11-28,29,3,Luka Milivojevic,/luka-milivojevic/profil/spieler/74300
2021,Red card suspension,Premier League,2020-11-23,2020-12-13,20,3,Nicolas Pépé,/nicolas-pepe/profil/spieler/343052
2021,Suspended,Championship,2020-10-02,2020-10-04,2,1,Ben Godfrey,/ben-godfrey/profil/spieler/343475
2021,Called up to national team,EFL Cup,2020-09-01,2020-09-10,9,1,Ben Godfrey,/ben-godfrey/profil/spieler/343475
2021,Red card suspension,Championship,2021-02-01,2021-02-17,16,3,Rhys Norrington-Davies,/rhys-norrington-davies/profil/spieler/543164
2021,Red card suspension,U18 Premier League,2020-12-20,2021-01-17,28,1,Reece Welch,/reece-welch/profil/spieler/655986
2021,Yellow card suspension,UEFA Champions League,2021-02-24,2021-03-18,22,1,Mason Mount,/mason-mount/profil/spieler/346483
2021,Indirect card suspension,Premier League,2020-11-22,2020-11-28,6,1,Tariq Lamptey,/tariq-lamptey/profil/spieler/504148
2021,Called up to national team,,2021-05-31,2021-06-14,14,,Heung-min Son,/heung-min-son/profil/spieler/91845
2021,special leave,,2021-01-07,2021-01-10,3,,Shane Duffy,/shane-duffy/profil/spieler/119269
2021,Indirect card suspension,Championship,2021-03-01,2021-03-04,3,1,Jack Wilshere,/jack-wilshere/profil/spieler/74223
2021,Red card suspension,Championship,2021-04-12,2021-04-26,14,3,Josh Knight,/josh-knight/profil/spieler/425026
2021,Yellow card suspension,Europa League,2021-02-19,2021-02-26,7,1,Kelechi Iheanacho,/kelechi-iheanacho/profil/spieler/295330
2021,Suspended,EFL Cup,2020-09-28,2020-09-30,2,1,Cameron Carter-Vickers,/cameron-carter-vickers/profil/spieler/341049
2021,Suspended,Europa League Qualifying,2020-09-23,2020-10-02,9,2,Cameron Carter-Vickers,/cameron-carter-vickers/profil/spieler/341049
2021,Suspended,Premier League,2020-09-12,2020-10-05,23,4,Cameron Carter-Vickers,/cameron-carter-vickers/profil/spieler/341049
2021,Red card suspension,Premier League,2021-02-03,2021-02-07,4,1,David Luiz,/david-luiz/profil/spieler/46741
2021,Suspended,EFL Cup,2020-09-29,2020-10-01,2,1,Dan Barlaser,/dan-barlaser/profil/spieler/256773
2021,Suspended,Premier League,2020-09-11,2020-09-28,17,3,Dan Barlaser,/dan-barlaser/profil/spieler/256773
2021,special leave, ,2021-05-31,2021-06-04,4,1,Oleksandr Zinchenko,/oleksandr-zinchenko/profil/spieler/203853
2021,Indirect card suspension,Premier League 2,2020-11-21,2020-11-28,7,1,Folarin Balogun,/folarin-balogun/profil/spieler/503770
2021,Red card suspension,Premier League,2021-05-03,2021-05-20,17,3,Fabian Schär,/fabian-schar/profil/spieler/135343
2021,special leave,,2021-05-30,2021-06-03,4,,Timo Werner,/timo-werner/profil/spieler/170527
2021,Red card suspension,League One,2021-03-02,2021-03-13,11,3,Sam Woods,/sam-woods/profil/spieler/611650
2021,Indirect card suspension,UEFA Nations League A,2020-10-15,2020-11-16,32,1,Harry Maguire,/harry-maguire/profil/spieler/177907
2021,Yellow card suspension,UEFA Champions League,2021-02-24,2021-03-18,22,1,Jorginho,/jorginho/profil/spieler/102017
2021,Yellow card suspension,UEFA Nations League A,2020-10-10,2020-10-12,2,1,Jan Bednarek,/jan-bednarek/profil/spieler/243028
2021,Yellow card suspension,Saudi Professional League,2021-02-23,2021-02-28,5,1,Ahmed Hegazy,/ahmed-hegazy/profil/spieler/111524
2021,Red card suspension,LaLiga,2020-11-29,2020-12-05,6,1,Okay Yokuslu,/okay-yokuslu/profil/spieler/137616
2021,Yellow card suspension,Premier League,2021-01-04,2021-01-17,13,1,N'Golo Kanté,/ngolo-kante/profil/spieler/225083
2021,No eligibility,Premier League,2021-03-14,2021-03-14,0,1,Jesse Lingard,/jesse-lingard/profil/spieler/141660
2021,Yellow card suspension,UEFA Nations League B,2020-11-16,2020-11-19,3,,Stuart Armstrong,/stuart-armstrong/profil/spieler/130765
2021,Indirect card suspension,Championship,2020-12-14,2020-12-16,2,1,Anthony Knockaert,/anthony-knockaert/profil/spieler/149237
2021,Red card suspension,Jupiler Pro League,2021-04-15,2021-04-19,4,1,Maxime Le Marchand,/maxime-le-marchand/profil/spieler/60558
2021,Indirect card suspension,Europa League,2021-04-30,2021-05-06,6,1,Dani Ceballos,/dani-ceballos/profil/spieler/319745
2021,Yellow card suspension,UEFA Nations League A,2020-11-14,2020-11-16,2,1,Mateusz Klich,/mateusz-klich/profil/spieler/92738
2021,Red card suspension,Premier League,2021-04-11,2021-05-01,20,3,Liam Cooper,/liam-cooper/profil/spieler/75067
2021,Red card suspension,Premier League,2020-10-19,2020-11-08,20,3,Richarlison,/richarlison/profil/spieler/378710
2021,No eligibility,Championship,2020-10-16,2020-10-18,2,1,Barry Douglas,/barry-douglas/profil/spieler/91854
2021,Suspended,Premier League,2020-09-11,2020-10-04,23,4,Barry Douglas,/barry-douglas/profil/spieler/91854
2021,Red card suspension,Premier League 2,2021-01-19,2021-02-05,17,2,Liam Delap,/liam-delap/profil/spieler/610849
2021,Red card suspension,Premier League,2021-02-03,2021-02-14,11,2,Alexandre Jankewitz,/alexandre-jankewitz/profil/spieler/507472
2021,No eligibility,Championship,2020-10-16,2020-10-18,2,1,Matty James,/matty-james/profil/spieler/73522
2021,Suspended,EFL Cup,2020-09-22,2020-09-24,2,1,Matty James,/matty-james/profil/spieler/73522
2021,Suspended,Premier League,2020-09-12,2020-10-05,23,4,Matty James,/matty-james/profil/spieler/73522
2021,special leave,Premier League,2021-05-17,2021-05-24,7,2,Cengiz Ünder,/cengiz-under/profil/spieler/341647
2021,Yellow card suspension,UEFA Nations League B,2020-11-15,2020-11-19,4,1,Cengiz Ünder,/cengiz-under/profil/spieler/341647
2021,Red card suspension,Premier League,2021-02-03,2021-02-07,4,1,Bernd Leno,/bernd-leno/profil/spieler/72476
2021,Indirect card suspension,Premier League,2021-04-05,2021-04-11,6,1,Thiago Silva,/thiago-silva/profil/spieler/29241
2021,Yellow card suspension,World Cup qualification Europe,2021-03-28,2021-03-31,3,1,Bruno Fernandes,/bruno-fernandes/profil/spieler/240306
2021,Indirect card suspension,UEFA Champions League,2020-12-03,2020-12-08,5,1,Fred,/fred/profil/spieler/191614
2021,Yellow card suspension,EURO 2020,2021-06-29,2021-07-03,4,1,Granit Xhaka,/granit-xhaka/profil/spieler/111455
2021,Red card suspension, ,2020-12-14,2020-12-22,8,3,Granit Xhaka,/granit-xhaka/profil/spieler/111455
2021,special leave,,2021-05-30,2021-06-03,4,,Antonio Rüdiger,/antonio-rudiger/profil/spieler/86202
2021,Yellow card suspension,UEFA Nations League A,2020-11-15,2020-11-18,3,1,Antonio Rüdiger,/antonio-rudiger/profil/spieler/86202
2021,No eligibility,Championship,2020-10-16,2020-10-18,2,1,Harvey Elliott,/harvey-elliott/profil/spieler/565822
