season,absence/suspension,competition,from,until,days,games,player,url
1516,Indirect card suspension,FA Cup,2016-03-07,2016-03-10,3,1,Francis Coquelin,/francis-coquelin/profil/spieler/74869
1516,Indirect card suspension,Premier League,2016-04-03,2016-04-10,7,1,Alan Hutton,/alan-hutton/profil/spieler/9619
1516,Yellow card suspension,Premier League,2015-12-29,2016-01-03,5,1,Oriol Romeu,/oriol-romeu/profil/spieler/66100
1516,No eligibility,Premier League,2015-09-03,2016-01-01,120,15,Daniel Pudil,/daniel-pudil/profil/spieler/35583
1516,Indirect card suspension,Premier League,2016-03-06,2016-03-13,7,1,Juan Mata,/juan-mata/profil/spieler/44068
1516,Red card suspension,Premier League,2015-08-26,2015-09-20,25,3,Miguel Britos,/miguel-britos/profil/spieler/76799
1516,Red card suspension,,2015-05-24,2015-08-16,84,,Miguel Britos,/miguel-britos/profil/spieler/76799
1516,Doping ban, ,2016-04-28,2016-05-28,30,7,Mamadou Sakho,/mamadou-sakho/profil/spieler/47713
1516,special leave, ,2016-04-21,2016-04-28,7,2,Mamadou Sakho,/mamadou-sakho/profil/spieler/47713
1516,special leave,Premier League,2016-03-31,2016-04-18,18,3,Gabriel Agbonlahor,/gabriel-agbonlahor/profil/spieler/37148
1516,Red card suspension, ,2015-12-29,2016-01-14,16,3,Nathan Aké,/nathan-ake/profil/spieler/177476
1516,Yellow card suspension,Bundesliga,2016-04-11,2016-04-17,6,1,Papy Djilobodji,/papy-djilobodji/profil/spieler/136610
1516,Suspension through sports court,Bundesliga,2016-03-23,2016-04-10,18,2,Papy Djilobodji,/papy-djilobodji/profil/spieler/136610
1516,Red card suspension,Premier League 2,2016-03-01,2016-03-09,8,2,Jack Rose,/jack-rose/profil/spieler/186923
1516,Yellow card suspension,Bundesliga,2016-03-03,2016-03-07,4,1,Chicharito,/chicharito/profil/spieler/50935
1516,Suspension through sports court, ,2016-04-25,2016-05-02,7,1,Jamie Vardy,/jamie-vardy/profil/spieler/197838
1516,Indirect card suspension, ,2016-04-17,2016-04-25,8,1,Jamie Vardy,/jamie-vardy/profil/spieler/197838
1516,Red card suspension,Premier League,2016-01-14,2016-02-03,20,3,Gary O'Neil,/gary-oneil/profil/spieler/3995
1516,Indirect card suspension,Europa League Qualifying,2015-07-20,2015-07-27,7,1,Dimitri Payet,/dimitri-payet/profil/spieler/37647
1516,Indirect card suspension,EFL Cup,2015-10-26,2015-10-29,3,1,Sadio Mané,/sadio-mane/profil/spieler/200512
1516,Yellow card suspension,Premier League,2016-04-11,2016-04-25,14,2,Erik Pieters,/erik-pieters/profil/spieler/43763
1516,special leave,Bundesliga,2015-08-27,2015-08-29,2,1,Kevin De Bruyne,/kevin-de-bruyne/profil/spieler/88755
1516,Indirect card suspension,Ligue 1,2015-09-12,2015-09-21,9,1,Henri Saivet,/henri-saivet/profil/spieler/51540
1516,Red card suspension,Europa League Qualifying,2015-07-10,2015-07-31,21,3,Diafra Sakho,/diafra-sakho/profil/spieler/120610
1516,Indirect card suspension,Bundesliga,2016-02-15,2016-02-22,7,1,Andrej Kramaric,/andrej-kramaric/profil/spieler/46580
1516,Yellow card suspension,European Qualifiers,2015-09-07,2015-10-09,32,1,Kyle Lafferty,/kyle-lafferty/profil/spieler/36884
1516,No eligibility, ,2015-08-13,2015-08-21,8,1,Xherdan Shaqiri,/xherdan-shaqiri/profil/spieler/86792
1516,Indirect card suspension,Premier League 2,2015-11-09,2015-11-24,15,,Gaël Bigirimana,/gael-bigirimana/profil/spieler/158697
1516,Indirect card suspension,Premier League 2,2016-02-08,2016-02-19,11,1,Kevin Stewart,/kevin-stewart/profil/spieler/200782
1516,No eligibility,Premier League,2015-09-03,2016-01-01,120,15,Joel Ekstrand,/joel-ekstrand/profil/spieler/69912
1516,Suspension through sports court,Premier League,2015-12-10,2015-12-28,18,3,Bastian Schweinsteiger,/bastian-schweinsteiger/profil/spieler/2514
1516,Yellow card suspension,European Qualifiers,2015-09-07,2015-10-09,32,1,James Morrison,/james-morrison/profil/spieler/27614
1516,Red card suspension,Premier League 2,2016-04-24,2016-08-16,114,1,Kevin Toner,/kevin-toner/profil/spieler/265132
1516,Yellow card suspension,Europa League Qualifying,2015-07-31,2015-08-07,7,1,Joey O'Brien,/joey-obrien/profil/spieler/34672
1516,Red card suspension,Premier League,2015-09-13,2015-10-04,21,3,Valon Behrami,/valon-behrami/profil/spieler/21905
1516,Indirect card suspension,Major League Soccer,2015-10-06,2015-10-09,3,1,Matt Miazga,/matt-miazga/profil/spieler/245893
1516,Yellow card suspension,Major League Soccer,2015-09-27,2015-10-05,8,1,Matt Miazga,/matt-miazga/profil/spieler/245893
1516,Indirect card suspension,UEFA Champions League,2015-09-16,2015-09-30,14,1,Olivier Giroud,/olivier-giroud/profil/spieler/82442
1516,Indirect card suspension,Premier League,2016-03-07,2016-03-21,14,1,Kevin Mirallas,/kevin-mirallas/profil/spieler/33639
1516,Suspension through sports court,FA Cup,2016-03-07,2016-03-14,7,1,Kevin Mirallas,/kevin-mirallas/profil/spieler/33639
1516,Red card suspension,Premier League,2015-09-21,2015-10-05,14,2,Kevin Mirallas,/kevin-mirallas/profil/spieler/33639
1516,Red card suspension,EFL Cup,2015-09-21,2015-09-24,3,1,Kevin Mirallas,/kevin-mirallas/profil/spieler/33639
1516,Yellow card suspension,European Qualifiers,2015-09-02,2015-09-04,2,1,Joe Allen,/joe-allen/profil/spieler/51452
1516,Red card suspension,Premier League,2016-01-04,2016-01-11,7,1,Simon Francis,/simon-francis/profil/spieler/13573
1516,Indirect card suspension,Championship,2015-12-07,2015-12-14,7,1,Nathan Baker,/nathan-baker/profil/spieler/62638
1516,Yellow card suspension,Championship,2015-11-23,2015-11-30,7,1,Bradley Johnson,/bradley-johnson/profil/spieler/49327
1516,Red card suspension,Premier League 2,2016-02-09,2016-02-23,14,1,Jamie Sterry,/jamie-sterry/profil/spieler/250431
1516,No eligibility,Premier League,2015-09-03,2016-01-01,120,15,Valentin Roberge,/valentin-roberge/profil/spieler/87422
1516,Red card suspension, ,2016-04-21,2016-05-09,18,3,Ramiro Funes Mori,/ramiro-funes-mori/profil/spieler/11111
1516,Indirect card suspension,Premier League,2016-05-09,2016-05-16,7,2,John Terry,/john-terry/profil/spieler/3160
1516,Red card suspension,Premier League,2015-08-24,2015-08-31,7,1,John Terry,/john-terry/profil/spieler/3160
1516,Red card suspension, ,2015-08-30,2015-09-23,24,3,Charlie Adam,/charlie-adam/profil/spieler/28990
1516,Red card suspension, ,2015-10-30,2015-11-29,30,3,James Collins,/james-collins/profil/spieler/12691
1516,Indirect card suspension,Europa League Qualifying,2015-07-31,2015-08-07,7,1,James Collins,/james-collins/profil/spieler/12691
1516,Yellow card suspension,UEFA Champions League,2015-12-10,2016-02-25,77,1,Nemanja Matić,/nemanja-mati%C4%87/profil/spieler/74683
1516,Indirect card suspension,EFL Cup,2015-10-25,2015-10-28,3,1,Nemanja Matić,/nemanja-mati%C4%87/profil/spieler/74683
1516,Indirect card suspension,World Cup qualification South America,2016-06-20,2016-09-01,73,1,Antonio Valencia,/antonio-valencia/profil/spieler/33544
1516,Red card suspension,Premier League 2,2016-02-15,2016-03-08,22,3,Marcus Browne,/marcus-browne/profil/spieler/391470
1516,Red card suspension,Premier League,2016-02-22,2016-02-29,7,1,Cheikhou Kouyaté,/cheikhou-kouyate/profil/spieler/66934
1516,Red card suspension,Premier League 2,2016-03-03,2016-03-08,5,1,Cameron Brannagan,/cameron-brannagan/profil/spieler/261357
1516,Yellow card suspension,Premier League,2015-11-30,2015-12-07,7,1,Wilfried Zaha,/wilfried-zaha/profil/spieler/145988
1516,Indirect card suspension,Premier League,2016-04-14,2016-04-17,3,1,James McCarthy,/james-mccarthy/profil/spieler/45333
1516,Indirect card suspension,Premier League,2016-05-02,2016-05-09,7,1,Brad Smith,/brad-smith/profil/spieler/175745
1516,Red card suspension,Premier League,2015-08-16,2015-09-15,30,3,Adrián,/adrian/profil/spieler/71271
1516,Suspension through sports court,Premier League,2016-05-05,2016-05-16,11,3,Marouane Fellaini,/marouane-fellaini/profil/spieler/39679
1516,Red card suspension,Premier League,2015-05-25,2015-08-24,91,3,Marouane Fellaini,/marouane-fellaini/profil/spieler/39679
1516,Indirect card suspension,Championship,2016-04-17,2016-04-19,2,1,Jon Toral,/jon-toral/profil/spieler/193593
1516,Red card suspension,Serie A,2016-02-15,2016-03-07,21,3,Mauro Zárate,/mauro-zarate/profil/spieler/26456
1516,Red card suspension,Premier League 2,2015-08-18,2015-09-21,34,3,Yann M'Vila,/yann-mvila/profil/spieler/60573
1516,Yellow card suspension,Premier League,2015-12-29,2016-01-03,5,1,Ashley Westwood,/ashley-westwood/profil/spieler/91317
1516,Red card suspension,Premier League 2,2015-09-25,2015-09-29,4,1,Callum Williams,/callum-williams/profil/spieler/312533
1516,Red card suspension,Championship,2016-03-09,2016-04-04,26,3,Yaya Sanogo,/yaya-sanogo/profil/spieler/127194
1516,Yellow card suspension,LaLiga,2016-01-04,2016-01-11,7,1,Nordin Amrabat,/nordin-amrabat/profil/spieler/55619
1516,Red card suspension,LaLiga,2015-09-27,2015-10-19,22,2,Nordin Amrabat,/nordin-amrabat/profil/spieler/55619
1516,Red card suspension,Premier League,2015-12-20,2016-01-03,14,3,James McClean,/james-mcclean/profil/spieler/85935
1516,Olympic games,Olympic Games,2016-07-28,2016-08-22,25,,Serge Gnabry,/serge-gnabry/profil/spieler/159471
1516,Yellow card suspension,EFL Cup,2015-10-26,2015-10-28,2,1,Jeffrey Schlupp,/jeffrey-schlupp/profil/spieler/157506
1516,Indirect card suspension,Championship,2016-02-15,2016-02-22,7,1,Sammy Ameobi,/sammy-ameobi/profil/spieler/92381
1516,Red card suspension,Championship,2015-11-23,2015-11-30,7,1,Leroy Fer,/leroy-fer/profil/spieler/63342
1516,Red card suspension,Premier League,2015-11-08,2015-11-21,13,1,Gareth McAuley,/gareth-mcauley/profil/spieler/40567
1516,Yellow card suspension,Premier League,2016-04-04,2016-04-18,14,2,Emre Can,/emre-can/profil/spieler/119296
1516,Yellow card suspension,Premier League,2015-12-03,2015-12-07,4,1,Emre Can,/emre-can/profil/spieler/119296
1516,Indirect card suspension,Premier League,2016-05-02,2016-05-08,6,1,Danny Drinkwater,/danny-drinkwater/profil/spieler/73491
1516,Yellow card suspension,Premier League,2015-12-29,2016-01-04,6,1,Yohan Cabaye,/yohan-cabaye/profil/spieler/29434
1516,Yellow card suspension,Liga Portugal,2016-02-22,2016-02-29,7,1,Miguel Layún,/miguel-layun/profil/spieler/58576
1516,Indirect card suspension,Championship,2015-12-28,2016-01-04,7,1,Michael Hector,/michael-hector/profil/spieler/157490
1516,Indirect card suspension,Copa América Centenario 2016,2016-06-13,2016-06-20,7,1,DeAndre Yedlin,/deandre-yedlin/profil/spieler/255916
1516,Indirect card suspension,Championship,2016-02-29,2016-03-09,9,2,Fernando Forestieri,/fernando-forestieri/profil/spieler/44948
1516,Indirect card suspension,Championship,2016-02-22,2016-02-24,2,1,Fernando Forestieri,/fernando-forestieri/profil/spieler/44948
1516,Indirect card suspension,Premier League 2,2016-04-12,2016-04-19,7,1,Callum McManaman,/callum-mcmanaman/profil/spieler/61711
1516,Yellow card suspension,Premier League,2015-11-22,2015-11-29,7,1,Lucas Leiva,/lucas-leiva/profil/spieler/41414
1516,Red card suspension,Premier League,2016-02-07,2016-03-13,35,5,Victor Wanyama,/victor-wanyama/profil/spieler/77760
1516,Indirect card suspension, ,2016-01-03,2016-01-14,11,2,Victor Wanyama,/victor-wanyama/profil/spieler/77760
1516,Indirect card suspension,Premier League,2015-11-02,2015-11-08,6,1,Victor Wanyama,/victor-wanyama/profil/spieler/77760
1516,Suspension through sports court, ,2016-05-05,2016-08-14,101,3,Robert Huth,/robert-huth/profil/spieler/2998
1516,Yellow card suspension,Premier League,2015-12-14,2015-12-21,7,1,Robert Huth,/robert-huth/profil/spieler/2998
1516,Indirect card suspension,Premier League,2015-10-28,2015-11-02,5,1,Phil Bardsley,/phil-bardsley/profil/spieler/15773
1516,Indirect card suspension,Premier League 2,2016-03-19,2016-04-07,19,1,Kyle Walker-Peters,/kyle-walker-peters/profil/spieler/341051
1516,Suspension through sports court,Premier League,2016-03-21,2016-04-10,20,2,Diego Costa,/diego-costa/profil/spieler/44779
1516,Indirect card suspension,Premier League,2016-03-13,2016-03-20,7,1,Diego Costa,/diego-costa/profil/spieler/44779
1516,Yellow card suspension,Premier League,2015-12-27,2015-12-29,2,1,Diego Costa,/diego-costa/profil/spieler/44779
1516,Suspension through sports court,Premier League,2015-09-22,2015-10-04,12,2,Diego Costa,/diego-costa/profil/spieler/44779
1516,Suspension through sports court,EFL Cup,2015-09-22,2015-09-24,2,1,Diego Costa,/diego-costa/profil/spieler/44779
1516,Yellow card suspension,Premier League,2015-10-05,2015-10-17,12,1,Eric Dier,/eric-dier/profil/spieler/175722
1516,Indirect card suspension,Europa League,2015-10-23,2015-11-06,14,1,Wahbi Khazri,/wahbi-khazri/profil/spieler/103565
1516,special leave,Türkiye Kupasi,2016-01-08,2016-01-14,6,,Dame N'Doye,/dame-ndoye/profil/spieler/44855
1516,special leave,Championship,2015-08-07,2015-08-10,3,,Dame N'Doye,/dame-ndoye/profil/spieler/44855
1516,Yellow card suspension,EURO 2016,2016-07-04,2016-07-07,3,1,Aaron Ramsey,/aaron-ramsey/profil/spieler/50057
1516,Called up to national team, ,2016-03-25,2016-04-04,10,2,Harry Panayiotou,/harry-panayiotou/profil/spieler/224673
1516,Indirect card suspension,EFL Cup,2015-09-20,2015-09-24,4,1,Santi Cazorla,/santi-cazorla/profil/spieler/15799
1516,Red card suspension,Premier League 2,2015-11-21,2015-11-28,7,1,George Dobson,/george-dobson/profil/spieler/292734
1516,Red card suspension,Premier League,2016-04-17,2016-05-03,16,2,Thibaut Courtois,/thibaut-courtois/profil/spieler/108390
1516,Red card suspension,Premier League,2015-08-10,2015-08-17,7,1,Thibaut Courtois,/thibaut-courtois/profil/spieler/108390
1516,Yellow card suspension,Premier League,2016-02-28,2016-03-06,7,2,Sam Byram,/sam-byram/profil/spieler/236953
1516,Indirect card suspension,EFL Cup,2015-10-26,2015-10-28,2,1,Gareth Barry,/gareth-barry/profil/spieler/3291
1516,Indirect card suspension,Premier League,2016-02-15,2016-02-29,14,1,Danny Simpson,/danny-simpson/profil/spieler/37442
1516,Yellow card suspension,Europa League,2016-02-26,2016-03-11,14,1,Jesse Lingard,/jesse-lingard/profil/spieler/141660
1516,Yellow card suspension,Serie A,2016-04-05,2016-04-12,7,1,Emanuele Giaccherini,/emanuele-giaccherini/profil/spieler/84835
1516,Indirect card suspension,Premier League,2016-03-07,2016-03-14,7,1,James Milner,/james-milner/profil/spieler/3333
1516,Yellow card suspension,Premier League,2015-10-26,2015-10-29,3,1,James Milner,/james-milner/profil/spieler/3333
1516,Red card suspension,FA Cup,2016-01-25,2016-01-31,6,1,Per Mertesacker,/per-mertesacker/profil/spieler/6710
1516,Red card suspension,Premier League,2016-03-06,2016-03-13,7,1,José Fonte,/jose-fonte/profil/spieler/33829
