season,absence/suspension,competition,from,until,days,games,player,url
1516,Red card suspension,World Cup qualification South America,2015-10-15,2015-11-16,32,2,Juan Cuadrado,/juan-cuadrado/profil/spieler/91970
1516,Suspended,,2015-08-12,2015-10-06,55,,Morgan Amalfitano,/morgan-amalfitano/profil/spieler/39883
1516,Indirect card suspension,Premier League,2015-08-30,2015-09-13,14,1,Philippe Coutinho,/philippe-coutinho/profil/spieler/80444
1516,Yellow card suspension,EURO 2016,2016-07-04,2016-07-07,3,1,Ben Davies,/ben-davies/profil/spieler/192765
1516,Red card suspension,Premier League,2015-12-20,2016-01-03,14,3,Salomón Rondón,/salomon-rondon/profil/spieler/80197
1516,Yellow card suspension,Premier League,2016-03-21,2016-04-10,20,2,Jack Colback,/jack-colback/profil/spieler/61644
1516,Yellow card suspension,Premier League,2015-10-26,2015-11-01,6,1,Jack Colback,/jack-colback/profil/spieler/61644
1516,Red card suspension,Premier League,2015-08-30,2015-09-20,21,2,Ibrahim Afellay,/ibrahim-afellay/profil/spieler/15760
1516,Indirect card suspension,UEFA Youth League,2015-09-30,2015-10-21,21,1,Kasey Palmer,/kasey-palmer/profil/spieler/258216
1516,Yellow card suspension,World Cup qualification South America,2016-03-26,2016-03-30,4,1,Nicolás Otamendi,/nicolas-otamendi/profil/spieler/54781
1516,Suspension through sports court,Premier League,2016-04-28,2016-05-16,18,3,Dele Alli,/dele-alli/profil/spieler/207929
1516,Yellow card suspension,Europa League,2016-02-26,2016-03-11,14,1,Dele Alli,/dele-alli/profil/spieler/207929
1516,Yellow card suspension,Premier League,2015-11-23,2015-11-30,7,1,Dele Alli,/dele-alli/profil/spieler/207929
1516,Indirect card suspension,Copa América Centenario 2016,2016-06-23,2016-06-27,4,1,Carlos Sánchez,/carlos-sanchez/profil/spieler/51226
1516,Red card suspension,Championship,2016-05-16,2016-08-22,98,4,Aleksandar Mitrović,/aleksandar-mitrovi%C4%87/profil/spieler/51152
1516,Red card suspension,EFL Cup,2015-08-30,2015-09-24,25,1,Aleksandar Mitrović,/aleksandar-mitrovi%C4%87/profil/spieler/51152
1516,Red card suspension,Premier League,2015-08-30,2015-09-20,21,2,Aleksandar Mitrović,/aleksandar-mitrovi%C4%87/profil/spieler/51152
1516,Red card suspension,Premier League,2015-08-23,2015-08-30,7,1,Carl Jenkinson,/carl-jenkinson/profil/spieler/126321
1516,Indirect card suspension,LaLiga,2016-02-08,2016-02-15,7,1,Federico Fazio,/federico-fazio/profil/spieler/45314
1516,Suspension through sports court, ,2016-05-06,2016-09-11,128,6,Mousa Dembélé,/mousa-dembele/profil/spieler/19368
1516,Suspension through sports court,Premier League,2015-09-25,2015-09-27,2,1,Gabriel Paulista,/gabriel-paulista/profil/spieler/149498
1516,Yellow card suspension,EURO 2016,2016-06-27,2016-07-04,7,1,N'Golo Kanté,/ngolo-kante/profil/spieler/225083
