season,absence/suspension,competition,from,until,days,games,player,url
1617,Yellow card suspension,Serie A,2017-03-06,2017-03-13,7,1,Juan Cuadrado,/juan-cuadrado/profil/spieler/91970
1617,Yellow card suspension,World Cup qualification South America,2016-10-12,2016-11-11,30,1,Juan Cuadrado,/juan-cuadrado/profil/spieler/91970
1617,Called up to national team,Premier League,2017-01-02,2017-02-06,35,4,Daniel Amartey,/daniel-amartey/profil/spieler/214056
1617,Called up to national team,FA Cup,2017-01-02,2017-02-06,35,2,Daniel Amartey,/daniel-amartey/profil/spieler/214056
1617,Indirect card suspension,Premier League,2016-12-14,2016-12-20,6,1,Phil Jagielka,/phil-jagielka/profil/spieler/13520
1617,special leave, ,2017-01-02,2017-01-19,17,3,Gabriel Jesus,/gabriel-jesus/profil/spieler/363205
1617,Yellow card suspension,Campeonato Brasileiro Série A,2016-10-17,2016-10-24,7,1,Gabriel Jesus,/gabriel-jesus/profil/spieler/363205
1617,Yellow card suspension,Campeonato Brasileiro Série A,2016-09-15,2016-09-19,4,1,Gabriel Jesus,/gabriel-jesus/profil/spieler/363205
1617,Olympic games, ,2016-07-18,2016-08-22,35,6,Gabriel Jesus,/gabriel-jesus/profil/spieler/363205
1617,Yellow card suspension,Campeonato Brasileiro Série A,2016-07-07,2016-07-14,7,1,Gabriel Jesus,/gabriel-jesus/profil/spieler/363205
1617,Red card suspension,Eredivisie,2017-02-25,2017-03-12,15,2,Danilo Pantic,/danilo-pantic/profil/spieler/222830
1617,Indirect card suspension,Eredivisie,2016-10-03,2016-10-17,14,1,Danilo Pantic,/danilo-pantic/profil/spieler/222830
1617,No eligibility, ,2016-08-12,2016-09-09,28,3,Danilo Pantic,/danilo-pantic/profil/spieler/222830
1617,Yellow card suspension,Premier League,2016-11-06,2016-11-20,14,1,Adam Smith,/adam-smith/profil/spieler/61841
1617,Called up to national team,Premier League,2017-01-02,2017-01-23,21,2,Riyad Mahrez,/riyad-mahrez/profil/spieler/171424
1617,Called up to national team,FA Cup,2017-01-02,2017-01-23,21,1,Riyad Mahrez,/riyad-mahrez/profil/spieler/171424
1617,Yellow card suspension,World Cup qualification South America,2017-03-25,2017-03-28,3,1,Nicolás Otamendi,/nicolas-otamendi/profil/spieler/54781
1617,Yellow card suspension,Premier League,2016-12-04,2016-12-11,7,1,Nicolás Otamendi,/nicolas-otamendi/profil/spieler/54781
1617,Yellow card suspension,World Cup qualification South America,2016-10-08,2016-10-12,4,1,Nicolás Otamendi,/nicolas-otamendi/profil/spieler/54781
1617,Yellow card suspension,Premier League,2016-12-18,2016-12-27,9,1,Christian Fuchs,/christian-fuchs/profil/spieler/6636
1617,Indirect card suspension,U-20 World Cup 2017,2017-05-29,2017-06-02,4,1,Cameron Carter-Vickers,/cameron-carter-vickers/profil/spieler/341049
1617,Called up to national team, ,2017-01-02,2017-01-26,24,5,Bakary Sako,/bakary-sako/profil/spieler/46791
1617,Indirect card suspension,Premier League,2016-11-20,2016-11-28,8,1,Winston Reid,/winston-reid/profil/spieler/37526
1617,Yellow card suspension,Premier League,2016-10-31,2016-11-06,6,1,Winston Reid,/winston-reid/profil/spieler/37526
1617,Yellow card suspension,Premier League,2016-12-18,2016-12-27,9,1,N'Golo Kanté,/ngolo-kante/profil/spieler/225083
1617,Suspension through sports court,Premier League,2016-09-23,2016-10-23,30,4,Andre Gray,/andre-gray/profil/spieler/120565
1617,Yellow card suspension,UEFA Champions League,2016-11-24,2016-12-08,14,1,Francis Coquelin,/francis-coquelin/profil/spieler/74869
1617,Yellow card suspension,Jupiler Pro League,2016-12-19,2016-12-23,4,1,Wilfred Ndidi,/wilfred-ndidi/profil/spieler/274839
1617,Called up to national team,Keuken Kampioen Divisie,2017-05-04,2017-05-08,4,1,Gedion Zelalem,/gedion-zelalem/profil/spieler/228370
1617,Indirect card suspension,Serie A,2016-08-30,2016-09-11,12,1,M'Baye Niang,/mbaye-niang/profil/spieler/157501
1617,Yellow card suspension,Italy Cup,2016-05-23,2017-01-13,235,1,M'Baye Niang,/mbaye-niang/profil/spieler/157501
1617,Indirect card suspension,Premier League,2017-01-01,2017-01-03,2,1,Virgil van Dijk,/virgil-van-dijk/profil/spieler/139208
1617,Yellow card suspension,Premier League,2017-04-06,2017-04-16,10,2,Oriol Romeu,/oriol-romeu/profil/spieler/66100
1617,Yellow card suspension,Premier League,2016-12-15,2016-12-19,4,1,Oriol Romeu,/oriol-romeu/profil/spieler/66100
1617,Yellow card suspension,Super League 1,2017-01-03,2017-01-05,2,1,Luka Milivojevic,/luka-milivojevic/profil/spieler/74300
1617,Indirect card suspension,Premier League,2017-04-05,2017-04-16,11,2,Miguel Britos,/miguel-britos/profil/spieler/76799
1617,Yellow card suspension,Premier League,2016-12-27,2017-01-02,6,1,Miguel Britos,/miguel-britos/profil/spieler/76799
1617,Indirect card suspension,Premier League,2016-11-28,2016-12-04,6,1,Miguel Britos,/miguel-britos/profil/spieler/76799
1617,Red card suspension,Premier League,2017-03-19,2017-04-09,21,3,Tom Huddlestone,/tom-huddlestone/profil/spieler/13465
1617,Called up to national team,,2017-01-03,2017-01-17,14,,Abdul-Rahman Baba,/abdul-rahman-baba/profil/spieler/224884
