team_name,att,mid,defn,ovr
Liverpool,86,84,85,85
Manchester City,84,87,86,85
Chelsea,84,85,83,84
Manchester United,82,83,81,83
Tottenham Hotspur,83,81,78,81
Leicester City,80,80,78,80
Arsenal,77,80,77,80
West Ham United,80,79,77,79
Aston Villa,79,78,79,78
Wolverhampton Wanderers,78,80,78,78
Everton,78,78,77,78
Newcastle United,78,77,77,77
Leeds United,77,77,75,76
Crystal Palace,77,76,75,76
Burnley,77,75,76,76
Southampton,75,76,76,76
Brighton & Hove Albion,75,73,77,76
Fulham,78,74,72,74
Brentford,74,75,74,74
Watford,74,75,74,74
Norwich City,75,73,73,73
Bournemouth,73,74,72,73
Sheffield United,73,73,73,73
West Bromwich Albion,71,72,71,71
Nottingham Forest,71,72,71,71
Queens Park Rangers,71,71,70,71
Swansea City,71,70,71,70
Middlesbrough,71,70,70,70
Stoke City,70,71,70,70
Huddersfield Town,69,69,70,70
Cardiff City,67,69,68,69
Hull City,69,66,66,68
Derby County,66,69,67,68
Sunderland,67,66,66,66
