season,details,from,until,days,games,reason,player,url
2223,Hamstring Injury,2023-01-11,2023-02-02,22,6,injury,Diogo Dalot,/diogo-dalot/profil/spieler/357147
2223,Achilles tendon rupture,2022-11-08,2023-05-31,204,30,injury,James Justin,/james-justin/profil/spieler/413220
2223,Hamstring Injury,2023-01-27,2023-03-04,36,7,injury,Kurt Zouma,/kurt-zouma/profil/spieler/157509
2223,Knee Injury,2022-11-12,2023-01-09,58,5,injury,Kurt Zouma,/kurt-zouma/profil/spieler/157509
2223,Shoulder Injury,2023-04-22,2023-06-05,44,7,injury,Scott McKenna,/scott-mckenna/profil/spieler/255906
2223,Hamstring Injury,2023-02-11,2023-04-08,56,9,injury,Scott McKenna,/scott-mckenna/profil/spieler/255906
2223,Knee Problems,2022-09-12,2023-04-20,220,27,injury,Andy Lonergan,/andy-lonergan/profil/spieler/14044
2223,Facial Fracture,2022-11-02,2022-11-20,18,3,injury,Heung-min Son,/heung-min-son/profil/spieler/91845
2223,Fitness,2022-11-18,2022-11-22,4,,injury,Kyle Walker,/kyle-walker/profil/spieler/95424
2223,Groin Injury,2022-10-03,2022-11-17,45,11,injury,Kyle Walker,/kyle-walker/profil/spieler/95424
2223,Calf Injury,2022-10-17,2023-02-10,116,18,injury,Diogo Jota,/diogo-jota/profil/spieler/340950
2223,Hamstring Injury,2022-08-01,2022-09-01,31,5,injury,Diogo Jota,/diogo-jota/profil/spieler/340950
2223,Muscle Injury,2023-04-08,2023-04-19,11,3,injury,Marcus Rashford,/marcus-rashford/profil/spieler/258923
2223,Unknown Injury,2023-03-19,2023-03-31,12,1,injury,Marcus Rashford,/marcus-rashford/profil/spieler/258923
2223,Muscle Injury,2022-09-04,2022-09-19,15,3,injury,Marcus Rashford,/marcus-rashford/profil/spieler/258923
2223,Torn Ankle Ligament,2023-02-26,2023-04-10,43,7,injury,Youri Tielemans,/youri-tielemans/profil/spieler/249565
2223,Pelvis Injury,2023-04-25,2023-05-31,36,7,injury,Mason Mount,/mason-mount/profil/spieler/346483
2223,bruised pelvis,2023-02-28,2023-04-03,34,5,injury,Mason Mount,/mason-mount/profil/spieler/346483
2223,Knock,2023-01-05,2023-01-07,2,1,injury,Mason Mount,/mason-mount/profil/spieler/346483
2223,Groin Injury,2023-01-04,,145,24,injury,Boubacar Traoré,/boubacar-traore/profil/spieler/649020
2223,Knock,2022-09-22,2022-10-09,17,3,injury,Pedro Porro,/pedro-porro/profil/spieler/553875
2223,Calf Injury,2022-11-12,2023-01-10,59,5,injury,Ruben Loftus-Cheek,/ruben-loftus-cheek/profil/spieler/202886
2223,Knee Injury,2023-01-03,2023-06-30,178,38,injury,Donny van de Beek,/donny-van-de-beek/profil/spieler/288255
2223,Knock,2022-09-03,2022-10-24,51,10,injury,Donny van de Beek,/donny-van-de-beek/profil/spieler/288255
2223,Muscle Injury,2023-04-25,,34,7,injury,Marc Cucurella,/marc-cucurella/profil/spieler/284857
2223,Knee Injury,2023-01-03,2023-01-03,0,1,injury,Nathan Patterson,/nathan-patterson/profil/spieler/424015
2223,Ankle Injury,2022-09-21,2022-10-26,35,5,injury,Nathan Patterson,/nathan-patterson/profil/spieler/424015
2223,Metatarsal Fracture,2023-03-25,,65,14,injury,Jeremy Sarmiento,/jeremy-sarmiento/profil/spieler/568005
2223,Knee Injury,2022-08-14,2022-08-31,17,4,injury,Jeremy Sarmiento,/jeremy-sarmiento/profil/spieler/568005
2223,Surgery,2022-10-03,2023-02-25,145,26,injury,Arthur Melo,/arthur-melo/profil/spieler/362842
2223,Ankle problems,2022-08-08,2022-08-16,8,1,injury,Arthur Melo,/arthur-melo/profil/spieler/362842
2223,Hand Injury,2023-05-23,2023-06-20,28,1,injury,Nick Pope,/nick-pope/profil/spieler/192080
2223,Thigh Problems,2023-03-19,2023-03-31,12,,injury,Nick Pope,/nick-pope/profil/spieler/192080
2223,Ankle Injury,2023-02-08,2023-03-18,38,7,injury,Tom Cairney,/tom-cairney/profil/spieler/123275
2223,Calf Injury,2023-02-18,2023-03-05,15,3,injury,Serge Aurier,/serge-aurier/profil/spieler/127032
2223,Hamstring Injury,2022-12-09,2023-01-13,35,4,injury,Richarlison,/richarlison/profil/spieler/378710
2223,Calf Injury,2022-10-15,2022-11-08,24,7,injury,Richarlison,/richarlison/profil/spieler/378710
2223,Ankle Injury,2023-04-26,,33,5,injury,Luis Sinisterra,/luis-sinisterra/profil/spieler/512385
2223,Foot Injury,2022-10-23,2022-12-19,57,5,injury,Luis Sinisterra,/luis-sinisterra/profil/spieler/512385
2223,Hamstring Injury,2022-08-30,2022-10-24,55,8,injury,Roméo Lavia,/romeo-lavia/profil/spieler/628451
2223,Muscular problems,2022-09-04,2022-09-28,24,2,injury,Fábio Carvalho,/fabio-carvalho/profil/spieler/559263
2223,Hamstring Injury,2023-03-30,2023-07-03,95,11,injury,Chris Wood,/chris-wood/profil/spieler/108725
2223,Injury to the ankle,2022-08-30,2022-09-01,2,1,injury,Pablo Sarabia,/pablo-sarabia/profil/spieler/74230
2223,Knock,2022-09-22,2022-09-30,8,,injury,Thomas Partey,/thomas-partey/profil/spieler/230784
2223,Thigh Problems,2022-08-25,2022-09-15,21,4,injury,Thomas Partey,/thomas-partey/profil/spieler/230784
2223,Leg Injury,2023-02-05,2023-02-20,15,4,injury,Antony,/antony/profil/spieler/602105
2223,Unknown Injury,2022-10-28,2022-11-23,26,5,injury,Antony,/antony/profil/spieler/602105
2223,Knee Injury,2023-05-10,2023-06-01,22,4,injury,Matt Ritchie,/matt-ritchie/profil/spieler/92469
2223,Ankle Injury,2023-03-10,2023-04-01,22,2,injury,Anthony Gordon,/anthony-gordon/profil/spieler/503733
2223,Thigh Muscle Strain,2023-01-01,2023-02-04,34,6,injury,John McGinn,/john-mcginn/profil/spieler/193116
2223,Hip Injury,2023-02-02,2023-03-08,34,9,injury,Anthony Martial,/anthony-martial/profil/spieler/182877
2223,Unknown Injury,2023-01-14,2023-01-30,16,5,injury,Anthony Martial,/anthony-martial/profil/spieler/182877
2223,Back Injury,2022-10-10,2022-10-31,21,6,injury,Anthony Martial,/anthony-martial/profil/spieler/182877
2223,Achilles Irritation,2022-08-23,2022-09-26,34,5,injury,Anthony Martial,/anthony-martial/profil/spieler/182877
2223,Hamstring Injury,2022-07-31,2022-08-18,18,2,injury,Anthony Martial,/anthony-martial/profil/spieler/182877
2223,Calf Injury,2023-02-04,2023-02-04,0,1,injury,Danny Welbeck,/danny-welbeck/profil/spieler/67063
2223,Unknown Injury,2022-12-23,2023-01-04,12,3,injury,Danny Welbeck,/danny-welbeck/profil/spieler/67063
2223,Toe Injury,2023-05-12,2023-05-29,17,3,injury,Darwin Núñez,/darwin-nunez/profil/spieler/546543
2223,Ankle Injury,2023-03-16,2023-03-30,14,,injury,Darwin Núñez,/darwin-nunez/profil/spieler/546543
2223,Shoulder Injury,2023-02-22,2023-02-27,5,1,injury,Darwin Núñez,/darwin-nunez/profil/spieler/546543
2223,Shoulder Injury,2023-02-18,2023-02-20,2,1,injury,Darwin Núñez,/darwin-nunez/profil/spieler/546543
2223,Dead Leg,2023-01-12,2023-01-19,7,2,injury,Darwin Núñez,/darwin-nunez/profil/spieler/546543
