season,injury,from,until,days,games,player,url
1819,Bruise,2018-11-04,2018-11-11,7,1,Richarlison,/richarlison/profil/spieler/378710
1819,Calf Injury,2018-08-12,2018-08-17,5,,Richarlison,/richarlison/profil/spieler/378710
1819,Groin Strain,2019-04-14,2019-05-31,47,5,Jannik Vestergaard,/jannik-vestergaard/profil/spieler/99331
1819,groin strain,2019-03-30,2019-04-05,6,2,Jannik Vestergaard,/jannik-vestergaard/profil/spieler/99331
1819,Ill,2018-08-13,2018-08-24,11,1,Jannik Vestergaard,/jannik-vestergaard/profil/spieler/99331
1819,Strain in the thigh and gluteal muscles,2019-05-06,2019-05-30,24,1,Erik Durm,/erik-durm/profil/spieler/93922
1819,Knock,2019-03-11,2019-03-14,3,,Erik Durm,/erik-durm/profil/spieler/93922
1819,Hip Injury,2019-02-11,2019-02-25,14,1,Erik Durm,/erik-durm/profil/spieler/93922
1819,Foot Injury,2019-01-31,2019-02-07,7,1,Erik Durm,/erik-durm/profil/spieler/93922
1819,Groin Strain,2018-11-01,2018-11-08,7,1,Erik Durm,/erik-durm/profil/spieler/93922
1819,Knock,2018-08-02,2018-08-30,28,4,Erik Durm,/erik-durm/profil/spieler/93922
1819,Thigh Muscle Strain,2019-01-06,2019-03-08,61,10,Jonjo Shelvey,/jonjo-shelvey/profil/spieler/71292
1819,Thigh Muscle Strain,2018-12-07,2018-12-28,21,4,Jonjo Shelvey,/jonjo-shelvey/profil/spieler/71292
1819,Knock,2018-11-04,2018-11-25,21,1,Jonjo Shelvey,/jonjo-shelvey/profil/spieler/71292
1819,Knock,2018-08-19,2018-09-14,26,3,Jonjo Shelvey,/jonjo-shelvey/profil/spieler/71292
1819,Knee Injury,2019-04-17,2019-09-17,153,13,Benjamin Mendy,/benjamin-mendy/profil/spieler/157495
1819,Meniscal Injury,2019-01-25,2019-02-27,33,9,Benjamin Mendy,/benjamin-mendy/profil/spieler/157495
1819,Knee Injury,2019-01-24,2019-04-03,69,15,Benjamin Mendy,/benjamin-mendy/profil/spieler/157495
1819,Knee Surgery,2018-11-14,2019-01-21,68,16,Benjamin Mendy,/benjamin-mendy/profil/spieler/157495
1819,Foot Injury,2018-09-14,2018-10-07,23,7,Benjamin Mendy,/benjamin-mendy/profil/spieler/157495
1819,Knock,2018-08-06,2018-08-11,5,,Benjamin Mendy,/benjamin-mendy/profil/spieler/157495
1819,Bruise,2019-03-17,2019-04-08,22,3,Fabian Delph,/fabian-delph/profil/spieler/50362
1819,Ill,2019-02-21,2019-03-08,15,3,Fabian Delph,/fabian-delph/profil/spieler/50362
1819,Bruise,2018-09-23,2018-10-31,38,7,Fabian Delph,/fabian-delph/profil/spieler/50362
1819,Hamstring Injury,2019-04-01,2019-04-28,27,7,Marcos Alonso,/marcos-alonso/profil/spieler/112515
1819,Back Injury,2018-12-03,2018-12-04,1,,Marcos Alonso,/marcos-alonso/profil/spieler/112515
1819,Knock,2019-05-05,2019-05-31,26,2,Davinson Sánchez,/davinson-sanchez/profil/spieler/341429
1819,Hamstring Injury,2018-11-06,2018-12-26,50,12,Davinson Sánchez,/davinson-sanchez/profil/spieler/341429
1819,Knee Injury,2019-04-28,2020-10-02,523,49,José Izquierdo,/jose-izquierdo/profil/spieler/147094
1819,Knee Injury,2018-12-04,2019-02-26,84,17,José Izquierdo,/jose-izquierdo/profil/spieler/147094
1819,Knee Injury,2018-08-01,2018-09-28,58,7,José Izquierdo,/jose-izquierdo/profil/spieler/147094
1819,Hamstring Injury,2019-03-10,2019-03-30,20,,Joe Bennett,/joe-bennett/profil/spieler/90964
1819,Hip Injury,2018-12-16,2018-12-25,9,1,Joe Bennett,/joe-bennett/profil/spieler/90964
1819,Knock,2019-03-17,2019-03-29,12,,Juninho Bacuna,/juninho-bacuna/profil/spieler/348863
1819,Knock,2018-08-30,2018-10-05,36,4,Juninho Bacuna,/juninho-bacuna/profil/spieler/348863
1819,Ankle Injury,2018-12-26,2019-01-06,11,4,Kevin McDonald,/kevin-mcdonald/profil/spieler/36529
1819,Ankle Injury,2018-11-05,2018-12-21,46,7,Kevin McDonald,/kevin-mcdonald/profil/spieler/36529
1819,Knock,2019-04-08,2019-04-14,6,,Kiko Femenía,/kiko-femenia/profil/spieler/76467
1819,Hamstring Injury,2019-01-20,2019-03-08,47,8,Kiko Femenía,/kiko-femenia/profil/spieler/76467
1819,Knock,2019-03-03,2019-03-08,5,,Jon Gorenc Stankovic,/jon-gorenc-stankovic/profil/spieler/245034
1819,Back Injury,2019-04-18,2019-04-20,2,,Aron Gunnarsson,/aron-gunnarsson/profil/spieler/63821
