date,home_team,away_team,home_score,away_score,gameweek
2022-08-05T19:00:00Z,Crystal Palace,Arsenal,0,2,1
2022-08-06T11:30:00Z,Fulham,Liverpool,2,2,1
2022-08-06T14:00:00Z,Bournemouth,Aston Villa,2,0,1
2022-08-06T14:00:00Z,Leeds,Wolves,2,1,1
2022-08-06T14:00:00Z,Newcastle,Nott'm Forest,2,0,1
2022-08-06T14:00:00Z,Spurs,Southampton,4,1,1
2022-08-06T16:30:00Z,Everton,Chelsea,0,1,1
2022-08-07T13:00:00Z,Leicester,Brentford,2,2,1
2022-08-07T13:00:00Z,Man Utd,Brighton,1,2,1
2022-08-07T15:30:00Z,West Ham,Man City,0,2,1
2022-08-13T11:30:00Z,Aston Villa,Everton,2,1,2
2022-08-13T14:00:00Z,Arsenal,Leicester,4,2,2
2022-08-13T14:00:00Z,Brighton,Newcastle,0,0,2
2022-08-13T14:00:00Z,Man City,Bournemouth,4,0,2
2022-08-13T14:00:00Z,Southampton,Leeds,2,2,2
2022-08-13T14:00:00Z,Wolves,Fulham,0,0,2
2022-08-13T16:30:00Z,Brentford,Man Utd,4,0,2
2022-08-14T13:00:00Z,Nott'm Forest,West Ham,1,0,2
2022-08-14T15:30:00Z,Chelsea,Spurs,2,2,2
2022-08-15T19:00:00Z,Liverpool,Crystal Palace,1,1,2
2022-08-20T11:30:00Z,Spurs,Wolves,1,0,3
2022-08-20T14:00:00Z,Crystal Palace,Aston Villa,3,1,3
2022-08-20T14:00:00Z,Everton,Nott'm Forest,1,1,3
2022-08-20T14:00:00Z,Fulham,Brentford,3,2,3
2022-08-20T14:00:00Z,Leicester,Southampton,1,2,3
2022-08-20T16:30:00Z,Bournemouth,Arsenal,0,3,3
2022-08-21T13:00:00Z,Leeds,Chelsea,3,0,3
2022-08-21T13:00:00Z,West Ham,Brighton,0,2,3
2022-08-21T15:30:00Z,Newcastle,Man City,3,3,3
2022-08-22T19:00:00Z,Man Utd,Liverpool,2,1,3
2022-08-27T11:30:00Z,Southampton,Man Utd,0,1,4
2022-08-27T14:00:00Z,Brentford,Everton,1,1,4
2022-08-27T14:00:00Z,Brighton,Leeds,1,0,4
2022-08-27T14:00:00Z,Chelsea,Leicester,2,1,4
2022-08-27T14:00:00Z,Liverpool,Bournemouth,9,0,4
2022-08-27T14:00:00Z,Man City,Crystal Palace,4,2,4
2022-08-27T16:30:00Z,Arsenal,Fulham,2,1,4
2022-08-28T13:00:00Z,Aston Villa,West Ham,0,1,4
2022-08-28T13:00:00Z,Wolves,Newcastle,1,1,4
2022-08-28T15:30:00Z,Nott'm Forest,Spurs,0,2,4
2022-08-30T18:30:00Z,Crystal Palace,Brentford,1,1,5
2022-08-30T18:30:00Z,Fulham,Brighton,2,1,5
2022-08-30T18:45:00Z,Southampton,Chelsea,2,1,5
2022-08-30T19:00:00Z,Leeds,Everton,1,1,5
