date,home_team,away_team,home_score,away_score
2020-09-12T11:30:00Z,Fulham,Arsenal,0,3
2020-09-12T14:00:00Z,Crystal Palace,Southampton,1,0
2020-09-12T16:30:00Z,Liverpool,Leeds,4,3
2020-09-12T19:00:00Z,West Ham,Newcastle,0,2
2020-09-13T13:00:00Z,West Brom,Leicester,0,3
2020-09-13T15:30:00Z,Spurs,Everton,0,1
2020-09-14T17:00:00Z,Sheffield Utd,Wolves,0,2
2020-09-14T19:15:00Z,Brighton,Chelsea,1,3
2020-09-19T11:30:00Z,Everton,West Brom,5,2
2020-09-19T14:00:00Z,Leeds,Fulham,4,3
2020-09-19T16:30:00Z,Man Utd,Crystal Palace,1,3
2020-09-19T19:00:00Z,Arsenal,West Ham,2,1
2020-09-20T11:00:00Z,Southampton,Spurs,2,5
2020-09-20T13:00:00Z,Newcastle,Brighton,0,3
2020-09-20T15:30:00Z,Chelsea,Liverpool,0,2
2020-09-20T18:00:00Z,Leicester,Burnley,4,2
2020-09-21T17:00:00Z,Aston Villa,Sheffield Utd,1,0
2020-09-21T19:15:00Z,Wolves,Man City,1,3
2020-09-26T11:30:00Z,Brighton,Man Utd,2,3
2020-09-26T14:00:00Z,Crystal Palace,Everton,1,2
2020-09-26T16:30:00Z,West Brom,Chelsea,3,3
2020-09-26T19:00:00Z,Burnley,Southampton,0,1
2020-09-27T11:00:00Z,Sheffield Utd,Leeds,0,1
2020-09-27T13:00:00Z,Spurs,Newcastle,1,1
2020-09-27T15:30:00Z,Man City,Leicester,2,5
2020-09-27T18:00:00Z,West Ham,Wolves,4,0
2020-09-28T16:45:00Z,Fulham,Aston Villa,0,3
2020-09-28T19:00:00Z,Liverpool,Arsenal,3,1
2020-10-03T11:30:00Z,Chelsea,Crystal Palace,4,0
2020-10-03T14:00:00Z,Everton,Brighton,4,2
2020-10-03T16:30:00Z,Leeds,Man City,1,1
2020-10-03T19:00:00Z,Newcastle,Burnley,3,1
2020-10-04T11:00:00Z,Leicester,West Ham,0,3
2020-10-04T11:00:00Z,Southampton,West Brom,2,0
2020-10-04T13:00:00Z,Arsenal,Sheffield Utd,2,1
2020-10-04T13:00:00Z,Wolves,Fulham,1,0
2020-10-04T15:30:00Z,Man Utd,Spurs,1,6
2020-10-04T18:15:00Z,Aston Villa,Liverpool,7,2
2020-10-17T11:30:00Z,Everton,Liverpool,2,2
2020-10-17T14:00:00Z,Chelsea,Southampton,3,3
2020-10-17T16:30:00Z,Man City,Arsenal,1,0
2020-10-17T19:00:00Z,Newcastle,Man Utd,1,4
2020-10-18T11:00:00Z,Sheffield Utd,Fulham,1,1
2020-10-18T13:00:00Z,Crystal Palace,Brighton,1,1
2020-10-18T15:30:00Z,Spurs,West Ham,3,3
2020-10-18T18:15:00Z,Leicester,Aston Villa,0,1
