season,details,from,until,days,games,reason,player,url
1920,Hip Injury,2020-03-01,2020-05-20,80,3,injury,Alisson,/alisson/profil/spieler/105470
1920,Calf Injury,2019-08-10,2019-10-16,67,11,injury,Alisson,/alisson/profil/spieler/105470
1920,Red card suspension,2019-12-01,2019-12-05,4,1,suspension,Alisson,/alisson/profil/spieler/105470
1920,Ankle Injury,2019-11-11,2019-11-22,11,,injury,Mohamed Salah,/mohamed-salah/profil/spieler/148455
1920,Ankle problems,2019-10-06,2019-10-22,16,1,injury,Mohamed Salah,/mohamed-salah/profil/spieler/148455
1920,Transferred to Waasl.-Beveren,2019-08-29,2020-01-30,,,Transfer,Aaron Tshibola,/aaron-tshibola/profil/spieler/243633
1920,Transferred to Desportivo Aves,2020-01-31,2020-07-31,,,Transfer,Aaron Tshibola,/aaron-tshibola/profil/spieler/243633
1920,Ankle Injury,2020-06-18,2020-06-24,6,1,injury,Granit Xhaka,/granit-xhaka/profil/spieler/111455
1920,Concussion,2019-12-09,2019-12-17,8,3,injury,Granit Xhaka,/granit-xhaka/profil/spieler/111455
1920,Back Injury,2019-08-12,2019-08-23,11,1,injury,Granit Xhaka,/granit-xhaka/profil/spieler/111455
1920,Ankle Injury,2019-09-12,2019-09-17,5,1,injury,Davinson Sánchez,/davinson-sanchez/profil/spieler/341429
1920,Ankle Injury,2019-11-20,2020-01-04,45,3,injury,Rhian Brewster,/rhian-brewster/profil/spieler/406560
1920,Transferred to Swansea,2020-01-07,2020-07-30,,,Transfer,Rhian Brewster,/rhian-brewster/profil/spieler/406560
1920,Ankle Injury,2020-07-02,2020-07-04,2,,injury,Joelinton,/joelinton/profil/spieler/333241
1920,Thigh Muscle Strain,2020-02-17,2020-02-21,4,,injury,Joelinton,/joelinton/profil/spieler/333241
1920,Shoulder Injury,2020-02-06,2020-02-15,9,,injury,Joelinton,/joelinton/profil/spieler/333241
1920,Calf Problems,2019-12-29,2019-12-31,2,,injury,Joelinton,/joelinton/profil/spieler/333241
1920,Groin Injury,2019-08-18,2019-08-24,6,,injury,Joelinton,/joelinton/profil/spieler/333241
1920,Transferred to TSG Hoffenheim,2019-07-01,2019-07-22,,,Transfer,Joelinton,/joelinton/profil/spieler/333241
1920,Hand Injury,2020-01-05,2020-01-23,18,4,injury,DeAndre Yedlin,/deandre-yedlin/profil/spieler/255916
1920,Hip Injury,2019-11-27,2019-12-10,13,3,injury,DeAndre Yedlin,/deandre-yedlin/profil/spieler/255916
1920,groin strain,2019-04-28,2019-09-28,153,9,injury,DeAndre Yedlin,/deandre-yedlin/profil/spieler/255916
1920,Ankle Injury,2020-06-22,2020-06-23,1,,injury,Phil Jagielka,/phil-jagielka/profil/spieler/13520
1920,Transferred to Club Brugge,2019-07-01,2019-07-31,,,Transfer,Marvelous Nakamba,/marvelous-nakamba/profil/spieler/324882
1920,Knock,2020-03-01,2020-03-02,1,,injury,Joe Gomez,/joe-gomez/profil/spieler/256178
1920,Knock,2020-01-23,2020-02-01,9,2,injury,Fernandinho,/fernandinho/profil/spieler/26267
1920,Transferred to Nottm Forest,2019-07-01,2020-01-20,,,Transfer,Jack Robinson,/jack-robinson/profil/spieler/128909
1920,Shoulder Injury,2020-08-01,2020-09-26,56,5,injury,Pedro,/pedro/profil/spieler/65278
