season,injury,from,until,days,games,player,url
1516,Concussion,2016-03-01,2016-03-20,19,3,Lee Cattermole,/lee-cattermole/profil/spieler/37363
1516,Back trouble,2015-12-04,2015-12-19,15,3,Lee Cattermole,/lee-cattermole/profil/spieler/37363
1516,Shoulder Injury,2015-08-12,2015-09-18,37,5,Adam Johnson,/adam-johnson/profil/spieler/31579
1516,Injury to the ankle,2015-12-03,2016-01-08,36,6,Éder,/eder/profil/spieler/84481
1516,Knee Injury,2016-02-18,2016-02-28,10,4,David de Gea,/david-de-gea/profil/spieler/59377
1516,Muscular problems,2015-11-23,2015-12-08,15,3,Ramires,/ramires/profil/spieler/54170
1516,Cruciate Ligament Injury,2015-10-12,2016-06-02,234,52,Joe Gomez,/joe-gomez/profil/spieler/256178
1516,Hamstring Injury,2016-04-10,2016-04-22,12,3,Phil Jagielka,/phil-jagielka/profil/spieler/13520
1516,Ruptured intraarticular ligament initiation in knee,2015-10-24,2015-12-31,68,12,Phil Jagielka,/phil-jagielka/profil/spieler/13520
1516,Hamstring Injury,2016-01-07,2016-01-28,21,6,Philippe Coutinho,/philippe-coutinho/profil/spieler/80444
1516,Thigh Muscle Strain,2015-11-23,2015-12-10,17,5,Philippe Coutinho,/philippe-coutinho/profil/spieler/80444
1516,Head Injury,2016-03-17,2016-03-24,7,2,Ben Davies,/ben-davies/profil/spieler/192765
1516,Shoulder Injury,2015-06-29,2015-07-02,3,,Ben Davies,/ben-davies/profil/spieler/192765
1516,Ankle Injury,2016-03-05,2016-06-01,88,,Baily Cargill,/baily-cargill/profil/spieler/293450
1516,Groin Injury,2015-07-07,2015-10-18,103,11,Sylvain Marveaux,/sylvain-marveaux/profil/spieler/39909
1516,Ill,2015-12-27,2015-12-29,2,1,Cesc Fàbregas,/cesc-fabregas/profil/spieler/8806
1516,Thigh Problems,2015-12-09,2015-12-31,22,4,Dwight Gayle,/dwight-gayle/profil/spieler/196522
1516,Thigh Problems,2015-11-06,2015-12-06,30,3,Dwight Gayle,/dwight-gayle/profil/spieler/196522
1516,Knee Injury,2015-10-25,2015-12-13,49,7,Jack Colback,/jack-colback/profil/spieler/61644
1516,Thigh Problems,2015-09-26,2015-10-17,21,2,Jack Colback,/jack-colback/profil/spieler/61644
1516,Knee Injury,2015-09-18,2015-10-17,29,5,Nathan Dyer,/nathan-dyer/profil/spieler/37011
1516,Inguinal Hernia,2016-04-02,2016-07-01,90,7,Adam Smith,/adam-smith/profil/spieler/61841
1516,Knee Injury,2016-04-22,2016-12-12,234,21,Ibrahim Afellay,/ibrahim-afellay/profil/spieler/15760
1516,Unknown Injury,2016-01-12,2016-02-03,22,5,Andy Carroll,/andy-carroll/profil/spieler/48066
1516,Hamstring Injury,2016-02-02,2016-02-26,24,5,Jesús Navas,/jesus-navas/profil/spieler/15956
1516,Leg Injury,2016-05-27,2016-06-05,9,,Riyad Mahrez,/riyad-mahrez/profil/spieler/171424
1516,Unknown Injury,2016-03-20,2016-04-29,40,5,Harry Arter,/harry-arter/profil/spieler/55742
1516,Hip Injury,2015-06-07,2015-10-25,140,12,Harry Arter,/harry-arter/profil/spieler/55742
1516,Hip Injury,2015-07-10,2016-03-10,244,31,Curtis Good,/curtis-good/profil/spieler/179471
1516,Shoulder Injury,2016-02-15,2016-02-25,10,3,Hugo Lloris,/hugo-lloris/profil/spieler/17965
1516,Fractured Hand,2015-07-13,2015-08-03,21,,Hugo Lloris,/hugo-lloris/profil/spieler/17965
1516,Ankle problems,2016-03-17,2016-03-24,7,1,Nicolás Otamendi,/nicolas-otamendi/profil/spieler/54781
1516,Hamstring Injury,2015-12-01,2015-12-28,27,6,Peter Crouch,/peter-crouch/profil/spieler/4072
1516,Hamstring Injury,2016-01-19,2016-03-18,59,10,Carlos Sánchez,/carlos-sanchez/profil/spieler/51226
1516,Knock,2015-12-28,2016-01-18,21,5,Carlos Sánchez,/carlos-sanchez/profil/spieler/51226
1516,Eye Injury,2015-12-07,2015-12-14,7,1,Carlos Sánchez,/carlos-sanchez/profil/spieler/51226
1516,Bruise,2015-10-24,2015-11-07,14,4,Christian Fuchs,/christian-fuchs/profil/spieler/6636
1516,Hamstring Injury,2016-02-29,2016-03-22,22,2,Donald Love,/donald-love/profil/spieler/179451
1516,Torn Knee Ligament,2016-01-23,2016-10-13,264,61,Carl Jenkinson,/carl-jenkinson/profil/spieler/126321
1516,Hamstring Injury,2015-10-23,2015-11-01,9,1,Federico Fazio,/federico-fazio/profil/spieler/45314
1516,Hamstring Injury,2016-03-17,2016-04-04,18,3,Roberto Firmino,/roberto-firmino/profil/spieler/131789
1516,Back Injury,2015-09-24,2015-10-19,25,4,Roberto Firmino,/roberto-firmino/profil/spieler/131789
1516,Metatarsal Fracture,2016-01-03,2016-04-03,91,15,Adama Traoré,/adama-traore/profil/spieler/204103
1516,Calf Injury,2015-08-25,2015-09-19,25,4,Adama Traoré,/adama-traore/profil/spieler/204103
1516,Injury to the ankle,2015-12-28,2016-01-11,14,3,Mousa Dembélé,/mousa-dembele/profil/spieler/19368
1516,Foot Injury,2015-12-14,2015-12-17,3,,Mousa Dembélé,/mousa-dembele/profil/spieler/19368
1516,Sprained ankle,2015-08-31,2015-09-17,17,2,Mousa Dembélé,/mousa-dembele/profil/spieler/19368
1516,Back trouble,2016-04-18,2016-04-21,3,1,Gaël Clichy,/gael-clichy/profil/spieler/7449
1516,Ankle Injury,2015-08-21,2015-11-02,73,14,Gaël Clichy,/gael-clichy/profil/spieler/7449
1516,Thigh Muscle Strain,2015-11-23,2015-12-19,26,5,Bakary Sako,/bakary-sako/profil/spieler/46791
1516,Hamstring Injury,2016-02-09,2016-03-13,33,7,Winston Reid,/winston-reid/profil/spieler/37526
1516,Hamstring Injury,2015-12-09,2016-01-05,27,5,Winston Reid,/winston-reid/profil/spieler/37526
1516,Hip problems,2015-10-03,2015-11-07,35,5,Winston Reid,/winston-reid/profil/spieler/37526
1516,Ruptured ankle ligament,2015-09-10,2015-10-18,38,6,Gary Hooper,/gary-hooper/profil/spieler/42513
1516,Knee Injury,2016-04-09,2016-04-23,14,3,Charlie Austin,/charlie-austin/profil/spieler/129627
1516,Hamstring Injury,2016-03-01,2016-04-03,33,5,Charlie Austin,/charlie-austin/profil/spieler/129627
1516,Hamstring Injury,2015-10-20,2015-12-31,72,13,Wellington Silva,/wellington-silva/profil/spieler/121990
1516,Leg Injury,2016-05-18,2016-06-14,27,,Sebastián Coates,/sebastian-coates/profil/spieler/102427
1516,Muscle Injury,2016-05-16,2016-06-30,45,,Sebastián Coates,/sebastian-coates/profil/spieler/102427
1516,Bruised Rib,2016-06-09,2016-08-14,66,1,Cristian Gamboa,/cristian-gamboa/profil/spieler/121686
1516,groin strain,2015-11-02,2015-11-18,16,2,Héctor Bellerín,/hector-bellerin/profil/spieler/191217
1516,Knee Injury,2015-08-21,2015-09-17,27,4,Christian Eriksen,/christian-eriksen/profil/spieler/69633
