season,details,from,until,days,games,reason,player,url
2021,Groin problems,2020-11-30,2020-12-03,3,,injury,,/ozan-kabak/profil/spieler/361260
2021,Knock,2020-12-05,2020-12-17,12,4,injury,,/sead-kolasinac/profil/spieler/94005
2021,Corona virus,2020-11-18,2020-12-01,13,3,injury,,/sead-kolasinac/profil/spieler/94005
2021,Bruised ribs,2020-11-02,2020-11-20,18,3,injury,,/bertrand-traore/profil/spieler/131996
2021,Ill,2020-09-14,2020-09-19,5,,injury,,/bertrand-traore/profil/spieler/131996
2021,Hamstring injury,2021-02-04,2021-02-22,18,4,injury,,/thomas-partey/profil/spieler/230784
2021,Hip injury,2020-12-03,2021-01-11,39,11,injury,,/thomas-partey/profil/spieler/230784
2021,Muscle injury,2020-11-09,2020-12-03,24,6,injury,,/thomas-partey/profil/spieler/230784
2021,Knock,2021-01-11,2021-01-28,17,4,injury,,/lys-mousset/profil/spieler/291422
2021,Ankle injury,2021-01-07,2021-01-11,4,1,injury,,/lys-mousset/profil/spieler/291422
2021,Toe injury,2020-11-30,2020-12-14,14,2,injury,,/lys-mousset/profil/spieler/291422
2021,Toe injury,2020-09-03,2020-11-23,81,10,injury,,/lys-mousset/profil/spieler/291422
2021,Muscle injury,2021-05-16,2021-05-24,8,2,injury,,/aleksandar-mitrovic/profil/spieler/51152
2021,Corona virus,2021-02-13,2021-02-27,14,3,injury,,/aleksandar-mitrovic/profil/spieler/51152
2021,Achilles tendon problems,2021-01-10,2021-01-19,9,2,injury,,/aleksandar-mitrovic/profil/spieler/51152
2021,Ill,2021-02-02,2021-02-12,10,3,injury,,/aboubakar-kamara/profil/spieler/290951
2021,Red card suspension,2020-10-24,2020-11-27,34,3,suspension,,/aboubakar-kamara/profil/spieler/290951
2021,Fracture of the eye socket,2021-06-13,2021-08-15,63,6,injury,,/timothy-castagne/profil/spieler/262226
2021,Hamstring strain,2021-02-01,2021-02-19,18,5,injury,,/timothy-castagne/profil/spieler/262226
2021,Hamstring strain,2020-10-27,2020-12-19,53,15,injury,,/timothy-castagne/profil/spieler/262226
2021,Hamstring injury,2020-11-07,2020-12-07,30,9,injury,,/luke-shaw/profil/spieler/183288
2021,Ankle injury,2020-07-14,2020-09-11,59,9,injury,,/luke-shaw/profil/spieler/183288
2021,Knee injury,2020-10-17,2020-12-28,72,20,injury,,/thiago/profil/spieler/60444
2021,Corona virus,2020-09-23,2020-10-16,23,7,injury,,/thiago/profil/spieler/60444
2021,Corona virus,2021-01-07,2021-02-12,36,10,injury,,/sergio-aguero/profil/spieler/26399
2021,Knock,2020-12-17,2020-12-18,1,,injury,,/sergio-aguero/profil/spieler/26399
2021,Knee injury,2020-11-26,2020-12-08,12,3,injury,,/sergio-aguero/profil/spieler/26399
2021,Hamstring injury,2020-10-25,2020-11-20,26,6,injury,,/sergio-aguero/profil/spieler/26399
2021,Hamstring injury,2021-05-03,2021-05-24,21,5,injury,,/david-luiz/profil/spieler/46741
