fixture_id,date,gameweek,home_team,away_team,season,tag,player_id
49,2024-09-22T13:00:00Z,5,BHA,NFO,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
50,2024-09-22T15:30:00Z,5,MCI,ARS,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
51,2024-09-28T11:30:00Z,6,NEW,MCI,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
52,2024-09-28T14:00:00Z,6,ARS,LEI,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
53,2024-09-28T14:00:00Z,6,BRE,WHU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
54,2024-09-28T14:00:00Z,6,CHE,BHA,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
55,2024-09-28T14:00:00Z,6,EVE,CRY,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
56,2024-09-28T14:00:00Z,6,NFO,FUL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
57,2024-09-28T16:30:00Z,6,WOL,LIV,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
58,2024-09-29T13:00:00Z,6,IPS,AVL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
59,2024-09-29T15:30:00Z,6,MUN,TOT,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
60,2024-09-30T19:00:00Z,6,BOU,SOU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
61,2024-10-05T11:30:00Z,7,CRY,LIV,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
62,2024-10-05T14:00:00Z,7,ARS,SOU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
63,2024-10-05T14:00:00Z,7,BRE,WOL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
64,2024-10-05T14:00:00Z,7,LEI,BOU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
65,2024-10-05T14:00:00Z,7,MCI,FUL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
66,2024-10-05T14:00:00Z,7,WHU,IPS,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
67,2024-10-05T16:30:00Z,7,EVE,NEW,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
68,2024-10-06T13:00:00Z,7,AVL,MUN,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
69,2024-10-06T13:00:00Z,7,CHE,NFO,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
70,2024-10-06T15:30:00Z,7,BHA,TOT,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
71,2024-10-19T11:30:00Z,8,TOT,WHU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
72,2024-10-19T14:00:00Z,8,FUL,AVL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
73,2024-10-19T14:00:00Z,8,MUN,BRE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
74,2024-10-19T14:00:00Z,8,NEW,BHA,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
75,2024-10-19T14:00:00Z,8,SOU,LEI,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
76,2024-10-19T14:15:00Z,8,IPS,EVE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
77,2024-10-19T16:30:00Z,8,BOU,ARS,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
78,2024-10-20T13:00:00Z,8,WOL,MCI,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
79,2024-10-20T15:30:00Z,8,LIV,CHE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
80,2024-10-21T19:00:00Z,8,NFO,CRY,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
81,2024-10-25T19:00:00Z,9,LEI,NFO,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
82,2024-10-26T14:00:00Z,9,AVL,BOU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
83,2024-10-26T14:00:00Z,9,BRE,IPS,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
84,2024-10-26T14:00:00Z,9,BHA,WOL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
85,2024-10-26T14:00:00Z,9,MCI,SOU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
86,2024-10-26T16:30:00Z,9,EVE,FUL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
87,2024-10-27T14:00:00Z,9,CHE,NEW,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
88,2024-10-27T14:00:00Z,9,CRY,TOT,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
