season,details,reason,from,until,days,games,player,url
2122,Transferred to Ipswich,Transfer,2021-08-30,2022-01-17,,,Christian Walton,/christian-walton/profil/spieler/208379
2122,Transferred to Ipswich,Transfer,2022-01-19,2022-06-30,,,Christian Walton,/christian-walton/profil/spieler/208379
2122,Transferred to Reading,Transfer,2021-08-12,2022-05-30,,,Tom Dele-Bashiru,/tom-dele-bashiru/profil/spieler/346472
2122,Transferred to Burnley U21,Transfer,2021-07-01,2022-06-30,,,Anthony Mancini,/anthony-mancini/profil/spieler/677311
2122,Transferred to Liverpool U23,Transfer,2021-07-01,2022-06-30,,,Billy Koumetio,/billy-koumetio/profil/spieler/696324
2122,Heel pain,injury,2021-12-09,2022-01-14,36,5,Rodrigo,/rodrigo/profil/spieler/131505
2122,Transferred to Inter,Transfer,2021-07-01,2021-12-16,,,Christian Eriksen,/christian-eriksen/profil/spieler/69633
2122,Transferred to Without Club,Transfer,2021-12-17,2022-01-30,,,Christian Eriksen,/christian-eriksen/profil/spieler/69633
2122,Transferred to Real Madrid,Transfer,2021-07-01,2021-08-19,,,Martin Ødegaard,/martin-odegaard/profil/spieler/316264
2122,Transferred to St. Mirren,Transfer,2021-08-31,2022-05-16,,,Connor Ronan,/connor-ronan/profil/spieler/337787
2122,Ankle Injury,injury,2022-04-17,2022-04-30,13,4,Mateo Kovacic,/mateo-kovacic/profil/spieler/51471
2122,Corona virus,injury,2021-12-03,2021-12-18,15,4,Mateo Kovacic,/mateo-kovacic/profil/spieler/51471
2122,Adductor problems,injury,2021-10-29,2021-12-01,33,7,Mateo Kovacic,/mateo-kovacic/profil/spieler/51471
2122,Transferred to Udinese Calcio,Transfer,2022-01-13,2022-06-30,,,Filip Benkovic,/filip-benkovic/profil/spieler/293168
2122,Transferred to West Ham U21,Transfer,2021-07-01,2022-06-30,,,Pierre Ekwah,/pierre-ekwah/profil/spieler/538994
2122,Corona virus,injury,2021-12-13,2022-01-03,21,6,Timo Werner,/timo-werner/profil/spieler/170527
2122,Strain,injury,2021-10-21,2021-11-15,25,5,Timo Werner,/timo-werner/profil/spieler/170527
2122,Ill,injury,2022-05-12,2022-05-19,7,1,Jürgen Locadia,/jurgen-locadia/profil/spieler/166240
2122,Knee Problems,injury,2022-03-17,2022-04-11,25,3,Jürgen Locadia,/jurgen-locadia/profil/spieler/166240
2122,Back bruise,injury,2022-03-03,2022-03-10,7,1,Jürgen Locadia,/jurgen-locadia/profil/spieler/166240
2122,Corona virus,injury,2021-12-13,2022-01-03,21,4,Jürgen Locadia,/jurgen-locadia/profil/spieler/166240
2122,Transferred to VfL Bochum,Transfer,2022-01-06,2022-06-30,,,Jürgen Locadia,/jurgen-locadia/profil/spieler/166240
2122,Transferred to Leicester U21,Transfer,2021-07-01,2022-01-27,,,Kasey McAteer,/kasey-mcateer/profil/spieler/621193
2122,Transferred to Forest Green,Transfer,2022-01-28,2022-05-30,,,Kasey McAteer,/kasey-mcateer/profil/spieler/621193
2122,Transferred to Leicester U21,Transfer,2022-05-31,2022-06-30,,,Kasey McAteer,/kasey-mcateer/profil/spieler/621193
2122,Transferred to Norwich U21,Transfer,2021-07-01,2022-06-30,,,Tony Springett,/tony-springett/profil/spieler/570864
2122,Wirst Injury,injury,2021-11-10,2022-01-24,75,9,Lukas Jensen,/lukas-jensen/profil/spieler/581890
2122,Transferred to Kórdrengir,Transfer,2021-07-01,2021-07-09,,,Lukas Jensen,/lukas-jensen/profil/spieler/581890
2122,Transferred to Burnley U21,Transfer,2021-07-10,2021-07-19,,,Lukas Jensen,/lukas-jensen/profil/spieler/581890
2122,Transferred to Carlisle United,Transfer,2021-07-20,2021-12-30,,,Lukas Jensen,/lukas-jensen/profil/spieler/581890
2122,Transferred to Burnley U21,Transfer,2021-12-31,2022-06-30,,,Lukas Jensen,/lukas-jensen/profil/spieler/581890
2122,Transferred to Coventry,Transfer,2021-08-13,2022-05-30,,,Jake Clarke-Salter,/jake-clarke-salter/profil/spieler/316551
2122,Knee Injury,injury,2022-04-21,2022-04-29,8,1,Tariq Lamptey,/tariq-lamptey/profil/spieler/504148
2122,Calf Problems,injury,2022-05-01,2022-05-25,24,3,Jonjo Shelvey,/jonjo-shelvey/profil/spieler/71292
2122,Muscle Injury,injury,2021-12-17,2021-12-26,9,1,Jonjo Shelvey,/jonjo-shelvey/profil/spieler/71292
2122,Calf Injury,injury,2021-08-15,2021-10-15,61,8,Jonjo Shelvey,/jonjo-shelvey/profil/spieler/71292
2122,Calf Injury,injury,2021-12-03,2022-01-02,30,8,Adrián,/adrian/profil/spieler/71271
2122,Calf Injury,injury,2021-11-19,2021-12-22,33,6,Stuart Armstrong,/stuart-armstrong/profil/spieler/130765
2122,Hamstring Injury,injury,2021-11-21,2022-05-21,181,26,Nicolas N'Koulou,/nicolas-nkoulou/profil/spieler/60577
2122,Transferred to Without Club,Transfer,2021-07-01,2021-10-06,,,Nicolas N'Koulou,/nicolas-nkoulou/profil/spieler/60577
