date,home_team,away_team,home_score,away_score
2023-08-11T19:00:00Z,Burnley,Man City,0,3
2023-08-12T12:00:00Z,Arsenal,Nott'm Forest,2,1
2023-08-12T14:00:00Z,Bournemouth,West Ham,1,1
2023-08-12T14:00:00Z,Brighton,Luton,4,1
2023-08-12T14:00:00Z,Everton,Fulham,0,1
2023-08-12T14:00:00Z,Sheffield Utd,Crystal Palace,0,1
2023-08-12T16:30:00Z,Newcastle,Aston Villa,5,1
2023-08-13T13:00:00Z,Brentford,Spurs,2,2
2023-08-13T15:30:00Z,Chelsea,Liverpool,1,1
2023-08-14T19:00:00Z,Man Utd,Wolves,1,0
2023-08-18T18:45:00Z,Nott'm Forest,Sheffield Utd,2,1
2023-08-19T14:00:00Z,Fulham,Brentford,0,3
2023-08-19T14:00:00Z,Liverpool,Bournemouth,3,1
2023-08-19T14:00:00Z,Wolves,Brighton,1,4
2023-08-19T16:30:00Z,Spurs,Man Utd,2,0
2023-08-19T19:00:00Z,Man City,Newcastle,1,0
2023-08-20T13:00:00Z,Aston Villa,Everton,4,0
2023-08-20T15:30:00Z,West Ham,Chelsea,3,1
2023-08-21T19:00:00Z,Crystal Palace,Arsenal,0,1
2023-08-25T19:00:00Z,Chelsea,Luton,3,0
2023-08-26T11:30:00Z,Bournemouth,Spurs,0,2
2023-08-26T14:00:00Z,Arsenal,Fulham,2,2
2023-08-26T14:00:00Z,Brentford,Crystal Palace,1,1
2023-08-26T14:00:00Z,Everton,Wolves,0,1
2023-08-26T14:00:00Z,Man Utd,Nott'm Forest,3,2
2023-08-26T16:30:00Z,Brighton,West Ham,1,3
2023-08-27T13:00:00Z,Burnley,Aston Villa,1,3
2023-08-27T13:00:00Z,Sheffield Utd,Man City,1,2
2023-08-27T15:30:00Z,Newcastle,Liverpool,1,2
2023-09-01T19:00:00Z,Luton,West Ham,1,2
2023-09-02T11:30:00Z,Sheffield Utd,Everton,2,2
2023-09-02T14:00:00Z,Brentford,Bournemouth,2,2
2023-09-02T14:00:00Z,Burnley,Spurs,2,5
2023-09-02T14:00:00Z,Chelsea,Nott'm Forest,0,1
2023-09-02T14:00:00Z,Man City,Fulham,5,1
2023-09-02T16:30:00Z,Brighton,Newcastle,3,1
2023-09-03T13:00:00Z,Crystal Palace,Wolves,3,2
2023-09-03T13:00:00Z,Liverpool,Aston Villa,3,0
2023-09-03T15:30:00Z,Arsenal,Man Utd,3,1
2023-09-16T11:30:00Z,Wolves,Liverpool,1,3
2023-09-16T14:00:00Z,Aston Villa,Crystal Palace,3,1
2023-09-16T14:00:00Z,Fulham,Luton,1,0
2023-09-16T14:00:00Z,Man Utd,Brighton,1,3
2023-09-16T14:00:00Z,Spurs,Sheffield Utd,2,1
2023-09-16T14:00:00Z,West Ham,Man City,1,3
2023-09-16T16:30:00Z,Newcastle,Brentford,1,0
2023-09-17T13:00:00Z,Bournemouth,Chelsea,0,0
2023-09-17T15:30:00Z,Everton,Arsenal,0,1
