season,absence/suspension,competition,from,until,days,games,player,url
1819,Red card suspension,Premier League,2018-11-11,2018-12-05,24,3,Dale Stephens,/dale-stephens/profil/spieler/49755
1819,Red card suspension,Bundesliga,2019-02-24,2019-03-16,20,3,Reece Oxford,/reece-oxford/profil/spieler/314295
1819,Yellow card suspension,UEFA Nations League B,2018-11-16,2019-03-26,130,1,Kasper Schmeichel,/kasper-schmeichel/profil/spieler/16911
1819,Red card suspension, ,2018-12-31,2019-01-14,14,2,Pierre-Emile Höjbjerg,/pierre-emile-hojbjerg/profil/spieler/167799
1819,Yellow card suspension,Premier League,2018-12-23,2018-12-28,5,1,Pierre-Emile Höjbjerg,/pierre-emile-hojbjerg/profil/spieler/167799
1819,Indirect card suspension, ,2018-08-26,2018-08-29,3,1,Pierre-Emile Höjbjerg,/pierre-emile-hojbjerg/profil/spieler/167799
1819,Red card suspension,Premier League,2018-12-05,2018-12-23,18,3,Shane Duffy,/shane-duffy/profil/spieler/119269
1819,Yellow card suspension,UEFA Champions League,2019-03-14,2019-04-10,27,1,Andrew Robertson,/andrew-robertson/profil/spieler/234803
1819,Indirect card suspension,Championship,2019-04-11,2019-04-15,4,1,Tyrone Mings,/tyrone-mings/profil/spieler/253677
1819,Indirect card suspension,Premier League,2018-12-03,2018-12-06,3,1,Jan Vertonghen,/jan-vertonghen/profil/spieler/43250
1819,special leave,Copa América 2019,2019-06-21,2019-06-25,4,,David Ospina,/david-ospina/profil/spieler/73396
1819,special leave, ,2019-05-09,2019-05-27,18,3,David Ospina,/david-ospina/profil/spieler/73396
1819,Red card suspension, ,2018-12-31,2019-01-14,14,3,Eric Bailly,/eric-bailly/profil/spieler/286384
1819,Yellow card suspension,Premier League,2019-02-10,2019-02-28,18,2,Jose Cholevas,/jose-cholevas/profil/spieler/41112
1819,Yellow card suspension,Bundesliga,2019-04-22,2019-04-28,6,1,Marko Grujic,/marko-grujic/profil/spieler/222813
1819,Red card suspension,Premier League,2019-03-17,2019-03-31,14,1,Harry Maguire,/harry-maguire/profil/spieler/177907
1819,Red card suspension,Premier League,2019-02-24,2019-03-10,14,3,Tommy Smith,/tommy-smith/profil/spieler/121398
1819,Yellow card suspension,UEFA Nations League A,2018-11-18,2018-11-21,3,1,Rúben Neves,/ruben-neves/profil/spieler/225161
1819,Yellow card suspension,Ligue 1,2018-11-05,2018-11-12,7,1,Youri Tielemans,/youri-tielemans/profil/spieler/249565
1819,Red card suspension, ,2018-09-26,2018-09-30,4,1,Sergio Romero,/sergio-romero/profil/spieler/30690
1819,Indirect card suspension,Championship,2018-10-22,2018-10-25,3,1,Chris Mepham,/chris-mepham/profil/spieler/480987
1819,Suspended, ,2019-03-29,2019-04-09,11,3,Shani Tarashaj,/shani-tarashaj/profil/spieler/184381
1819,Indirect card suspension,Premier League,2018-11-26,2018-12-03,7,1,Jordan Henderson,/jordan-henderson/profil/spieler/61651
1819,Yellow card suspension,Premier League,2019-04-08,2019-04-22,14,2,Sokratis Papastathopoulos,/sokratis-papastathopoulos/profil/spieler/34322
1819,Yellow card suspension,Premier League,2018-12-09,2018-12-17,8,1,Sokratis Papastathopoulos,/sokratis-papastathopoulos/profil/spieler/34322
1819,Indirect card suspension,Europa League Qualifying,2018-08-24,2018-08-31,7,1,Ben Gibson,/ben-gibson/profil/spieler/128904
1819,Indirect card suspension,Premier League,2019-04-29,2019-05-06,7,1,Ainsley Maitland-Niles,/ainsley-maitland-niles/profil/spieler/285845
1819,Red card suspension, ,2019-01-03,2019-01-20,17,3,Robbie Brady,/robbie-brady/profil/spieler/128229
1819,Indirect card suspension,LaLiga,2019-01-28,2019-02-03,6,1,Wesley Hoedt,/wesley-hoedt/profil/spieler/253765
1819,Yellow card suspension,Premier League,2018-12-03,2018-12-06,3,1,Granit Xhaka,/granit-xhaka/profil/spieler/111455
1819,Indirect card suspension,Premier League,2018-09-16,2018-09-23,7,1,Nemanja Matić,/nemanja-mati%C4%87/profil/spieler/74683
1819,Yellow card suspension,UEFA Nations League A,2018-10-13,2018-10-16,3,1,John Stones,/john-stones/profil/spieler/186590
