season,injury,from,until,days,games,player,url
2122,Hamstring Injury,2021-11-21,2022-05-21,181,26,Nicolas N'Koulou,/nicolas-nkoulou/profil/spieler/60577
2122,Groin Injury,2021-10-31,2021-11-24,24,3,Grant Hanley,/grant-hanley/profil/spieler/121385
2122,Corona virus,2021-10-06,2021-10-20,14,1,Francisco Trincão,/francisco-trincao/profil/spieler/412669
2122,Bruised Ankle,2022-04-22,2022-05-31,39,6,Max Kilman,/max-kilman/profil/spieler/525247
2122,Cruciate Ligament Rupture,2022-04-02,,67,9,Jakub Moder,/jakub-moder/profil/spieler/384461
2122,Pelvis Injury,2021-11-27,2022-02-04,69,11,Mathias Normann,/mathias-normann/profil/spieler/257805
2122,Unknown Injury,2021-08-16,2021-09-07,22,4,Joe Rodon,/joe-rodon/profil/spieler/297212
2122,Groin Injury,2022-01-22,2022-03-17,54,10,Nathan Tella,/nathan-tella/profil/spieler/340322
2122,Corona virus,2021-12-17,2021-12-27,10,1,Nathan Tella,/nathan-tella/profil/spieler/340322
2122,Unknown Injury,2022-04-28,2022-05-12,14,4,N'Golo Kanté,/ngolo-kante/profil/spieler/225083
2122,Corona virus,2022-01-05,2022-01-11,6,2,N'Golo Kanté,/ngolo-kante/profil/spieler/225083
2122,Knee Problems,2021-11-24,2021-12-15,21,5,N'Golo Kanté,/ngolo-kante/profil/spieler/225083
2122,Corona virus,2021-09-28,2021-10-12,14,2,N'Golo Kanté,/ngolo-kante/profil/spieler/225083
2122,Groin Injury,2021-08-28,2021-09-15,18,3,N'Golo Kanté,/ngolo-kante/profil/spieler/225083
2122,Ill,2021-10-22,2021-11-01,10,3,Caoimhin Kelleher,/caoimhin-kelleher/profil/spieler/340918
2122,Hamstring Injury,2022-04-16,2022-05-13,27,6,Keinan Davis,/keinan-davis/profil/spieler/412660
2122,Knee Injury,2021-08-14,2021-09-25,42,8,Keinan Davis,/keinan-davis/profil/spieler/412660
2122,Leg Injury,2021-12-18,2022-02-25,69,10,Willy Boly,/willy-boly/profil/spieler/142310
2122,Unknown Injury,2021-11-30,2021-12-06,6,2,Willy Boly,/willy-boly/profil/spieler/142310
2122,Hamstring Injury,2021-07-25,2021-08-14,20,1,Willy Boly,/willy-boly/profil/spieler/142310
2122,Foot Injury,2022-01-08,2022-04-11,93,16,Cole Palmer,/cole-palmer/profil/spieler/568177
2122,Bruised Foot,2021-08-14,2021-08-18,4,1,Nikola Vlasic,/nikola-vlasic/profil/spieler/293200
2122,Bruise,2021-07-24,2021-07-27,3,1,Nikola Vlasic,/nikola-vlasic/profil/spieler/293200
2122,Unknown Injury,2022-05-01,2022-05-08,7,2,Jorginho,/jorginho/profil/spieler/102017
2122,Calf Injury,2022-04-19,2022-05-20,31,5,Paul Pogba,/paul-pogba/profil/spieler/122153
2122,Hamstring Injury,2021-11-10,2022-02-03,85,14,Paul Pogba,/paul-pogba/profil/spieler/122153
2122,Angina,2022-03-22,2022-04-01,10,,Martin Dubravka,/martin-dubravka/profil/spieler/74960
2122,Foot Injury,2021-07-13,2021-09-20,69,6,Martin Dubravka,/martin-dubravka/profil/spieler/74960
2122,Thigh muscle rupture,2022-03-10,2022-05-23,74,14,Cenk Tosun,/cenk-tosun/profil/spieler/45671
2122,Thigh muscle rupture,2022-03-07,2022-05-27,81,11,Tyler Roberts,/tyler-roberts/profil/spieler/296986
2122,Calf Injury,2021-08-25,2021-09-06,12,1,Christos Tzolis,/christos-tzolis/profil/spieler/451677
2122,Ill,2022-04-10,2022-04-19,9,1,Steven Alzate,/steven-alzate/profil/spieler/476237
2122,Ankle Surgery,2021-09-27,2021-12-14,78,11,Steven Alzate,/steven-alzate/profil/spieler/476237
2122,Ill,2021-12-19,2021-12-27,8,2,Jordan Henderson,/jordan-henderson/profil/spieler/61651
2122,Ankle Injury,2022-03-30,,70,9,Josh Sargent,/josh-sargent/profil/spieler/393325
