date,home_team,away_team,home_score,away_score
2019-12-01T16:30:00Z,Man Utd,Aston Villa,2,2
2019-12-03T19:30:00Z,Crystal Palace,Bournemouth,1,0
2019-12-03T20:15:00Z,Burnley,Man City,1,4
2019-12-04T19:30:00Z,Chelsea,Aston Villa,2,1
2019-12-04T19:30:00Z,Leicester,Watford,2,0
2019-12-04T19:30:00Z,Man Utd,Spurs,2,1
2019-12-04T19:30:00Z,Southampton,Norwich,2,1
2019-12-04T19:30:00Z,Wolves,West Ham,2,0
2019-12-04T20:15:00Z,Liverpool,Everton,5,2
2019-12-05T19:30:00Z,Sheffield Utd,Newcastle,0,2
2019-12-05T20:15:00Z,Arsenal,Brighton,1,2
2019-12-07T12:30:00Z,Everton,Chelsea,3,1
2019-12-07T15:00:00Z,Bournemouth,Liverpool,0,3
2019-12-07T15:00:00Z,Spurs,Burnley,5,0
2019-12-07T15:00:00Z,Watford,Crystal Palace,0,0
2019-12-07T17:30:00Z,Man City,Man Utd,1,2
2019-12-08T14:00:00Z,Aston Villa,Leicester,1,4
2019-12-08T14:00:00Z,Newcastle,Southampton,2,1
2019-12-08T14:00:00Z,Norwich,Sheffield Utd,1,2
2019-12-08T16:30:00Z,Brighton,Wolves,2,2
2019-12-09T20:00:00Z,West Ham,Arsenal,1,3
2019-12-14T12:30:00Z,Liverpool,Watford,2,0
2019-12-14T15:00:00Z,Burnley,Newcastle,1,0
2019-12-14T15:00:00Z,Chelsea,Bournemouth,0,1
2019-12-14T15:00:00Z,Leicester,Norwich,1,1
2019-12-14T15:00:00Z,Sheffield Utd,Aston Villa,2,0
2019-12-14T17:30:00Z,Southampton,West Ham,0,1
2019-12-15T14:00:00Z,Man Utd,Everton,1,1
2019-12-15T14:00:00Z,Wolves,Spurs,1,2
2019-12-15T16:30:00Z,Arsenal,Man City,0,3
2019-12-16T19:45:00Z,Crystal Palace,Brighton,1,1
2019-12-21T12:30:00Z,Everton,Arsenal,0,0
2019-12-21T15:00:00Z,Aston Villa,Southampton,1,3
2019-12-21T15:00:00Z,Bournemouth,Burnley,0,1
2019-12-21T15:00:00Z,Brighton,Sheffield Utd,0,1
2019-12-21T15:00:00Z,Newcastle,Crystal Palace,1,0
2019-12-21T15:00:00Z,Norwich,Wolves,1,2
2019-12-21T17:30:00Z,Man City,Leicester,3,1
2019-12-22T14:00:00Z,Watford,Man Utd,2,0
2019-12-22T16:30:00Z,Spurs,Chelsea,0,2
2019-12-26T12:30:00Z,Spurs,Brighton,2,1
2019-12-26T15:00:00Z,Aston Villa,Norwich,1,0
2019-12-26T15:00:00Z,Bournemouth,Arsenal,1,1
2019-12-26T15:00:00Z,Chelsea,Southampton,0,2
2019-12-26T15:00:00Z,Crystal Palace,West Ham,2,1
2019-12-26T15:00:00Z,Everton,Burnley,1,0
2019-12-26T15:00:00Z,Sheffield Utd,Watford,1,1
2019-12-26T17:30:00Z,Man Utd,Newcastle,4,1
2019-12-26T20:00:00Z,Leicester,Liverpool,0,4
2019-12-27T19:45:00Z,Wolves,Man City,3,2
2019-12-28T12:30:00Z,Brighton,Bournemouth,2,0
2019-12-28T15:00:00Z,Newcastle,Everton,1,2
2019-12-28T15:00:00Z,Southampton,Crystal Palace,1,1
2019-12-28T15:00:00Z,Watford,Aston Villa,3,0
2019-12-28T17:30:00Z,Norwich,Spurs,2,2
2019-12-28T17:30:00Z,West Ham,Leicester,1,2
2019-12-28T19:45:00Z,Burnley,Man Utd,0,2
2019-12-29T14:00:00Z,Arsenal,Chelsea,1,2
2019-12-29T16:30:00Z,Liverpool,Wolves,1,0
2019-12-29T18:00:00Z,Man City,Sheffield Utd,2,0
2020-01-01T12:30:00Z,Brighton,Chelsea,1,1
2020-01-01T12:30:00Z,Burnley,Aston Villa,1,2
2020-01-01T15:00:00Z,Newcastle,Leicester,0,3
2020-01-01T15:00:00Z,Southampton,Spurs,1,0
2020-01-01T15:00:00Z,Watford,Wolves,2,1
2020-01-01T17:30:00Z,Man City,Everton,2,1
2020-01-01T17:30:00Z,Norwich,Crystal Palace,1,1
2020-01-01T17:30:00Z,West Ham,Bournemouth,4,0
2020-01-01T20:00:00Z,Arsenal,Man Utd,2,0
2020-01-02T20:00:00Z,Liverpool,Sheffield Utd,2,0
2020-01-10T20:00:00Z,Sheffield Utd,West Ham,1,0
2020-01-11T12:30:00Z,Crystal Palace,Arsenal,1,1
2020-01-11T15:00:00Z,Chelsea,Burnley,3,0
2020-01-11T15:00:00Z,Everton,Brighton,1,0
2020-01-11T15:00:00Z,Leicester,Southampton,1,2
2020-01-11T15:00:00Z,Man Utd,Norwich,4,0
2020-01-11T15:00:00Z,Wolves,Newcastle,1,1
2020-01-11T17:30:00Z,Spurs,Liverpool,0,1
2020-01-12T14:00:00Z,Bournemouth,Watford,0,3
2020-01-12T16:30:00Z,Aston Villa,Man City,1,6
2020-01-18T12:30:00Z,Watford,Spurs,0,0
2020-01-18T15:00:00Z,Arsenal,Sheffield Utd,1,1
2020-01-18T15:00:00Z,Brighton,Aston Villa,1,1
2020-01-18T15:00:00Z,Man City,Crystal Palace,2,2
2020-01-18T15:00:00Z,Norwich,Bournemouth,1,0
2020-01-18T15:00:00Z,Southampton,Wolves,2,3
2020-01-18T15:00:00Z,West Ham,Everton,1,1
2020-01-18T17:30:00Z,Newcastle,Chelsea,1,0
2020-01-19T14:00:00Z,Burnley,Leicester,2,1
2020-01-19T16:30:00Z,Liverpool,Man Utd,2,0
2020-01-21T19:30:00Z,Aston Villa,Watford,2,1
2020-01-21T19:30:00Z,Bournemouth,Brighton,3,1
2020-01-21T19:30:00Z,Crystal Palace,Southampton,0,2
2020-01-21T19:30:00Z,Everton,Newcastle,2,2
2020-01-21T19:30:00Z,Sheffield Utd,Man City,0,1
2020-01-21T20:15:00Z,Chelsea,Arsenal,2,2
2020-01-22T19:30:00Z,Leicester,West Ham,4,1
2020-01-22T19:30:00Z,Spurs,Norwich,2,1
2020-01-22T20:15:00Z,Man Utd,Burnley,0,2
2020-01-23T20:00:00Z,Wolves,Liverpool,1,2
2020-01-29T19:45:00Z,West Ham,Liverpool,0,2
2020-02-01T12:30:00Z,Leicester,Chelsea,2,2
2020-02-01T15:00:00Z,Bournemouth,Aston Villa,2,1
2020-02-01T15:00:00Z,Crystal Palace,Sheffield Utd,0,1
2020-02-01T15:00:00Z,Liverpool,Southampton,4,0
2020-02-01T15:00:00Z,Newcastle,Norwich,0,0
2020-02-01T15:00:00Z,Watford,Everton,2,3
2020-02-01T15:00:00Z,West Ham,Brighton,3,3
2020-02-01T17:30:00Z,Man Utd,Wolves,0,0
2020-02-02T14:00:00Z,Burnley,Arsenal,0,0
2020-02-02T16:30:00Z,Spurs,Man City,2,0
2020-02-08T12:30:00Z,Everton,Crystal Palace,3,1
2020-02-08T17:30:00Z,Brighton,Watford,1,1
2020-02-09T14:00:00Z,Sheffield Utd,Bournemouth,2,1
2020-02-14T20:00:00Z,Wolves,Leicester,0,0
2020-02-15T12:30:00Z,Southampton,Burnley,1,2
2020-02-15T17:30:00Z,Norwich,Liverpool,0,1
2020-02-16T14:00:00Z,Aston Villa,Spurs,2,3
2020-02-16T16:30:00Z,Arsenal,Newcastle,4,0
2020-02-17T20:00:00Z,Chelsea,Man Utd,0,2
2020-02-19T19:30:00Z,Man City,West Ham,2,0
2020-02-22T12:30:00Z,Chelsea,Spurs,2,1
2020-02-22T15:00:00Z,Burnley,Bournemouth,3,0
2020-02-22T15:00:00Z,Crystal Palace,Newcastle,1,0
2020-02-22T15:00:00Z,Sheffield Utd,Brighton,1,1
2020-02-22T15:00:00Z,Southampton,Aston Villa,2,0
2020-02-22T17:30:00Z,Leicester,Man City,0,1
2020-02-23T14:00:00Z,Man Utd,Watford,3,0
2020-02-23T14:00:00Z,Wolves,Norwich,3,0
2020-02-23T16:30:00Z,Arsenal,Everton,3,2
2020-02-24T20:00:00Z,Liverpool,West Ham,3,2
2020-02-28T20:00:00Z,Norwich,Leicester,1,0
2020-02-29T12:30:00Z,Brighton,Crystal Palace,0,1
2020-02-29T15:00:00Z,Bournemouth,Chelsea,2,2
2020-02-29T15:00:00Z,Newcastle,Burnley,0,0
2020-02-29T15:00:00Z,West Ham,Southampton,3,1
2020-02-29T17:30:00Z,Watford,Liverpool,3,0
2020-03-01T14:00:00Z,Everton,Man Utd,1,1
2020-03-01T14:00:00Z,Spurs,Wolves,2,3
2020-03-07T12:30:00Z,Liverpool,Bournemouth,2,1
2020-03-07T15:00:00Z,Arsenal,West Ham,1,0
2020-03-07T15:00:00Z,Crystal Palace,Watford,1,0
2020-03-07T15:00:00Z,Sheffield Utd,Norwich,1,0
2020-03-07T15:00:00Z,Southampton,Newcastle,0,1
2020-03-07T15:00:00Z,Wolves,Brighton,0,0
2020-03-07T17:30:00Z,Burnley,Spurs,1,1
2020-03-08T14:00:00Z,Chelsea,Everton,4,0
2020-03-08T16:30:00Z,Man Utd,Man City,2,0
2020-03-09T20:00:00Z,Leicester,Aston Villa,4,0
2020-06-17T17:00:00Z,Aston Villa,Sheffield Utd,0,0
2020-06-17T19:15:00Z,Man City,Arsenal,3,0
2020-06-19T17:00:00Z,Norwich,Southampton,0,3
2020-06-19T19:15:00Z,Spurs,Man Utd,1,1
2020-06-20T11:30:00Z,Watford,Leicester,1,1
2020-06-20T14:00:00Z,Brighton,Arsenal,2,1
2020-06-20T16:30:00Z,West Ham,Wolves,0,2
2020-06-20T18:45:00Z,Bournemouth,Crystal Palace,0,2
2020-06-21T13:00:00Z,Newcastle,Sheffield Utd,3,0
2020-06-21T15:15:00Z,Aston Villa,Chelsea,1,2
2020-06-21T18:00:00Z,Everton,Liverpool,0,0
2020-06-22T19:00:00Z,Man City,Burnley,5,0
2020-06-23T17:00:00Z,Leicester,Brighton,0,0
2020-06-23T19:15:00Z,Spurs,West Ham,2,0
2020-06-24T17:00:00Z,Man Utd,Sheffield Utd,3,0
2020-06-24T17:00:00Z,Newcastle,Aston Villa,1,1
2020-06-24T17:00:00Z,Norwich,Everton,0,1
2020-06-24T17:00:00Z,Wolves,Bournemouth,1,0
2020-06-24T19:15:00Z,Liverpool,Crystal Palace,4,0
2020-06-25T17:00:00Z,Burnley,Watford,1,0
2020-06-25T17:00:00Z,Southampton,Arsenal,0,2
2020-06-25T19:15:00Z,Chelsea,Man City,2,1
2020-06-27T11:30:00Z,Aston Villa,Wolves,0,1
2020-06-28T15:30:00Z,Watford,Southampton,1,3
2020-06-29T19:00:00Z,Crystal Palace,Burnley,0,1
2020-06-30T19:15:00Z,Brighton,Man Utd,0,3
2020-07-01T17:00:00Z,Arsenal,Norwich,4,0
2020-07-01T17:00:00Z,Bournemouth,Newcastle,1,4
2020-07-01T17:00:00Z,Everton,Leicester,2,1
2020-07-01T19:15:00Z,West Ham,Chelsea,3,2
2020-07-02T17:00:00Z,Sheffield Utd,Spurs,3,1
2020-07-02T19:15:00Z,Man City,Liverpool,4,0
2020-07-04T11:30:00Z,Norwich,Brighton,0,1
2020-07-04T14:00:00Z,Leicester,Crystal Palace,3,0
2020-07-04T14:00:00Z,Man Utd,Bournemouth,5,2
2020-07-04T16:30:00Z,Wolves,Arsenal,0,2
2020-07-04T19:00:00Z,Chelsea,Watford,3,0
2020-07-05T11:00:00Z,Burnley,Sheffield Utd,1,1
2020-07-05T13:15:00Z,Newcastle,West Ham,2,2
2020-07-05T15:30:00Z,Liverpool,Aston Villa,2,0
2020-07-05T18:00:00Z,Southampton,Man City,1,0
2020-07-06T19:00:00Z,Spurs,Everton,1,0
2020-07-07T17:00:00Z,Crystal Palace,Chelsea,2,3
2020-07-07T17:00:00Z,Watford,Norwich,2,1
2020-07-07T19:15:00Z,Arsenal,Leicester,1,1
2020-07-08T17:00:00Z,Man City,Newcastle,5,0
2020-07-08T17:00:00Z,Sheffield Utd,Wolves,1,0
2020-07-08T17:00:00Z,West Ham,Burnley,0,1
2020-07-08T19:15:00Z,Brighton,Liverpool,1,3
2020-07-09T17:00:00Z,Bournemouth,Spurs,0,0
2020-07-09T17:00:00Z,Everton,Southampton,1,1
2020-07-09T19:15:00Z,Aston Villa,Man Utd,0,3
2020-07-11T11:30:00Z,Norwich,West Ham,0,4
2020-07-11T11:30:00Z,Watford,Newcastle,2,1
2020-07-11T14:00:00Z,Liverpool,Burnley,1,1
2020-07-11T16:30:00Z,Sheffield Utd,Chelsea,3,0
2020-07-11T19:00:00Z,Brighton,Man City,0,5
2020-07-12T11:00:00Z,Wolves,Everton,3,0
2020-07-12T13:15:00Z,Aston Villa,Crystal Palace,2,0
2020-07-12T15:30:00Z,Spurs,Arsenal,2,1
2020-07-12T18:00:00Z,Bournemouth,Leicester,4,1
2020-07-13T19:00:00Z,Man Utd,Southampton,2,2
2020-07-14T19:15:00Z,Chelsea,Norwich,1,0
2020-07-15T17:00:00Z,Burnley,Wolves,1,1
2020-07-15T17:00:00Z,Man City,Bournemouth,2,1
2020-07-15T17:00:00Z,Newcastle,Spurs,1,3
2020-07-15T19:15:00Z,Arsenal,Liverpool,2,1
2020-07-16T17:00:00Z,Everton,Aston Villa,1,1
2020-07-16T17:00:00Z,Leicester,Sheffield Utd,2,0
2020-07-16T19:15:00Z,Crystal Palace,Man Utd,0,2
2020-07-16T19:15:00Z,Southampton,Brighton,1,1
2020-07-17T19:00:00Z,West Ham,Watford,3,1
2020-07-18T16:30:00Z,Norwich,Burnley,0,2
2020-07-19T13:00:00Z,Bournemouth,Southampton,0,2
2020-07-19T15:00:00Z,Spurs,Leicester,3,0
2020-07-20T17:00:00Z,Brighton,Newcastle,0,0
2020-07-20T17:00:00Z,Sheffield Utd,Everton,0,1
2020-07-20T19:15:00Z,Wolves,Crystal Palace,2,0
2020-07-21T17:00:00Z,Watford,Man City,0,4
2020-07-21T19:15:00Z,Aston Villa,Arsenal,1,0
2020-07-22T17:00:00Z,Man Utd,West Ham,1,1
2020-07-22T19:15:00Z,Liverpool,Chelsea,5,3
2020-07-26T15:00:00Z,Arsenal,Watford,3,2
2020-07-26T15:00:00Z,Burnley,Brighton,1,2
2020-07-26T15:00:00Z,Chelsea,Wolves,2,0
2020-07-26T15:00:00Z,Crystal Palace,Spurs,1,1
2020-07-26T15:00:00Z,Everton,Bournemouth,1,3
2020-07-26T15:00:00Z,Leicester,Man Utd,0,2
2020-07-26T15:00:00Z,Man City,Norwich,5,0
2020-07-26T15:00:00Z,Newcastle,Liverpool,1,3
2020-07-26T15:00:00Z,Southampton,Sheffield Utd,3,1
2020-07-26T15:00:00Z,West Ham,Aston Villa,1,1
