date,home_team,away_team,home_score,away_score
2019-08-09T19:00:00Z,Liverpool,Norwich,4,1
2019-08-10T11:30:00Z,West Ham,Man City,0,5
2019-08-10T14:00:00Z,Bournemouth,Sheffield Utd,1,1
2019-08-10T14:00:00Z,Burnley,Southampton,3,0
2019-08-10T14:00:00Z,Crystal Palace,Everton,0,0
2019-08-10T14:00:00Z,Watford,Brighton,0,3
2019-08-10T16:30:00Z,Spurs,Aston Villa,3,1
2019-08-11T13:00:00Z,Leicester,Wolves,0,0
2019-08-11T13:00:00Z,Newcastle,Arsenal,0,1
2019-08-11T15:30:00Z,Man Utd,Chelsea,4,0
2019-08-17T11:30:00Z,Arsenal,Burnley,2,1
2019-08-17T14:00:00Z,Aston Villa,Bournemouth,1,2
2019-08-17T14:00:00Z,Brighton,West Ham,1,1
2019-08-17T14:00:00Z,Everton,Watford,1,0
2019-08-17T14:00:00Z,Norwich,Newcastle,3,1
2019-08-17T14:00:00Z,Southampton,Liverpool,1,2
2019-08-17T16:30:00Z,Man City,Spurs,2,2
2019-08-18T13:00:00Z,Sheffield Utd,Crystal Palace,1,0
2019-08-18T15:30:00Z,Chelsea,Leicester,1,1
2019-08-19T19:00:00Z,Wolves,Man Utd,1,1
2019-08-23T19:00:00Z,Aston Villa,Everton,2,0
2019-08-24T11:30:00Z,Norwich,Chelsea,2,3
2019-08-24T14:00:00Z,Brighton,Southampton,0,2
2019-08-24T14:00:00Z,Man Utd,Crystal Palace,1,2
2019-08-24T14:00:00Z,Sheffield Utd,Leicester,1,2
2019-08-24T14:00:00Z,Watford,West Ham,1,3
2019-08-24T16:30:00Z,Liverpool,Arsenal,3,1
2019-08-25T13:00:00Z,Bournemouth,Man City,1,3
2019-08-25T15:30:00Z,Spurs,Newcastle,0,1
2019-08-25T15:30:00Z,Wolves,Burnley,1,1
2019-08-31T11:30:00Z,Southampton,Man Utd,1,1
2019-08-31T14:00:00Z,Chelsea,Sheffield Utd,2,2
2019-08-31T14:00:00Z,Crystal Palace,Aston Villa,1,0
2019-08-31T14:00:00Z,Leicester,Bournemouth,3,1
2019-08-31T14:00:00Z,Man City,Brighton,4,0
2019-08-31T14:00:00Z,Newcastle,Watford,1,1
2019-08-31T14:00:00Z,West Ham,Norwich,2,0
2019-08-31T16:30:00Z,Burnley,Liverpool,0,3
2019-09-01T13:00:00Z,Everton,Wolves,3,2
2019-09-01T15:30:00Z,Arsenal,Spurs,2,2
2019-09-14T11:30:00Z,Liverpool,Newcastle,3,1
2019-09-14T14:00:00Z,Brighton,Burnley,1,1
2019-09-14T14:00:00Z,Man Utd,Leicester,1,0
2019-09-14T14:00:00Z,Sheffield Utd,Southampton,0,1
2019-09-14T14:00:00Z,Spurs,Crystal Palace,4,0
2019-09-14T14:00:00Z,Wolves,Chelsea,2,5
2019-09-14T16:30:00Z,Norwich,Man City,3,2
2019-09-15T13:00:00Z,Bournemouth,Everton,3,1
2019-09-15T15:30:00Z,Watford,Arsenal,2,2
2019-09-16T19:00:00Z,Aston Villa,West Ham,0,0
2019-09-20T19:00:00Z,Southampton,Bournemouth,1,3
2019-09-21T11:30:00Z,Leicester,Spurs,2,1
2019-09-21T14:00:00Z,Burnley,Norwich,2,0
2019-09-21T14:00:00Z,Everton,Sheffield Utd,0,2
2019-09-21T14:00:00Z,Man City,Watford,8,0
2019-09-21T16:30:00Z,Newcastle,Brighton,0,0
2019-09-22T13:00:00Z,Crystal Palace,Wolves,1,1
2019-09-22T13:00:00Z,West Ham,Man Utd,2,0
2019-09-22T15:30:00Z,Arsenal,Aston Villa,3,2
2019-09-22T15:30:00Z,Chelsea,Liverpool,1,2
2019-09-28T11:30:00Z,Sheffield Utd,Liverpool,0,1
2019-09-28T14:00:00Z,Aston Villa,Burnley,2,2
2019-09-28T14:00:00Z,Bournemouth,West Ham,2,2
2019-09-28T14:00:00Z,Chelsea,Brighton,2,0
2019-09-28T14:00:00Z,Crystal Palace,Norwich,2,0
2019-09-28T14:00:00Z,Spurs,Southampton,2,1
2019-09-28T14:00:00Z,Wolves,Watford,2,0
2019-09-28T16:30:00Z,Everton,Man City,1,3
2019-09-29T15:30:00Z,Leicester,Newcastle,5,0
2019-09-30T19:00:00Z,Man Utd,Arsenal,1,1
2019-10-05T11:30:00Z,Brighton,Spurs,3,0
2019-10-05T14:00:00Z,Burnley,Everton,1,0
2019-10-05T14:00:00Z,Liverpool,Leicester,2,1
2019-10-05T14:00:00Z,Norwich,Aston Villa,1,5
2019-10-05T14:00:00Z,Watford,Sheffield Utd,0,0
2019-10-05T16:30:00Z,West Ham,Crystal Palace,1,2
2019-10-06T13:00:00Z,Arsenal,Bournemouth,1,0
2019-10-06T13:00:00Z,Man City,Wolves,0,2
2019-10-06T13:00:00Z,Southampton,Chelsea,1,4
2019-10-06T15:30:00Z,Newcastle,Man Utd,1,0
2019-10-19T11:30:00Z,Everton,West Ham,2,0
2019-10-19T14:00:00Z,Aston Villa,Brighton,2,1
2019-10-19T14:00:00Z,Bournemouth,Norwich,0,0
2019-10-19T14:00:00Z,Chelsea,Newcastle,1,0
2019-10-19T14:00:00Z,Leicester,Burnley,2,1
2019-10-19T14:00:00Z,Spurs,Watford,1,1
2019-10-19T14:00:00Z,Wolves,Southampton,1,1
2019-10-19T16:30:00Z,Crystal Palace,Man City,0,2
2019-10-20T15:30:00Z,Man Utd,Liverpool,1,1
2019-10-21T19:00:00Z,Sheffield Utd,Arsenal,1,0
2019-10-25T19:00:00Z,Southampton,Leicester,0,9
2019-10-26T11:30:00Z,Man City,Aston Villa,3,0
2019-10-26T14:00:00Z,Brighton,Everton,3,2
2019-10-26T14:00:00Z,Watford,Bournemouth,0,0
2019-10-26T14:00:00Z,West Ham,Sheffield Utd,1,1
2019-10-26T16:30:00Z,Burnley,Chelsea,2,4
2019-10-27T14:00:00Z,Newcastle,Wolves,1,1
2019-10-27T16:30:00Z,Arsenal,Crystal Palace,2,2
2019-10-27T16:30:00Z,Liverpool,Spurs,2,1
2019-10-27T16:30:00Z,Norwich,Man Utd,1,3
2019-11-02T12:30:00Z,Bournemouth,Man Utd,1,0
2019-11-02T15:00:00Z,Arsenal,Wolves,1,1
2019-11-02T15:00:00Z,Aston Villa,Liverpool,1,2
2019-11-02T15:00:00Z,Brighton,Norwich,2,0
2019-11-02T15:00:00Z,Man City,Southampton,2,1
2019-11-02T15:00:00Z,Sheffield Utd,Burnley,3,0
2019-11-02T15:00:00Z,West Ham,Newcastle,2,3
2019-11-02T17:30:00Z,Watford,Chelsea,1,2
2019-11-03T14:00:00Z,Crystal Palace,Leicester,0,2
2019-11-03T16:30:00Z,Everton,Spurs,1,1
2019-11-08T20:00:00Z,Norwich,Watford,0,2
2019-11-09T12:30:00Z,Chelsea,Crystal Palace,2,0
2019-11-09T15:00:00Z,Burnley,West Ham,3,0
2019-11-09T15:00:00Z,Newcastle,Bournemouth,2,1
2019-11-09T15:00:00Z,Southampton,Everton,1,2
2019-11-09T15:00:00Z,Spurs,Sheffield Utd,1,1
2019-11-09T17:30:00Z,Leicester,Arsenal,2,0
2019-11-10T14:00:00Z,Man Utd,Brighton,3,1
2019-11-10T14:00:00Z,Wolves,Aston Villa,2,1
2019-11-10T16:30:00Z,Liverpool,Man City,3,1
2019-11-23T12:30:00Z,West Ham,Spurs,2,3
2019-11-23T15:00:00Z,Arsenal,Southampton,2,2
2019-11-23T15:00:00Z,Bournemouth,Wolves,1,2
2019-11-23T15:00:00Z,Brighton,Leicester,0,2
2019-11-23T15:00:00Z,Crystal Palace,Liverpool,1,2
2019-11-23T15:00:00Z,Everton,Norwich,0,2
2019-11-23T15:00:00Z,Watford,Burnley,0,3
2019-11-23T17:30:00Z,Man City,Chelsea,2,1
2019-11-24T16:30:00Z,Sheffield Utd,Man Utd,3,3
2019-11-25T20:00:00Z,Aston Villa,Newcastle,2,0
2019-11-30T12:30:00Z,Newcastle,Man City,2,2
2019-11-30T15:00:00Z,Burnley,Crystal Palace,0,2
2019-11-30T15:00:00Z,Chelsea,West Ham,0,1
2019-11-30T15:00:00Z,Liverpool,Brighton,2,1
2019-11-30T15:00:00Z,Spurs,Bournemouth,3,2
2019-11-30T17:30:00Z,Southampton,Watford,2,1
2019-12-01T14:00:00Z,Norwich,Arsenal,2,2
2019-12-01T14:00:00Z,Wolves,Sheffield Utd,1,1
2019-12-01T16:30:00Z,Leicester,Everton,2,1
