season,injury,from,until,days,games,player,url
1617,Hamstring Injury,2017-03-22,2018-03-12,355,50,Lewis Page,/lewis-page/profil/spieler/242652
1617,Hip Injury,2016-11-14,2017-04-01,138,20,Lee Cattermole,/lee-cattermole/profil/spieler/37363
1617,Back Injury,2016-09-27,2016-11-19,53,7,Lee Cattermole,/lee-cattermole/profil/spieler/37363
1617,Inguinal Hernia,2016-07-08,2016-09-16,70,5,Lee Cattermole,/lee-cattermole/profil/spieler/37363
1617,Ankle Injury,2016-10-04,2016-12-03,60,10,Ben Chilwell,/ben-chilwell/profil/spieler/316125
1617,Traffic Accident,2016-09-11,2017-08-25,348,41,Pape Souaré,/pape-souare/profil/spieler/125868
1617,Abdominal Influenza,2017-06-05,2017-06-10,5,,David de Gea,/david-de-gea/profil/spieler/59377
1617,Achilles tendon problems,2016-07-15,2016-11-20,128,15,Joe Gomez,/joe-gomez/profil/spieler/256178
1617,Thigh Muscle Strain,2016-10-07,2016-10-14,7,,Phil Jagielka,/phil-jagielka/profil/spieler/13520
1617,Knee Injury,2016-10-30,2018-06-30,608,139,Rhoys Wiggins,/rhoys-wiggins/profil/spieler/42298
1617,Metatarsal Fracture,2017-02-16,2017-04-24,67,13,Gabriel Jesus,/gabriel-jesus/profil/spieler/363205
1617,Ankle Injury,2016-11-02,2016-12-10,38,7,Ben Davies,/ben-davies/profil/spieler/192765
1617,Ankle Injury,2016-11-27,2017-01-09,43,9,Philippe Coutinho,/philippe-coutinho/profil/spieler/80444
1617,Hamstring Injury,2016-12-10,2017-01-14,35,8,Stefano Okaka,/stefano-okaka/profil/spieler/35249
1617,Hamstring Injury,2016-09-10,2016-11-19,70,9,Stefano Okaka,/stefano-okaka/profil/spieler/35249
1617,Back Injury,2016-11-04,2016-12-09,35,5,Shaun Maloney,/shaun-maloney/profil/spieler/9508
1617,Hamstring Injury,2016-10-26,2017-08-13,291,41,Alex McCarthy,/alex-mccarthy/profil/spieler/95976
1617,Injury to the ankle,2017-01-26,2017-01-29,3,1,James Ward-Prowse,/james-ward-prowse/profil/spieler/181579
1617,Unknown Injury,2017-05-22,2017-06-30,39,,Marco van Ginkel,/marco-van-ginkel/profil/spieler/147034
1617,Knee Injury,2017-03-02,2017-03-09,7,1,Marco van Ginkel,/marco-van-ginkel/profil/spieler/147034
1617,Knee Injury,2016-08-05,2016-10-29,85,12,Marco van Ginkel,/marco-van-ginkel/profil/spieler/147034
1617,Thigh Problems,2016-10-14,2016-11-18,35,5,Cesc Fàbregas,/cesc-fabregas/profil/spieler/8806
1617,Hamstring Injury,2017-03-27,2017-04-27,31,5,Adam Lallana,/adam-lallana/profil/spieler/43530
1617,Minor Knock,2016-11-17,2016-12-01,14,3,Adam Lallana,/adam-lallana/profil/spieler/43530
1617,Achilles tendon rupture,2017-02-13,2017-09-22,221,20,Nathan Dyer,/nathan-dyer/profil/spieler/37011
1617,Ankle Injury,2016-09-10,2016-11-19,70,10,Nathan Dyer,/nathan-dyer/profil/spieler/37011
1617,Groin Injury,2016-12-01,2017-02-02,63,6,Danilo Pantic,/danilo-pantic/profil/spieler/222830
1617,Knock,2016-11-14,2016-11-26,12,1,Glenn Whelan,/glenn-whelan/profil/spieler/12124
1617,Knee Surgery,2017-04-05,2017-09-22,170,14,Ibrahim Afellay,/ibrahim-afellay/profil/spieler/15760
1617,Groin Injury,2017-04-15,2017-09-11,149,11,Andy Carroll,/andy-carroll/profil/spieler/48066
1617,Groin Injury,2017-02-04,2017-03-06,30,4,Andy Carroll,/andy-carroll/profil/spieler/48066
1617,Knee Injury,2016-08-18,2016-12-02,106,17,Andy Carroll,/andy-carroll/profil/spieler/48066
1617,Knee Injury,2016-07-15,2018-09-21,798,18,Moses Odubajo,/moses-odubajo/profil/spieler/163738
1617,Knee Injury,2016-12-26,2017-02-25,61,11,Jordan Pickford,/jordan-pickford/profil/spieler/130164
1617,Knee Injury,2016-10-15,2016-10-21,6,1,Harry Arter,/harry-arter/profil/spieler/55742
1617,Minor Knock,2017-06-19,2017-06-21,2,,Bartosz Kapustka,/bartosz-kapustka/profil/spieler/246579
1617,Tear in the abductor muscle,2017-02-01,2017-02-22,21,3,Joel Campbell,/joel-campbell/profil/spieler/131248
1617,Ankle Injury,2017-02-08,2017-03-10,30,6,Marlos Moreno,/marlos-moreno/profil/spieler/345654
1617,Hamstring Injury,2016-08-15,2016-09-15,31,4,Hugo Lloris,/hugo-lloris/profil/spieler/17965
1617,Knee Injury,2016-11-07,2016-11-17,10,,Dele Alli,/dele-alli/profil/spieler/207929
1617,Abdominal Strain,2016-11-07,2016-11-18,11,,Fraser Forster,/fraser-forster/profil/spieler/52570
1617,Calf Problems,2016-11-02,2016-11-05,3,1,Federico Fazio,/federico-fazio/profil/spieler/45314
1617,Muscular problems,2017-05-12,2017-05-18,6,1,Roberto Firmino,/roberto-firmino/profil/spieler/131789
1617,Groin Strain,2016-09-11,2016-09-18,7,1,Roberto Firmino,/roberto-firmino/profil/spieler/131789
1617,Unknown Injury,2016-09-18,2016-10-02,14,5,Mousa Dembélé,/mousa-dembele/profil/spieler/19368
1617,Knee Injury,2017-04-13,2017-04-30,17,4,Cameron Carter-Vickers,/cameron-carter-vickers/profil/spieler/341049
1617,Back Injury,2017-02-09,2017-03-01,20,4,Gaël Clichy,/gael-clichy/profil/spieler/7449
1617,Muscle Injury,2016-12-09,2017-01-01,23,5,Bakary Sako,/bakary-sako/profil/spieler/46791
1617,Groin Strain,2016-07-20,2016-09-14,56,5,Bakary Sako,/bakary-sako/profil/spieler/46791
1617,Knee Injury,2017-05-21,2017-09-06,108,4,Gabriel Paulista,/gabriel-paulista/profil/spieler/149498
1617,Ankle Injury,2016-08-08,2016-09-19,42,6,Gabriel Paulista,/gabriel-paulista/profil/spieler/149498
1617,Adductor problems,2017-03-18,2017-04-20,33,5,Winston Reid,/winston-reid/profil/spieler/37526
1617,Achilles tendon rupture,2016-02-01,2016-10-03,245,9,Martín Cáceres,/martin-caceres/profil/spieler/54935
1617,Hamstring Injury,2017-01-03,2017-01-16,13,3,Francis Coquelin,/francis-coquelin/profil/spieler/74869
1617,Knee Injury,2016-09-27,2016-10-17,20,3,Francis Coquelin,/francis-coquelin/profil/spieler/74869
1617,Eye Injury,2016-09-09,2016-09-16,7,2,Dejan Lovren,/dejan-lovren/profil/spieler/37838
1617,Cruciate Ligament Rupture,2017-05-23,2018-09-02,467,67,Gedion Zelalem,/gedion-zelalem/profil/spieler/228370
1617,Shoulder Injury,2016-12-08,2017-04-30,143,26,Charlie Austin,/charlie-austin/profil/spieler/129627
1617,Minor Knock,2016-10-31,2016-11-07,7,1,M'Baye Niang,/mbaye-niang/profil/spieler/157501
1617,Foot Injury,2017-02-20,2017-04-17,56,8,Calum Chambers,/calum-chambers/profil/spieler/215118
1617,Foot Injury,2017-01-26,2017-02-02,7,2,Calum Chambers,/calum-chambers/profil/spieler/215118
1617,Ankle Injury,2017-01-26,2017-09-13,230,23,Virgil van Dijk,/virgil-van-dijk/profil/spieler/139208
1617,Shoulder Injury,2017-01-10,2017-04-01,81,13,Markus Henriksen,/markus-henriksen/profil/spieler/122011
