season,injury,from,until,days,games,player,url
1617,Fitness,2017-01-06,2017-01-17,11,3,Allan McGregor,/allan-mcgregor/profil/spieler/9422
1617,Back Injury,2016-05-13,2017-01-05,237,27,Allan McGregor,/allan-mcgregor/profil/spieler/9422
1617,Ankle Injury,2017-01-06,2017-01-16,10,2,Héctor Bellerín,/hector-bellerin/profil/spieler/191217
1617,Ankle Injury,2016-11-07,2016-12-10,33,7,Héctor Bellerín,/hector-bellerin/profil/spieler/191217
1617,Ankle Injury,2017-03-18,2017-08-10,145,10,Pedro Obiang,/pedro-obiang/profil/spieler/101213
1617,Groin Surgery,2017-03-30,2017-04-28,29,8,Juan Mata,/juan-mata/profil/spieler/44068
1617,Fractured Jaw,2017-02-25,2017-04-03,37,7,Lucas Piazon,/lucas-piazon/profil/spieler/176485
1617,Back trouble,2016-08-05,2016-10-31,87,13,Sheyi Ojo,/sheyi-ojo/profil/spieler/236510
1617,Knee Injury,2016-12-14,2017-05-31,168,25,Roberto Pereyra,/roberto-pereyra/profil/spieler/112302
1617,Hamstring Injury,2017-01-31,2017-03-04,32,6,Steven Defour,/steven-defour/profil/spieler/33866
1617,Knock,2017-05-02,2017-05-23,21,4,Miguel Britos,/miguel-britos/profil/spieler/76799
1617,Ruptured cruciate ligament,2016-10-17,2017-08-25,312,54,James Wilson,/james-wilson/profil/spieler/214104
1617,Toe Injury,2017-03-20,2017-05-04,45,10,Phil Jones,/phil-jones/profil/spieler/117996
1617,Knee Injury,2016-09-05,2016-11-03,59,13,Phil Jones,/phil-jones/profil/spieler/117996
1617,Ankle Injury,2017-04-03,2017-04-20,17,5,Wayne Rooney,/wayne-rooney/profil/spieler/3332
1617,Knee Injury,2017-03-13,2017-03-30,17,3,Wayne Rooney,/wayne-rooney/profil/spieler/3332
1617,Hamstring Injury,2016-12-26,2017-01-05,10,3,Wayne Rooney,/wayne-rooney/profil/spieler/3332
1617,Thigh Muscle Strain,2016-10-20,2016-10-27,7,3,Wayne Rooney,/wayne-rooney/profil/spieler/3332
1617,Ligament Injury,2017-04-26,2017-09-18,145,11,Mamadou Sakho,/mamadou-sakho/profil/spieler/47713
1617,Achilles tendon problems,2016-07-12,2016-08-23,42,3,Mamadou Sakho,/mamadou-sakho/profil/spieler/47713
1617,Knee Injury,2016-08-23,2017-08-24,366,49,Greg Luer,/greg-luer/profil/spieler/356195
1617,Cruciate Ligament Rupture,2016-11-27,2018-03-12,470,62,Connor Wickham,/connor-wickham/profil/spieler/95435
1617,Knee Surgery,2017-01-03,2017-03-03,59,8,Jonathan Walters,/jonathan-walters/profil/spieler/3306
1617,Fitness,2016-10-12,2017-01-20,100,,Saido Berahino,/saido-berahino/profil/spieler/128897
1617,Foot Injury,2017-04-30,2017-08-20,112,11,Luke Shaw,/luke-shaw/profil/spieler/183288
1617,Groin Injury,2016-10-30,2017-01-02,64,14,Luke Shaw,/luke-shaw/profil/spieler/183288
1617,Hamstring Injury,2017-02-26,2017-04-20,53,8,Rubén Sobrino,/ruben-sobrino/profil/spieler/85383
1617,Ankle Injury,2017-05-15,2017-05-31,16,2,Kyle Walker,/kyle-walker/profil/spieler/95424
1617,Muscular problems,2017-02-23,2017-03-06,11,2,Henrikh Mkhitaryan,/henrikh-mkhitaryan/profil/spieler/55735
1617,Strain,2016-09-15,2016-10-17,32,7,Henrikh Mkhitaryan,/henrikh-mkhitaryan/profil/spieler/55735
1617,Knee Surgery,2017-01-22,2017-08-10,200,16,Angelo Ogbonna,/angelo-ogbonna/profil/spieler/48002
1617,Thigh Muscle Strain,2017-03-16,2017-05-01,46,8,Lucas Pérez,/lucas-perez/profil/spieler/73185
1617,Ankle Injury,2016-10-25,2016-11-30,36,8,Lucas Pérez,/lucas-perez/profil/spieler/73185
1617,Groin Injury,2017-03-03,2017-03-13,10,2,Junior Stanislas,/junior-stanislas/profil/spieler/87672
1617,Ankle Injury,2016-12-04,2016-12-25,21,4,Junior Stanislas,/junior-stanislas/profil/spieler/87672
1617,Inguinal Hernia,2016-06-01,2016-08-27,87,4,Junior Stanislas,/junior-stanislas/profil/spieler/87672
1617,Groin Strain,2017-02-08,2017-05-11,92,11,Ben Watson,/ben-watson/profil/spieler/14081
1617,Concussion,2017-05-15,2017-06-08,24,3,Shkodran Mustafi,/shkodran-mustafi/profil/spieler/88590
1617,Thigh Problems,2017-04-17,2017-05-04,17,4,Shkodran Mustafi,/shkodran-mustafi/profil/spieler/88590
1617,Hamstring Injury,2016-12-12,2017-01-02,21,4,Shkodran Mustafi,/shkodran-mustafi/profil/spieler/88590
1617,Hamstring Injury,2017-03-16,2017-04-03,18,3,Paul Pogba,/paul-pogba/profil/spieler/122153
1617,Groin Strain,2017-03-19,2017-04-15,27,5,Manolo Gabbiadini,/manolo-gabbiadini/profil/spieler/112343
1617,Muscle Fatigue,2016-11-14,2016-11-19,5,1,Manolo Gabbiadini,/manolo-gabbiadini/profil/spieler/112343
1617,Knock,2016-08-16,2016-08-30,14,4,Dimitri Payet,/dimitri-payet/profil/spieler/37647
1617,Knee Injury,2016-10-10,2017-01-27,109,16,Kenedy,/kenedy/profil/spieler/281404
1617,Knee Injury,2017-04-03,2017-06-29,87,8,Sadio Mané,/sadio-mane/profil/spieler/200512
1617,Shoulder Injury,2016-08-15,2016-08-22,7,1,Sadio Mané,/sadio-mane/profil/spieler/200512
1617,Knee Injury,2017-01-24,2017-06-30,157,16,Adam Federici,/adam-federici/profil/spieler/4233
1617,Groin Injury,2017-03-24,2017-03-31,7,,Kevin De Bruyne,/kevin-de-bruyne/profil/spieler/88755
1617,Hamstring Injury,2016-12-23,2017-02-04,43,9,Isaac Success,/isaac-success/profil/spieler/295331
1617,Hamstring Injury,2016-10-16,2016-12-03,48,7,Isaac Success,/isaac-success/profil/spieler/295331
1617,Knee Surgery,2016-08-24,2017-04-04,223,41,Jérémy Pied,/jeremy-pied/profil/spieler/60583
1617,Hamstring Injury,2017-02-27,2017-06-29,122,12,Dieumerci Mbokani,/dieumerci-mbokani/profil/spieler/44624
1617,Hamstring Injury,2016-10-10,2016-11-03,24,4,Dieumerci Mbokani,/dieumerci-mbokani/profil/spieler/44624
1617,Calf Strain,2017-04-28,2017-05-05,7,1,Jack Rodwell,/jack-rodwell/profil/spieler/57079
1617,Hamstring Injury,2016-11-03,2016-12-31,58,9,Jack Rodwell,/jack-rodwell/profil/spieler/57079
1617,Knee Injury,2017-04-15,2017-04-21,6,1,Ragnar Klavan,/ragnar-klavan/profil/spieler/26669
1617,Knee Injury,2016-08-23,2016-09-05,13,2,Ragnar Klavan,/ragnar-klavan/profil/spieler/26669
1617,Back trouble,2016-07-18,2016-08-07,20,,Ragnar Klavan,/ragnar-klavan/profil/spieler/26669
1617,Groin Injury,2016-09-04,2016-09-15,11,1,Enes Ünal,/enes-unal/profil/spieler/251106
1617,Back Injury,2017-04-28,2017-08-10,104,4,Diafra Sakho,/diafra-sakho/profil/spieler/120610
1617,Back Injury,2016-12-21,2017-03-18,87,13,Diafra Sakho,/diafra-sakho/profil/spieler/120610
1617,Hamstring Injury,2016-11-27,2016-12-20,23,6,Diafra Sakho,/diafra-sakho/profil/spieler/120610
1617,Back Injury,2016-07-05,2016-11-05,123,17,Diafra Sakho,/diafra-sakho/profil/spieler/120610
1617,Back trouble,2017-03-14,2017-06-30,108,14,Wes Morgan,/wes-morgan/profil/spieler/10003
1617,Adductor problems,2017-02-03,2017-02-14,11,3,Philipp Wollscheid,/philipp-wollscheid/profil/spieler/53173
1617,Surgery,2017-01-04,2017-01-22,18,1,Philipp Wollscheid,/philipp-wollscheid/profil/spieler/53173
1617,Ill,2017-02-23,2017-03-09,14,3,Reece Oxford,/reece-oxford/profil/spieler/314295
1617,Ankle Injury,2016-10-31,2017-01-05,66,11,Reece Oxford,/reece-oxford/profil/spieler/314295
1617,Fractured Hand,2016-11-03,2016-12-17,44,9,Kasper Schmeichel,/kasper-schmeichel/profil/spieler/16911
1617,Hamstring Injury,2016-08-01,2016-11-05,96,12,Ashley Barnes,/ashley-barnes/profil/spieler/63200
1617,Hamstring Injury,2016-08-16,2016-10-25,70,11,André Ayew,/andre-ayew/profil/spieler/45403
1617,Knock,2016-11-13,2016-11-18,5,,Pierre-Emile Höjbjerg,/pierre-emile-hojbjerg/profil/spieler/167799
1617,Ankle Injury,2016-12-01,2016-12-28,27,6,Vincent Janssen,/vincent-janssen/profil/spieler/207015
1617,Concussion,2016-11-10,2016-11-16,6,,Vincent Janssen,/vincent-janssen/profil/spieler/207015
1617,Shoulder Injury,2016-07-09,2017-04-04,269,34,James Husband,/james-husband/profil/spieler/167393
1617,Bruised Rib,2016-12-19,2016-12-29,10,1,Manuel Lanzini,/manuel-lanzini/profil/spieler/135853
1617,Knee Injury,2016-07-25,2016-09-08,45,7,Manuel Lanzini,/manuel-lanzini/profil/spieler/135853
1617,Groin Injury,2016-07-19,2016-08-14,26,2,Cameron Borthwick-Jackson,/cameron-borthwick-jackson/profil/spieler/258879
1617,Ankle Injury,2016-07-06,2016-08-20,45,1,Daniel Ayala,/daniel-ayala/profil/spieler/78966
1617,Ankle Injury,2017-05-06,2017-07-05,60,,Lazar Markovic,/lazar-markovic/profil/spieler/144303
1617,Knock,2016-12-08,2016-12-20,12,3,Lazar Markovic,/lazar-markovic/profil/spieler/144303
1617,Muscle Injury,2016-11-03,2016-11-18,15,1,Xherdan Shaqiri,/xherdan-shaqiri/profil/spieler/86792
1617,Calf Injury,2016-08-17,2016-09-24,38,7,Xherdan Shaqiri,/xherdan-shaqiri/profil/spieler/86792
1617,Shoulder Injury,2016-12-21,2017-04-02,102,19,Jonathan Williams,/jonathan-williams/profil/spieler/170322
1617,Muscle Injury,2017-03-06,2017-03-15,9,2,Bastian Schweinsteiger,/bastian-schweinsteiger/profil/spieler/2514
1617,Hamstring Injury,2017-01-29,2017-03-10,40,6,Curtis Davies,/curtis-davies/profil/spieler/18227
1617,Hamstring Injury,2017-01-02,2017-01-20,18,4,Curtis Davies,/curtis-davies/profil/spieler/18227
1617,Hamstring Injury,2016-12-17,2017-01-07,21,3,Tomas Kalas,/tomas-kalas/profil/spieler/148657
1617,Unknown Injury,2016-09-20,2016-10-23,33,7,Tomas Kalas,/tomas-kalas/profil/spieler/148657
1617,Medial Collateral Ligament Injury,2016-08-11,2016-11-24,105,15,Sebastian Larsson,/sebastian-larsson/profil/spieler/31720
1617,Hamstring Injury,2016-10-31,2016-11-07,7,1,Max Gradel,/max-gradel/profil/spieler/28140
1617,Hamstring Injury,2016-10-03,2016-10-17,14,1,Max Gradel,/max-gradel/profil/spieler/28140
1617,groin strain,2017-06-28,2017-07-20,22,,Nathaniel Chalobah,/nathaniel-chalobah/profil/spieler/128900
1617,groin strain,2017-06-23,2017-06-25,2,,Nathaniel Chalobah,/nathaniel-chalobah/profil/spieler/128900
1617,Achilles tendon problems,2017-04-27,2017-05-31,34,4,Joselu,/joselu/profil/spieler/81999
1617,Knee Injury,2016-09-12,2016-11-28,77,10,Joselu,/joselu/profil/spieler/81999
1617,Calf Strain,2016-10-15,2016-11-26,42,7,Andrew Robertson,/andrew-robertson/profil/spieler/234803
1617,Toe Injury,2017-05-22,2017-06-30,39,,Daryl Janmaat,/daryl-janmaat/profil/spieler/60744
1617,Shoulder Injury,2016-11-07,2016-11-18,11,,Daryl Janmaat,/daryl-janmaat/profil/spieler/60744
1617,Shoulder Injury,2016-09-18,2016-10-16,28,4,Daryl Janmaat,/daryl-janmaat/profil/spieler/60744
1617,Hamstring Injury,2017-03-18,2017-08-18,153,,Valon Behrami,/valon-behrami/profil/spieler/21905
1617,Disrupted Calf Muscle,2017-04-27,2017-06-23,57,6,Claudio Bravo,/claudio-bravo/profil/spieler/40423
1617,Groin Strain,2016-12-20,2017-01-01,12,2,Jordy Clasie,/jordy-clasie/profil/spieler/104223
1617,Muscular problems,2017-04-25,2017-05-10,15,3,Mario Suárez,/mario-suarez/profil/spieler/37337
1617,Ankle Injury,2017-01-14,2017-02-18,35,7,Jan Vertonghen,/jan-vertonghen/profil/spieler/43250
1617,Hamstring Injury,2016-10-16,2017-05-04,200,38,Matt Targett,/matt-targett/profil/spieler/250478
1617,Elbow Injury,2016-08-23,2016-11-18,87,12,Vito Mannone,/vito-mannone/profil/spieler/33781
1617,Knee Injury,2016-10-01,2016-10-13,12,1,Steven Berghuis,/steven-berghuis/profil/spieler/129554
1617,Back Injury,2017-04-03,2017-04-27,24,5,David Ospina,/david-ospina/profil/spieler/73396
1617,Thigh Problems,2016-11-27,2016-12-05,8,3,Olivier Giroud,/olivier-giroud/profil/spieler/82442
1617,Toe Injury,2016-09-24,2016-10-16,22,4,Olivier Giroud,/olivier-giroud/profil/spieler/82442
1617,Concussion,2017-04-02,2017-04-09,7,3,Fábio,/fabio/profil/spieler/61891
1617,Foot Injury,2016-07-20,2016-09-01,43,7,Brice Dja Djedje,/brice-dja-djedje/profil/spieler/93690
1617,Hamstring Injury,2016-12-01,2017-02-27,88,18,Marko Grujic,/marko-grujic/profil/spieler/222813
1617,Knee Injury,2016-09-29,2017-01-29,122,19,Jonathan Benteke,/jonathan-benteke/profil/spieler/273773
1617,Back trouble,2016-11-19,2016-12-02,13,2,Artur Boruc,/artur-boruc/profil/spieler/15220
1617,Muscular problems,2017-05-06,2017-05-31,25,2,Samir Nasri,/samir-nasri/profil/spieler/18935
1617,Muscle Injury,2017-04-06,2017-04-27,21,4,Samir Nasri,/samir-nasri/profil/spieler/18935
1617,Muscular problems,2017-01-20,2017-01-25,5,1,Samir Nasri,/samir-nasri/profil/spieler/18935
1617,Achilles tendon problems,2016-11-07,2016-12-05,28,5,Samir Nasri,/samir-nasri/profil/spieler/18935
1617,Achilles tendon problems,2016-10-31,2016-11-03,3,1,Samir Nasri,/samir-nasri/profil/spieler/18935
1617,Sprained ankle,2016-09-12,2016-09-19,7,2,Samir Nasri,/samir-nasri/profil/spieler/18935
1617,Fractured Leg,2017-03-27,2018-01-13,292,45,Seamus Coleman,/seamus-coleman/profil/spieler/68390
1617,Ankle Injury,2016-08-11,2016-09-05,25,4,Seamus Coleman,/seamus-coleman/profil/spieler/68390
1617,Calf Strain,2016-10-03,2016-10-14,11,,Raheem Sterling,/raheem-sterling/profil/spieler/134425
1617,Hamstring Injury,2017-02-13,2017-03-11,26,4,Simon Francis,/simon-francis/profil/spieler/13573
1617,Arthroscopie,2016-10-06,2016-12-07,62,3,Joleon Lescott,/joleon-lescott/profil/spieler/4241
1617,Hamstring Injury,2016-08-13,2016-08-30,17,4,Marten de Roon,/marten-de-roon/profil/spieler/133179
1617,Leg Injury,2017-02-16,2017-03-06,18,4,Vincent Kompany,/vincent-kompany/profil/spieler/9594
1617,Knee Injury,2016-11-21,2017-01-02,42,10,Vincent Kompany,/vincent-kompany/profil/spieler/9594
1617,Groin Injury,2016-09-22,2016-10-24,32,6,Vincent Kompany,/vincent-kompany/profil/spieler/9594
1617,Groin Injury,2016-05-05,2016-09-15,133,9,Vincent Kompany,/vincent-kompany/profil/spieler/9594
1617,Ankle Injury,2016-11-28,2017-01-29,62,11,Lynden Gooch,/lynden-gooch/profil/spieler/307781
1617,Knee Injury,2016-12-03,2017-09-15,286,36,Duncan Watmore,/duncan-watmore/profil/spieler/248045
1617,Muscle Injury,2016-11-23,2016-12-02,9,2,Jérémie Boga,/jeremie-boga/profil/spieler/216569
1617,Torn Meniscus,2017-05-09,2017-10-01,145,22,Shani Tarashaj,/shani-tarashaj/profil/spieler/184381
1617,Muscular problems,2017-03-09,2017-03-23,14,2,Shani Tarashaj,/shani-tarashaj/profil/spieler/184381
1617,Tonsillitis,2016-11-04,2016-12-07,33,4,Shani Tarashaj,/shani-tarashaj/profil/spieler/184381
1617,Foot Injury,2017-04-29,2017-05-11,12,2,Arthur Masuaku,/arthur-masuaku/profil/spieler/181380
1617,Knee Injury,2016-12-07,2017-02-24,79,12,Arthur Masuaku,/arthur-masuaku/profil/spieler/181380
1617,Knee Injury,2016-09-21,2016-11-29,69,10,Arthur Masuaku,/arthur-masuaku/profil/spieler/181380
1617,Hamstring Injury,2016-09-07,2016-11-04,58,8,Marc Pugh,/marc-pugh/profil/spieler/36939
1617,Knee Injury,2017-01-19,2017-06-01,133,19,Kevin Long,/kevin-long/profil/spieler/111114
1617,Knee Problems,2017-02-17,2017-02-24,7,2,Juan Carlos Paredes,/juan-carlos-paredes/profil/spieler/100507
1617,groin strain,2017-04-28,2017-05-10,12,2,Jonas Olsson,/jonas-olsson/profil/spieler/25248
1617,Ankle Injury,2017-01-02,2017-02-25,54,8,Dominic Calvert-Lewin,/dominic-calvert-lewin/profil/spieler/306024
1617,Meniscal Injury,2017-03-29,2017-07-17,110,9,Ramiro Funes Mori,/ramiro-funes-mori/profil/spieler/11111
1617,Strain,2016-11-22,2016-12-17,25,5,John Terry,/john-terry/profil/spieler/3160
1617,Ankle Injury,2016-09-11,2016-10-01,20,5,John Terry,/john-terry/profil/spieler/3160
1617,Muscle Injury,2017-02-18,2017-04-05,46,5,Mathieu Flamini,/mathieu-flamini/profil/spieler/17396
1617,Ankle Injury,2016-11-15,2016-12-25,40,6,Boaz Myhill,/boaz-myhill/profil/spieler/3838
1617,Ankle Injury,2017-04-30,2017-05-10,10,3,Granit Xhaka,/granit-xhaka/profil/spieler/111455
1617,Ankle Injury,2016-09-24,2016-11-05,42,7,Adnan Januzaj,/adnan-januzaj/profil/spieler/177847
1617,Muscle Injury,2016-12-22,2017-01-08,17,1,Eliaquim Mangala,/eliaquim-mangala/profil/spieler/90681
1617,Achilles tendon problems,2016-10-03,2016-10-22,19,2,Eliaquim Mangala,/eliaquim-mangala/profil/spieler/90681
1617,Adductor problems,2017-05-12,2017-05-19,7,1,Andre Wisdom,/andre-wisdom/profil/spieler/128912
1617,Thigh muscle rupture,2016-09-15,2016-10-06,21,6,Andre Wisdom,/andre-wisdom/profil/spieler/128912
1617,Knock,2016-12-05,2017-01-13,39,7,James Collins,/james-collins/profil/spieler/12691
1617,Torn Muscle Fibre,2016-11-09,2016-12-01,22,4,Jeremain Lens,/jeremain-lens/profil/spieler/38497
1617,Unknown Injury,2016-09-29,2016-10-21,22,4,Jeremain Lens,/jeremain-lens/profil/spieler/38497
1617,Cruciate Ligament Rupture,2017-02-02,2017-10-20,260,25,Callum Wilson,/callum-wilson/profil/spieler/123682
1617,Knee Injury,2016-10-28,2016-11-03,6,1,Arouna Koné,/arouna-kone/profil/spieler/8552
1617,Rupture of Outer Meniscus,2016-12-15,2017-06-01,168,24,Jan Kirchhoff,/jan-kirchhoff/profil/spieler/49734
1617,Hamstring Injury,2016-10-03,2016-11-17,45,5,Jan Kirchhoff,/jan-kirchhoff/profil/spieler/49734
1617,Hamstring Injury,2016-08-01,2016-09-05,35,4,Jan Kirchhoff,/jan-kirchhoff/profil/spieler/49734
1617,Hamstring Injury,2016-08-10,2016-08-20,10,2,Kevin Wimmer,/kevin-wimmer/profil/spieler/122675
1617,Fractured Arm,2016-10-27,2016-11-14,18,3,Antonio Valencia,/antonio-valencia/profil/spieler/33544
1617,Hamstring Injury,2017-03-28,2017-04-15,18,4,Leon Britton,/leon-britton/profil/spieler/40043
1617,Fractured Leg,2016-05-09,2017-12-31,601,65,Stephen Ireland,/stephen-ireland/profil/spieler/34838
1617,Shoulder Injury,2017-02-18,2017-07-01,133,,Molla Wagué,/molla-wague/profil/spieler/129893
1617,Flu,2016-10-21,2016-10-22,1,,Molla Wagué,/molla-wague/profil/spieler/129893
1617,Groin Strain,2016-11-30,2016-12-14,14,4,Cheikhou Kouyaté,/cheikhou-kouyate/profil/spieler/66934
1617,Inguinal Hernia,2016-09-26,2016-12-17,82,12,Craig Cathcart,/craig-cathcart/profil/spieler/59606
1617,Knee Surgery,2016-11-13,2017-04-15,153,24,Steve Mandanda,/steve-mandanda/profil/spieler/23951
1617,Hamstring Injury,2017-04-08,2017-08-10,124,7,Michail Antonio,/michail-antonio/profil/spieler/104124
1617,Hamstring Injury,2017-03-18,2017-04-04,17,2,Michail Antonio,/michail-antonio/profil/spieler/104124
1617,Groin Strain,2016-11-30,2016-12-11,11,3,Michail Antonio,/michail-antonio/profil/spieler/104124
1617,Hamstring Injury,2017-03-24,2017-06-30,98,9,James McCarthy,/james-mccarthy/profil/spieler/45333
1617,Hamstring Injury,2016-12-19,2017-01-07,19,5,James McCarthy,/james-mccarthy/profil/spieler/45333
1617,Groin Strain,2016-08-23,2016-10-05,43,7,James McCarthy,/james-mccarthy/profil/spieler/45333
1617,Hamstring Injury,2017-01-08,2017-02-03,26,2,Marc Wilson,/marc-wilson/profil/spieler/30456
