season,injury,from,until,days,games,player,url
1920,Knock,2020-06-19,2020-07-13,24,7,Fikayo Tomori,/fikayo-tomori/profil/spieler/303254
1920,Hip problems,2019-12-09,2019-12-21,12,2,Fikayo Tomori,/fikayo-tomori/profil/spieler/303254
1920,Ankle Injury,2019-07-21,2019-08-08,18,4,João Pedro,/joao-pedro/profil/spieler/626724
1920,Muscle Injury,2020-03-06,2020-03-12,6,1,Ben Chilwell,/ben-chilwell/profil/spieler/316125
1920,Groin Injury,2019-12-02,2019-12-07,5,1,Ben Chilwell,/ben-chilwell/profil/spieler/316125
1920,Hip Injury,2019-08-12,2019-08-30,18,3,Ben Chilwell,/ben-chilwell/profil/spieler/316125
1920,Torn Knee Ligament,2019-12-15,2020-01-17,33,6,Ben Godfrey,/ben-godfrey/profil/spieler/343475
1920,Groin Injury,2019-10-22,2019-10-26,4,,Ben Godfrey,/ben-godfrey/profil/spieler/343475
1920,Head Injury,2019-09-29,2019-10-04,5,,Ben Godfrey,/ben-godfrey/profil/spieler/343475
1920,Groin Injury,2019-09-11,2019-09-13,2,,Ben Godfrey,/ben-godfrey/profil/spieler/343475
1920,Hamstring Injury,2019-12-09,2020-01-17,39,8,Allan Saint-Maximin,/allan-saint-maximin/profil/spieler/272642
1920,Thigh Muscle Strain,2019-09-22,2019-09-28,6,,Allan Saint-Maximin,/allan-saint-maximin/profil/spieler/272642
1920,Hamstring Injury,2019-08-26,2019-09-20,25,3,Allan Saint-Maximin,/allan-saint-maximin/profil/spieler/272642
1920,Hamstring Injury,2019-08-12,2019-08-24,12,1,Allan Saint-Maximin,/allan-saint-maximin/profil/spieler/272642
1920,Ruptured cruciate ligament,2020-03-01,2020-10-24,237,4,Gerard Deulofeu,/gerard-deulofeu/profil/spieler/129476
1920,Groin Strain,2019-10-16,2019-10-19,3,,David de Gea,/david-de-gea/profil/spieler/59377
1920,Knee Injury,2019-12-10,2019-12-14,4,1,Nicolas Pépé,/nicolas-pepe/profil/spieler/343052
1920,Ankle Injury,2019-12-20,2020-09-12,267,27,Daniel Amartey,/daniel-amartey/profil/spieler/214056
