season,injury,from,until,days,games,player,url
2021,Head Injury,2020-07-12,2020-07-15,3,,Chris Basham,/chris-basham/profil/spieler/52495
2021,Kidney problems,2021-03-02,2021-12-31,304,25,Kevin McDonald,/kevin-mcdonald/profil/spieler/36529
2021,Knock,2021-01-27,2021-05-31,124,18,James McArthur,/james-mcarthur/profil/spieler/41416
2021,Medial Collateral Ligament Injury,2021-04-10,2021-06-30,81,9,Jean-Philippe Gbamin,/jean-philippe-gbamin/profil/spieler/182894
2021,Knock,2021-01-13,2021-02-06,24,5,Ben Osborn,/ben-osborn/profil/spieler/218087
2021,Knee Injury,2020-12-28,2021-01-11,14,2,Jay Rodríguez,/jay-rodriguez/profil/spieler/53360
2021,Ankle Injury,2020-09-23,2020-10-18,25,4,Jay Rodríguez,/jay-rodriguez/profil/spieler/53360
2021,Hand Injury,2019-12-08,2019-12-13,5,,Jay Rodríguez,/jay-rodriguez/profil/spieler/53360
2021,Chest injury,2020-10-25,2020-11-21,27,2,Mark Noble,/mark-noble/profil/spieler/31835
2021,Ankle Injury,2020-09-13,2020-09-26,13,3,Mark Noble,/mark-noble/profil/spieler/31835
2021,Virus Infection,2020-11-21,2020-12-05,14,2,Kieran Gibbs,/kieran-gibbs/profil/spieler/44792
2021,Knock,2021-02-18,2021-02-26,8,3,Scott McTominay,/scott-mctominay/profil/spieler/315969
2021,Bruise,2020-11-22,2020-12-01,9,2,Scott McTominay,/scott-mctominay/profil/spieler/315969
2021,Knee Injury,2020-10-22,2021-01-15,85,13,Sam Field,/sam-field/profil/spieler/387331
2021,Knee Problems,2021-01-28,2021-01-29,1,,Robert Snodgrass,/robert-snodgrass/profil/spieler/22614
2021,Foot Injury,2021-05-14,2021-05-21,7,2,Diogo Jota,/diogo-jota/profil/spieler/340950
2021,Bruised Knee,2020-12-09,2021-03-01,82,19,Diogo Jota,/diogo-jota/profil/spieler/340950
2021,Hamstring Injury,2021-01-20,2021-02-03,14,4,Niels Nkounkou,/niels-nkounkou/profil/spieler/591193
2021,Muscle Injury,2021-05-03,2021-05-27,24,5,Ozan Kabak,/ozan-kabak/profil/spieler/361260
2021,groin strain,2020-11-30,2020-12-03,3,,Ozan Kabak,/ozan-kabak/profil/spieler/361260
2021,Hip Injury,2020-11-14,2020-11-18,4,,Andrew Robertson,/andrew-robertson/profil/spieler/234803
2021,Ankle Injury,2021-05-14,2021-05-24,10,3,Antonee Robinson,/antonee-robinson/profil/spieler/349701
2021,Groin Injury,2021-06-08,2021-07-12,34,,Donny van de Beek,/donny-van-de-beek/profil/spieler/288255
2021,Muscle Injury,2021-02-17,2021-03-18,29,9,Donny van de Beek,/donny-van-de-beek/profil/spieler/288255
2021,Muscle Injury,2021-02-17,2021-02-26,9,3,Donny van de Beek,/donny-van-de-beek/profil/spieler/288255
2021,Ankle Injury,2020-11-19,2020-11-21,2,,Neco Williams,/neco-williams/profil/spieler/503680
2021,Ill,2020-11-07,2020-11-09,2,1,Neco Williams,/neco-williams/profil/spieler/503680
2021,Quarantine,2020-09-12,2020-09-20,8,2,Neco Williams,/neco-williams/profil/spieler/503680
2021,Ill,2020-07-21,2020-07-23,2,1,Neco Williams,/neco-williams/profil/spieler/503680
2021,Thigh Muscle Strain,2021-01-24,2021-02-10,17,4,Kyle Walker-Peters,/kyle-walker-peters/profil/spieler/341051
2021,Knock,2020-12-20,2021-01-25,36,6,Nathan Redmond,/nathan-redmond/profil/spieler/129078
2021,Hamstring Injury,2020-11-07,2020-12-06,29,2,Nathan Redmond,/nathan-redmond/profil/spieler/129078
2021,Ankle Injury,2020-09-18,2020-10-03,15,2,Nathan Redmond,/nathan-redmond/profil/spieler/129078
2021,Knee Injury,2021-04-12,2022-02-01,295,31,Pedro Neto,/pedro-neto/profil/spieler/487465
2021,Virus Infection,2020-12-14,2021-01-19,36,1,Adrián Bernabé,/adrian-bernabe/profil/spieler/466802
2021,Hamstring Injury,2020-10-25,2021-01-24,91,19,Steven Sessegnon,/steven-sessegnon/profil/spieler/406558
2021,Knock,2021-02-08,2021-02-16,8,2,Fernandinho,/fernandinho/profil/spieler/26267
2021,Knock,2020-10-22,2020-11-24,33,6,Fernandinho,/fernandinho/profil/spieler/26267
2021,Ill,2020-12-25,2021-01-01,7,2,Willian,/willian/profil/spieler/52769
2021,Calf Injury,2020-11-23,2020-11-28,5,1,Willian,/willian/profil/spieler/52769
2021,Calf Injury,2020-10-18,2020-10-31,13,3,Willian,/willian/profil/spieler/52769
2021,Knee Problems,2020-11-06,2020-12-10,34,4,Jonjoe Kenny,/jonjoe-kenny/profil/spieler/258883
2021,Ankle Injury,2020-10-02,2020-10-31,29,3,Jonjoe Kenny,/jonjoe-kenny/profil/spieler/258883
2021,Shoulder Injury,2020-10-22,2020-11-16,25,5,Kepa Arrizabalaga,/kepa-arrizabalaga/profil/spieler/192279
2021,Unknown Injury,2020-11-09,2020-12-10,31,3,Frederik Alves,/frederik-alves/profil/spieler/542690
2021,Neck Injury,2021-01-17,2021-01-23,6,1,Nampalys Mendy,/nampalys-mendy/profil/spieler/111051
2021,Fitness,2020-12-06,2021-01-01,26,4,Josh Onomah,/josh-onomah/profil/spieler/243589
2021,Knee Injury,2020-10-03,2020-12-06,64,8,Josh Onomah,/josh-onomah/profil/spieler/243589
2021,Calf Injury,2021-01-14,2021-02-05,22,6,Pablo Marí,/pablo-mari/profil/spieler/210178
2021,Medial Collateral Ligament Injury,2020-09-05,2020-12-11,97,13,Dwight Gayle,/dwight-gayle/profil/spieler/196522
2021,Muscle Injury,2021-05-06,2021-05-12,6,2,Jonny Evans,/jonny-evans/profil/spieler/42412
2021,Knock,2021-01-28,2021-01-29,1,,Jonny Evans,/jonny-evans/profil/spieler/42412
2021,Back Injury,2020-10-26,2020-11-07,12,3,Jonny Evans,/jonny-evans/profil/spieler/42412
2021,Knock,2020-10-15,2020-10-17,2,,Jonny Evans,/jonny-evans/profil/spieler/42412
2021,Thigh Muscle Strain,2020-09-10,2020-09-26,16,3,Jonny Evans,/jonny-evans/profil/spieler/42412
2021,Knock,2020-12-05,2020-12-17,12,4,Sead Kolasinac,/sead-kolasinac/profil/spieler/94005
2021,Corona virus,2020-11-18,2020-12-01,13,3,Sead Kolasinac,/sead-kolasinac/profil/spieler/94005
2021,Unknown Injury,2021-03-18,,423,,Meritan Shabani,/meritan-shabani/profil/spieler/379980
2021,Knee Injury,2021-03-20,2021-06-01,73,10,Isaac Hayden,/isaac-hayden/profil/spieler/206225
2021,Corona virus,2020-11-25,2020-12-11,16,1,Isaac Hayden,/isaac-hayden/profil/spieler/206225
2021,Thigh Muscle Strain,2020-10-18,2020-10-24,6,,Isaac Hayden,/isaac-hayden/profil/spieler/206225
2021,Thigh Muscle Strain,2020-07-05,2020-07-25,20,5,Isaac Hayden,/isaac-hayden/profil/spieler/206225
2021,Calf Injury,2021-02-01,2021-02-12,11,3,Robbie Brady,/robbie-brady/profil/spieler/128229
2021,Knock,2021-01-23,2021-01-26,3,1,Robbie Brady,/robbie-brady/profil/spieler/128229
2021,Thigh Muscle Strain,2020-12-22,2020-12-28,6,1,Robbie Brady,/robbie-brady/profil/spieler/128229
2021,Thigh Muscle Strain,2020-12-06,2020-12-12,6,,Robbie Brady,/robbie-brady/profil/spieler/128229
2021,Hamstring Injury,2020-11-24,2020-12-04,10,1,Robbie Brady,/robbie-brady/profil/spieler/128229
2021,Groin Injury,2020-11-19,2020-11-23,4,1,Robbie Brady,/robbie-brady/profil/spieler/128229
2021,Chest injury,2020-09-21,2020-10-02,11,3,Robbie Brady,/robbie-brady/profil/spieler/128229
2021,Groin Injury,2020-12-22,2021-01-11,20,3,Dwight McNeil,/dwight-mcneil/profil/spieler/584769
2021,Knock,2021-01-13,2021-01-26,13,2,Lys Mousset,/lys-mousset/profil/spieler/291422
2021,Ankle Injury,2021-01-10,2021-01-11,1,,Lys Mousset,/lys-mousset/profil/spieler/291422
2021,Toe Injury,2020-11-30,2020-12-12,12,1,Lys Mousset,/lys-mousset/profil/spieler/291422
2021,Toe Injury,2020-09-05,2020-11-20,76,9,Lys Mousset,/lys-mousset/profil/spieler/291422
2021,Muscle Injury,2020-11-26,2020-12-15,19,4,Percy Tau,/percy-tau/profil/spieler/312239
2021,Corona virus,2021-06-21,2021-07-01,10,,Billy Gilmour,/billy-gilmour/profil/spieler/423744
2021,Knee Injury,2020-07-09,2020-11-17,131,20,Billy Gilmour,/billy-gilmour/profil/spieler/423744
2021,Chest injury,2021-01-30,2021-02-16,17,5,Jordan Pickford,/jordan-pickford/profil/spieler/130164
2021,Fractured Foot,2020-10-04,2021-01-01,89,18,Morgan Gibbs-White,/morgan-gibbs-white/profil/spieler/429014
2021,Thigh Muscle Strain,2021-01-06,2021-01-29,23,4,Moussa Djenepo,/moussa-djenepo/profil/spieler/485424
2021,Hamstring Injury,2020-10-05,2020-10-31,26,2,Moussa Djenepo,/moussa-djenepo/profil/spieler/485424
2021,Toe Injury,2020-09-16,2020-09-29,13,4,James Tarkowski,/james-tarkowski/profil/spieler/173504
2021,Unknown Injury,2021-01-08,2021-01-15,7,2,Steven Bergwijn,/steven-bergwijn/profil/spieler/284165
2021,Knock,2020-11-22,2020-11-28,6,1,Steven Bergwijn,/steven-bergwijn/profil/spieler/284165
2021,Knock,2020-11-06,2020-11-20,14,1,Steven Bergwijn,/steven-bergwijn/profil/spieler/284165
2021,Virus Infection,2021-01-01,2021-01-16,15,,Tommy Doyle,/tommy-doyle/profil/spieler/433183
2021,Knock,2020-12-30,2021-01-23,24,4,Jimmy Dunne,/jimmy-dunne/profil/spieler/396174
2021,Ankle Injury,2020-11-08,2021-01-19,72,16,Angus Gunn,/angus-gunn/profil/spieler/201574
2021,Strain,2020-10-13,2020-10-25,12,2,Eric Dier,/eric-dier/profil/spieler/175722
2021,Thigh Muscle Strain,2021-01-22,2021-02-15,24,7,Charlie Taylor,/charlie-taylor/profil/spieler/195633
2021,Thigh Muscle Strain,2020-12-30,2021-01-20,21,3,Charlie Taylor,/charlie-taylor/profil/spieler/195633
2021,Thigh Muscle Strain,2020-07-16,2020-09-16,62,2,Charlie Taylor,/charlie-taylor/profil/spieler/195633
