season,details,from,until,days,games,reason,player,url
2324,Ankle injury,2024-02-26,2024-03-15,18,5,injury,Ryan Gravenberch,/ryan-gravenberch/profil/spieler/478573
2324,unknown injury,2024-02-01,2024-04-20,79,17,injury,Rhys Williams,/rhys-williams/profil/spieler/503679
2324,Back problems,2023-07-17,2023-08-13,27,2,injury,Rhys Williams,/rhys-williams/profil/spieler/503679
2324,Knee injury,2023-11-09,2023-11-20,11,1,injury,Ben White,/ben-white/profil/spieler/335721
2324,influenza,2024-05-25,2024-05-28,3,1,injury,Leander Dendoncker,/leander-dendoncker/profil/spieler/168157
2324,muscular problems,2024-05-05,2024-05-09,4,1,injury,Leander Dendoncker,/leander-dendoncker/profil/spieler/168157
2324,Torn lateral knee ligament,2024-02-13,2024-04-08,55,12,injury,Trent Alexander-Arnold,/trent-alexander-arnold/profil/spieler/314353
2324,Torn lateral knee ligament,2024-01-08,2024-01-28,20,4,injury,Trent Alexander-Arnold,/trent-alexander-arnold/profil/spieler/314353
2324,Hamstring injury,2023-09-04,2023-09-29,25,6,injury,Trent Alexander-Arnold,/trent-alexander-arnold/profil/spieler/314353
2324,Ill,2024-05-17,2024-06-07,21,1,injury,Darko Churlinov,/darko-churlinov/profil/spieler/386786
2324,Hamstring injury,2024-03-10,2024-03-28,18,4,injury,Micky van de Ven,/micky-van-de-ven/profil/spieler/557459
2324,Hamstring injury,2023-11-06,2024-01-01,56,12,injury,Micky van de Ven,/micky-van-de-ven/profil/spieler/557459
2324,Ankle surgery,2023-12-15,2024-03-01,77,17,injury,Marc Cucurella,/marc-cucurella/profil/spieler/284857
2324,Yellow card suspension,2023-11-26,2023-12-04,8,1,suspension,Marc Cucurella,/marc-cucurella/profil/spieler/284857
2324,muscular problems,2023-08-14,2023-08-26,12,2,injury,Bernardo Silva,/bernardo-silva/profil/spieler/241641
2324,Thigh problems,2024-04-29,2024-06-30,62,5,injury,Timo Werner,/timo-werner/profil/spieler/170527
2324,Adductor pain,2023-11-23,2023-12-10,17,5,injury,Timo Werner,/timo-werner/profil/spieler/170527
2324,Back problems,2023-09-25,2023-10-01,6,2,injury,Timo Werner,/timo-werner/profil/spieler/170527
2324,Calf problems,2024-02-04,2024-03-08,33,6,injury,Oleksandr Zinchenko,/oleksandr-zinchenko/profil/spieler/203853
2324,Calf problems,2023-12-30,2024-01-18,19,2,injury,Oleksandr Zinchenko,/oleksandr-zinchenko/profil/spieler/203853
2324,Yellow card suspension,2023-12-11,2023-12-17,6,1,suspension,Jarrad Branthwaite,/jarrad-branthwaite/profil/spieler/661053
2324,Knee injury,2023-10-16,2023-11-27,42,10,injury,Mauro Bandeira,/mauro-bandeira/profil/spieler/745846
2324,Knock,2024-04-25,2024-04-30,5,1,injury,Oliver Skipp,/oliver-skipp/profil/spieler/406638
2324,Knock,2023-12-26,2023-12-30,4,1,injury,Oliver Skipp,/oliver-skipp/profil/spieler/406638
2324,Injury to the ankle,2024-06-01,2024-06-20,19,,injury,Ethan Pinnock,/ethan-pinnock/profil/spieler/442248
2324,Ankle injury,2024-02-10,2024-04-13,63,11,injury,Ethan Pinnock,/ethan-pinnock/profil/spieler/442248
2324,Syndesmotic ligament tear,2023-12-16,2024-01-22,37,4,injury,Steven Alzate,/steven-alzate/profil/spieler/476237
2324,Knee problems,2024-04-22,2024-05-14,22,5,injury,Ben Chilwell,/ben-chilwell/profil/spieler/316125
2324,Ill,2024-03-30,2024-04-05,6,2,injury,Ben Chilwell,/ben-chilwell/profil/spieler/316125
2324,Knee problems,2024-03-27,2024-04-08,12,3,injury,Ben Chilwell,/ben-chilwell/profil/spieler/316125
2324,Knee problems,2024-03-07,2024-03-15,8,1,injury,Ben Chilwell,/ben-chilwell/profil/spieler/316125
2324,Fitness,2024-01-03,2024-01-08,5,1,injury,Ben Chilwell,/ben-chilwell/profil/spieler/316125
2324,Hamstring injury,2023-09-27,2024-01-03,98,23,injury,Ben Chilwell,/ben-chilwell/profil/spieler/316125
2324,Ill,2023-11-03,2024-01-10,68,2,injury,Odel Offiah,/odel-offiah/profil/spieler/567597
2324,Ill,2023-09-01,2023-09-18,17,2,injury,Odel Offiah,/odel-offiah/profil/spieler/567597
2324,Hamstring injury,2024-03-21,2024-04-12,22,4,injury,Matty Cash,/matty-cash/profil/spieler/425334
2324,Yellow card suspension,2023-12-23,2023-12-27,4,1,suspension,Matty Cash,/matty-cash/profil/spieler/425334
2324,muscular problems,2023-09-10,2023-09-22,12,2,injury,Antonee Robinson,/antonee-robinson/profil/spieler/349701
2324,Virus,2024-02-08,2024-02-13,5,1,injury,Joe Gomez,/joe-gomez/profil/spieler/256178
2324,Calf strain,2024-04-02,2024-05-01,29,6,injury,Lisandro Martínez,/lisandro-martinez/profil/spieler/480762
2324,Knee injury,2024-02-04,2024-03-29,54,10,injury,Lisandro Martínez,/lisandro-martinez/profil/spieler/480762
2324,Foot injury,2023-09-21,2024-01-04,105,26,injury,Lisandro Martínez,/lisandro-martinez/profil/spieler/480762
2324,minor knock,2023-07-24,2023-08-05,12,,injury,Mohammed Kudus,/mohammed-kudus/profil/spieler/543499
2324,Back injury,2024-03-25,2024-05-20,56,11,injury,Lewis Miley,/lewis-miley/profil/spieler/922769
2324,Fever,2023-10-16,2023-11-01,16,5,injury,Lewis Miley,/lewis-miley/profil/spieler/922769
2324,No eligibility,2024-03-11,2024-03-12,1,1,absence,Lewis Hall,/lewis-hall/profil/spieler/670858
2324,No eligibility,2023-11-25,2023-11-26,1,1,absence,Lewis Hall,/lewis-hall/profil/spieler/670858
2324,unknown injury,2024-05-01,2024-05-05,4,2,injury,Thiago Silva,/thiago-silva/profil/spieler/29241
2324,unknown injury,2024-02-13,2024-03-01,17,3,injury,Thiago Silva,/thiago-silva/profil/spieler/29241
2324,depression,2023-11-09,2023-12-10,31,5,injury,Lyle Foster,/lyle-foster/profil/spieler/467623
2324,Red card suspension,2023-09-19,2023-09-30,11,2,suspension,Lyle Foster,/lyle-foster/profil/spieler/467623
2324,Yellow card suspension,2023-11-28,2023-12-03,5,1,suspension,Mario Lemina,/mario-lemina/profil/spieler/170934
2324,Ankle injury,2023-11-11,2023-12-08,27,5,injury,Sean Longstaff,/sean-longstaff/profil/spieler/346707
2324,Hamstring injury,2024-04-21,,93,,injury,Abdallah Sima,/abdallah-sima/profil/spieler/776798
2324,Hamstring injury,2024-01-23,2024-03-28,65,16,injury,Abdallah Sima,/abdallah-sima/profil/spieler/776798
2324,unknown injury,2024-03-21,2024-04-06,16,3,injury,Bukayo Saka,/bukayo-saka/profil/spieler/433177
2324,Thigh problems,2023-10-03,2023-10-21,18,7,injury,Bukayo Saka,/bukayo-saka/profil/spieler/433177
2324,Longitudinal tendon tear,2024-02-12,2024-03-15,32,6,injury,Brandon Aguilera,/brandon-aguilera/profil/spieler/631996
2324,Ankle injury,2024-06-06,,47,1,injury,Nicolas Jackson,/nicolas-jackson/profil/spieler/776890
2324,Yellow card suspension,2023-09-25,2023-10-03,8,1,suspension,Nicolas Jackson,/nicolas-jackson/profil/spieler/776890
2324,Fitness,2024-01-10,2024-02-01,22,9,injury,Hamed Junior Traorè,/hamed-junior-traore/profil/spieler/391065
2324,malaria,2023-12-04,2024-01-10,37,7,injury,Hamed Junior Traorè,/hamed-junior-traore/profil/spieler/391065
2324,Adductor injury,2024-04-01,2024-04-12,11,2,injury,Kevin Mbabu,/kevin-mbabu/profil/spieler/183321
2324,Groin problems,2023-10-15,2023-10-30,15,2,injury,Kevin Mbabu,/kevin-mbabu/profil/spieler/183321
2324,Ill,2023-12-05,2023-12-07,2,1,injury,Giovanni Reyna,/giovanni-reyna/profil/spieler/504215
2324,Muscle injury,2024-04-04,2024-05-16,42,9,injury,Raphaël Varane,/raphael-varane/profil/spieler/164770
2324,Ill,2023-12-22,2023-12-25,3,1,injury,Raphaël Varane,/raphael-varane/profil/spieler/164770
2324,unknown injury,2023-08-26,2023-09-22,27,4,injury,Raphaël Varane,/raphael-varane/profil/spieler/164770
2324,Ill,2024-04-25,2024-05-01,6,1,injury,Dominic Calvert-Lewin,/dominic-calvert-lewin/profil/spieler/306024
2324,Broken cheekbone,2023-08-20,2023-09-14,25,4,injury,Dominic Calvert-Lewin,/dominic-calvert-lewin/profil/spieler/306024
2324,Fitness,2023-08-01,2023-08-18,17,1,injury,Dominic Calvert-Lewin,/dominic-calvert-lewin/profil/spieler/306024
2324,Adductor pain,2023-08-24,2023-08-29,5,2,injury,Valentín Barco,/valentin-barco/profil/spieler/849410
2324,unknown injury,2024-02-23,2024-04-25,62,12,injury,Willy Boly,/willy-boly/profil/spieler/142310
2324,Indirect card suspension,2023-12-24,2023-12-27,3,1,suspension,Willy Boly,/willy-boly/profil/spieler/142310
2324,Foot injury,2024-03-05,2024-03-29,24,4,injury,Gabriel Martinelli,/gabriel-martinelli/profil/spieler/655488
