season,absence/suspension,competition,from,until,days,games,player,url
1718,Suspension through sports court,Premier League,2017-11-21,2017-11-30,9,2,Oumar Niasse,/oumar-niasse/profil/spieler/209781
1718,Indirect card suspension,Premier League,2017-12-25,2017-12-28,3,1,Daniel Amartey,/daniel-amartey/profil/spieler/214056
1718,Indirect card suspension,UEFA Champions League,2017-09-14,2017-09-28,14,1,Joe Gomez,/joe-gomez/profil/spieler/256178
1718,No eligibility,UEFA Champions League,2018-01-06,2018-04-11,95,,Philippe Coutinho,/philippe-coutinho/profil/spieler/80444
1718,Suspended, ,2017-09-16,2017-11-03,48,6,Stefano Okaka,/stefano-okaka/profil/spieler/35249
1718,Indirect card suspension,Premier League,2017-08-14,2017-08-21,7,1,Cesc Fàbregas,/cesc-fabregas/profil/spieler/8806
1718,Suspended, ,2018-03-28,2018-06-30,94,7,Ibrahim Afellay,/ibrahim-afellay/profil/spieler/15760
1718,Indirect card suspension,Premier League,2017-10-15,2017-10-21,6,1,Andy Carroll,/andy-carroll/profil/spieler/48066
1718,special leave,World Cup qualification Africa,2017-08-31,2017-08-31,0,,Riyad Mahrez,/riyad-mahrez/profil/spieler/171424
1718,Yellow card suspension,Premier League,2017-11-06,2017-11-19,13,1,Nicolás Otamendi,/nicolas-otamendi/profil/spieler/54781
1718,Yellow card suspension,World Cup qualification Europe,2017-09-05,2017-10-06,31,1,Oleksandr Zinchenko,/oleksandr-zinchenko/profil/spieler/203853
1718,Suspension through sports court,World Cup qualification Europe,2017-09-28,2017-10-05,7,1,Dele Alli,/dele-alli/profil/spieler/207929
1718,Red card suspension,UEFA Champions League,2017-02-24,2017-10-19,237,3,Dele Alli,/dele-alli/profil/spieler/207929
1718,Suspension through sports court, ,2017-09-01,2017-09-25,24,3,Aleksandar Mitrović,/aleksandar-mitrovi%C4%87/profil/spieler/51152
1718,Yellow card suspension,Premier League,2017-12-14,2017-12-17,3,1,Winston Reid,/winston-reid/profil/spieler/37526
1718,Red card suspension,International Friendlies,2018-06-01,2018-06-06,5,1,Cenk Tosun,/cenk-tosun/profil/spieler/45671
1718,Indirect card suspension,Premier League,2018-04-01,2018-04-15,14,2,Wilfred Ndidi,/wilfred-ndidi/profil/spieler/274839
1718,Indirect card suspension,EFL Cup,2017-12-17,2017-12-20,3,1,Wilfred Ndidi,/wilfred-ndidi/profil/spieler/274839
1718,Suspension through sports court,Premier League,2017-12-24,2018-01-03,10,3,Charlie Austin,/charlie-austin/profil/spieler/129627
1718,Indirect card suspension, ,2017-11-06,2017-11-20,14,1,Christopher Schindler,/christopher-schindler/profil/spieler/57842
1718,Indirect card suspension,Premier League,2018-02-06,2018-02-13,7,1,Tiemoué Bakayoko,/tiemoue-bakayoko/profil/spieler/182618
1718,Red card suspension, ,2017-09-18,2017-10-02,14,3,David Luiz,/david-luiz/profil/spieler/46741
1718,Indirect card suspension,Premier League,2018-01-18,2018-01-21,3,1,Álvaro Morata,/alvaro-morata/profil/spieler/128223
1718,Yellow card suspension,LaLiga,2017-11-27,2017-12-03,6,1,Aymeric Laporte,/aymeric-laporte/profil/spieler/176553
1718,Yellow card suspension,World Cup qualification Europe,2017-06-12,2017-09-03,83,1,Luka Milivojevic,/luka-milivojevic/profil/spieler/74300
1718,Yellow card suspension,Premier League,2018-04-09,2018-04-16,7,1,Héctor Bellerín,/hector-bellerin/profil/spieler/191217
1718,Suspended,,2018-01-02,2018-01-31,29,,Martin Cranie,/martin-cranie/profil/spieler/27659
1718,special leave,Süper Lig,2018-01-26,2018-01-28,2,1,Badou Ndiaye,/badou-ndiaye/profil/spieler/211325
1718,Indirect card suspension,Süper Lig,2017-10-29,2017-11-04,6,1,Badou Ndiaye,/badou-ndiaye/profil/spieler/211325
1718,Yellow card suspension,UEFA Youth League,2018-04-21,2018-04-24,3,1,Trevoh Chalobah,/trevoh-chalobah/profil/spieler/346314
1718,Yellow card suspension,World Cup qualification Europe,2017-10-07,2017-10-12,5,1,Aleksandar Dragovic,/aleksandar-dragovic/profil/spieler/59032
1718,Red card suspension,Premier League,2017-08-27,2017-09-24,28,3,Miguel Britos,/miguel-britos/profil/spieler/76799
1718,Suspension through sports court,Premier League,2017-09-27,2017-10-21,24,3,Tomer Hemed,/tomer-hemed/profil/spieler/112668
1718,Yellow card suspension,Premier League 2,2017-10-23,2017-10-30,7,1,Beni Baningime,/beni-baningime/profil/spieler/399369
1718,Suspension through sports court,Premier League,2017-12-20,2017-12-31,11,3,James Tarkowski,/james-tarkowski/profil/spieler/173504
1718,Red card suspension,Premier League,2017-08-14,2017-09-11,28,3,Gary Cahill,/gary-cahill/profil/spieler/27511
1718,Indirect card suspension,Premier League,2017-08-21,2017-08-28,7,1,Kyle Walker,/kyle-walker/profil/spieler/95424
1718,No eligibility,Premier League,2017-08-31,2018-01-01,123,19,Adrien Silva,/adrien-silva/profil/spieler/56810
1718,No eligibility,EFL Cup,2017-08-31,2018-01-01,123,3,Adrien Silva,/adrien-silva/profil/spieler/56810
1718,Red card suspension,Premier League,2017-12-04,2017-12-18,14,3,Paul Pogba,/paul-pogba/profil/spieler/122153
1718,Yellow card suspension,World Cup qualification Europe,2017-09-04,2017-10-08,34,1,Paul Pogba,/paul-pogba/profil/spieler/122153
1718,Indirect card suspension,Premier League,2018-05-06,2018-05-08,2,1,Maya Yoshida,/maya-yoshida/profil/spieler/81789
1718,Red card suspension,,2018-01-15,2018-02-04,20,,Didier Ndong,/didier-ndong/profil/spieler/210081
1718,Red card suspension, ,2017-09-10,2017-09-24,14,3,Sadio Mané,/sadio-mane/profil/spieler/200512
1718,Red card suspension, ,2017-12-19,2018-01-03,15,4,Troy Deeney,/troy-deeney/profil/spieler/65477
