name,full_name,season,team_id
ARS,Arsenal,2021,1
AVL,Aston Villa,2021,2
BHA,Brighton,2021,3
BUR,Burnley,2021,4
CHE,Chelsea,2021,5
CRY,Crystal Palace,2021,6
EVE,Everton,2021,7
FUL,Fulham,2021,8
LEI,Leicester,2021,9
LEE,Leeds,2021,10
LIV,Liverpool,2021,11
MCI,Man City,2021,12
MUN,Man Utd,2021,13
NEW,Newcastle,2021,14
SHU,Sheffield Utd,2021,15
SOU,Southampton,2021,16
TOT,Spurs,2021,17
WBA,West Brom,2021,18
WHU,West Ham,2021,19
WOL,Wolves,2021,20
