date,home_team,away_team,home_score,away_score,gameweek
2024-08-16T19:00:00Z,Man Utd,Fulham,1,0,1
2024-08-17T11:30:00Z,Ipswich,Liverpool,0,2,1
2024-08-17T14:00:00Z,Arsenal,Wolves,2,0,1
2024-08-17T14:00:00Z,Everton,Brighton,0,3,1
2024-08-17T14:00:00Z,Newcastle,Southampton,1,0,1
2024-08-17T14:00:00Z,Nott'm Forest,Bournemouth,1,1,1
2024-08-17T16:30:00Z,West Ham,Aston Villa,1,2,1
2024-08-18T13:00:00Z,Brentford,Crystal Palace,2,1,1
2024-08-18T15:30:00Z,Chelsea,Man City,0,2,1
2024-08-19T19:00:00Z,Leicester,Spurs,1,1,1
2024-08-24T11:30:00Z,Brighton,Man Utd,2,1,2
2024-08-24T14:00:00Z,Crystal Palace,West Ham,0,2,2
2024-08-24T14:00:00Z,Fulham,Leicester,2,1,2
2024-08-24T14:00:00Z,Man City,Ipswich,4,1,2
2024-08-24T14:00:00Z,Southampton,Nott'm Forest,0,1,2
2024-08-24T14:00:00Z,Spurs,Everton,4,0,2
2024-08-24T16:30:00Z,Aston Villa,Arsenal,0,2,2
2024-08-25T13:00:00Z,Bournemouth,Newcastle,1,1,2
2024-08-25T13:00:00Z,Wolves,Chelsea,2,6,2
2024-08-25T15:30:00Z,Liverpool,Brentford,2,0,2
2024-08-31T11:30:00Z,Arsenal,Brighton,1,1,3
2024-08-31T14:00:00Z,Brentford,Southampton,3,1,3
2024-08-31T14:00:00Z,Everton,Bournemouth,2,3,3
2024-08-31T14:00:00Z,Ipswich,Fulham,1,1,3
2024-08-31T14:00:00Z,Leicester,Aston Villa,1,2,3
2024-08-31T14:00:00Z,Nott'm Forest,Wolves,1,1,3
2024-08-31T16:30:00Z,West Ham,Man City,1,3,3
2024-09-01T12:30:00Z,Chelsea,Crystal Palace,1,1,3
2024-09-01T12:30:00Z,Newcastle,Spurs,2,1,3
2024-09-01T15:00:00Z,Man Utd,Liverpool,0,3,3
2024-09-14T11:30:00Z,Southampton,Man Utd,0,3,4
