season,details,from,until,days,games,reason,player,url
2223,Transferred to RWDM,2022-08-26,2023-01-28,,,Transfer,Luke Plange,/luke-plange/profil/spieler/586986
2223,Transferred to Lincoln City,2023-01-30,2023-05-30,,,Transfer,Luke Plange,/luke-plange/profil/spieler/586986
2223,Heel Bone Injury,2022-12-30,2023-03-01,61,12,injury,Matt Targett,/matt-targett/profil/spieler/250478
2223,Dead Leg,2022-08-06,2022-08-23,17,3,injury,Matt Targett,/matt-targett/profil/spieler/250478
2223,Calf Injury,2022-11-12,2023-01-10,59,5,injury,Ruben Loftus-Cheek,/ruben-loftus-cheek/profil/spieler/202886
2223,Hamstring Injury,2023-02-11,2023-05-28,106,17,injury,Willy Boly,/willy-boly/profil/spieler/142310
2223,Ligament Injury,2023-02-27,2023-04-10,42,7,injury,Thiago Silva,/thiago-silva/profil/spieler/29241
2223,Knee Injury,2023-02-26,2023-04-10,43,8,injury,Thiago Silva,/thiago-silva/profil/spieler/29241
2223,Transferred to Bristol City,2022-07-01,2023-01-26,,,Transfer,Antoine Semenyo,/antoine-semenyo/profil/spieler/583255
2223,Hamstring Injury,2023-05-03,2023-05-16,13,4,injury,Vladimir Coufal,/vladimir-coufal/profil/spieler/157672
2223,Knock,2023-05-22,2023-05-31,9,2,injury,Joelinton,/joelinton/profil/spieler/333241
2223,Yellow card suspension,2023-03-04,2023-03-18,14,2,suspension,Joelinton,/joelinton/profil/spieler/333241
2223,Hamstring Injury,2023-01-02,2023-02-12,41,7,injury,Virgil van Dijk,/virgil-van-dijk/profil/spieler/139208
2223,Leg Injury,2023-02-05,2023-02-20,15,4,injury,Antony,/antony/profil/spieler/602105
2223,Unknown Injury,2022-10-28,2022-11-23,26,5,injury,Antony,/antony/profil/spieler/602105
2223,Transferred to Ajax,2022-07-01,2022-08-29,,,Transfer,Antony,/antony/profil/spieler/602105
2223,Red card suspension,2022-09-19,2022-10-17,28,3,suspension,Nathan Collins,/nathan-collins/profil/spieler/469050
2223,Transferred to Burnley,2022-07-01,2022-07-11,,,Transfer,Nathan Collins,/nathan-collins/profil/spieler/469050
2223,Hamstring Injury,2022-12-27,2023-01-16,20,6,injury,Jesse Lingard,/jesse-lingard/profil/spieler/141660
2223,Hamstring Injury,2023-01-13,2023-02-13,31,4,injury,Denis Zakaria,/denis-zakaria/profil/spieler/334526
2223,Transferred to Juventus,2022-07-01,2022-08-31,,,Transfer,Denis Zakaria,/denis-zakaria/profil/spieler/334526
2223,Transferred to Juventus,2023-06-30,2023-06-30,,,Transfer,Denis Zakaria,/denis-zakaria/profil/spieler/334526
