team_name,att,mid,defn,ovr
Arsenal,86,85,84,84
Liverpool,87,84,83,84
Manchester City,87,84,82,84
Aston Villa,82,81,80,81
Chelsea,82,84,79,81
Newcastle United,79,84,80,81
Manchester United,82,82,79,80
Tottenham Hotspur,79,80,80,80
Nottingham Forest,79,78,80,79
Crystal Palace,79,78,79,79
Everton,76,78,77,78
Fulham,78,78,78,78
Brighton & Hove Albion,80,79,78,78
Brentford,81,78,77,78
Bournemouth,79,78,77,78
West Ham United,76,78,77,77
Sunderland,76,78,78,77
Leeds United,76,77,76,76
Wolverhampton Wanderers,74,75,74,75
Burnley,75,74,75,75
Coventry City,73,73,72,73
Ipswich Town,69,73,74,73
Middlesbrough,70,72,72,72
Southampton,74,72,72,72
Swansea City,72,70,72,71
Hull City,74,71,71,71
Leicester City,68,72,70,71
Sheffield United,71,72,71,71
Norwich City,70,70,69,70
West Bromwich Albion,70,70,69,70
Watford,68,71,69,70
Derby County,74,70,69,70
Stoke City,68,70,70,70
Queens Park Rangers,67,70,70,70
Luton Town,68,67,68,68
Cardiff City,66,67,68,68
Huddersfield Town,66,67,66,67
