name,full_name,season,team_id
ARS,Arsenal,1920,1
AVL,Aston Villa,1920,2
BOU,Bournemouth,1920,3
BHA,Brighton and Hove Albion,1920,4
BUR,Burnley,1920,5
CHE,Chelsea,1920,6
CRY,Crystal Palace,1920,7
EVE,Everton,1920,8
LEI,Leicester City,1920,9
LIV,Liverpool,1920,10
MCI,Manchester City,1920,11
MUN,Manchester United,1920,12
NEW,Newcastle United,1920,13
NOR,Norwich City,1920,14
SHU,Sheffield United,1920,15
SOU,Southampton,1920,16
TOT,Tottenham Hotspur,1920,17
WAT,Watford,1920,18
WHU,West Ham United,1920,19
WOL,Wolves,1920,20
