season,details,from,until,days,games,reason,player,url
2021,Virus Infection,2021-01-05,2021-01-18,13,2,injury,Sam Johnstone,/sam-johnstone/profil/spieler/110864
2021,Transferred to Vitesse U17,2020-08-01,2020-08-02,,,Transfer,Sil Swinkels,/sil-swinkels/profil/spieler/646710
2021,Knock,2021-01-21,2021-01-22,1,,injury,Matt Targett,/matt-targett/profil/spieler/250478
2021,Knock,2020-07-31,2020-09-13,44,2,injury,Ruben Loftus-Cheek,/ruben-loftus-cheek/profil/spieler/202886
2021,Quarantine,2021-01-09,2021-01-19,10,2,injury,Mohamed Elyounoussi,/mohamed-elyounoussi/profil/spieler/186644
2021,Transferred to Celtic,2020-08-01,2021-05-30,,,Transfer,Mohamed Elyounoussi,/mohamed-elyounoussi/profil/spieler/186644
2021,Corona virus,2021-04-01,2021-04-15,14,2,injury,Willy Boly,/willy-boly/profil/spieler/142310
2021,Bruise,2021-02-03,2021-02-28,25,5,injury,Willy Boly,/willy-boly/profil/spieler/142310
2021,Muscle Injury,2020-12-26,2021-01-15,20,5,injury,Willy Boly,/willy-boly/profil/spieler/142310
2021,Thigh Problems,2021-02-05,2021-03-07,30,7,injury,Thiago Silva,/thiago-silva/profil/spieler/29241
2021,Knock,2020-09-10,2020-09-22,12,2,injury,Thiago Silva,/thiago-silva/profil/spieler/29241
2021,Indirect card suspension,2021-04-05,2021-04-11,6,1,suspension,Thiago Silva,/thiago-silva/profil/spieler/29241
2021,Transferred to Paris SG,2020-08-01,2020-08-27,,,Transfer,Thiago Silva,/thiago-silva/profil/spieler/29241
2021,Hamstring Injury,2021-02-10,2021-02-18,8,2,injury,Matej Vydra,/matej-vydra/profil/spieler/101500
2021,Back Injury,2020-12-18,2021-01-11,24,4,injury,Matej Vydra,/matej-vydra/profil/spieler/101500
2021,Knee Injury,2020-10-01,2020-10-25,24,2,injury,Matthew Lowton,/matthew-lowton/profil/spieler/102258
2021,Transferred to Slavia Prague,2020-08-01,2020-10-01,,,Transfer,Vladimir Coufal,/vladimir-coufal/profil/spieler/157672
2021,Transferred to Lincoln City,2020-10-15,2021-01-13,,,Transfer,Robbie Gotts,/robbie-gotts/profil/spieler/534698
2021,Transferred to Salford,2021-01-15,2021-05-30,,,Transfer,Robbie Gotts,/robbie-gotts/profil/spieler/534698
2021,Groin Injury,2020-11-02,2020-11-27,25,2,injury,Leandro Trossard,/leandro-trossard/profil/spieler/144028
2021,Knock,2020-12-30,2021-01-20,21,3,injury,Bailey Peacock-Farrell,/bailey-peacock-farrell/profil/spieler/410436
2021,Hip Injury,2020-10-13,2020-10-25,12,1,injury,Bailey Peacock-Farrell,/bailey-peacock-farrell/profil/spieler/410436
2021,Transferred to Swindon Town,2020-09-21,2021-01-06,,,Transfer,Jordan Stevens,/jordan-stevens/profil/spieler/533913
2021,Transferred to Bradford,2021-01-08,2021-05-30,,,Transfer,Jordan Stevens,/jordan-stevens/profil/spieler/533913
2021,Cruciate Ligament Rupture,2020-10-19,2021-06-30,254,45,injury,Virgil van Dijk,/virgil-van-dijk/profil/spieler/139208
2021,Suspended,2020-09-11,2020-09-28,17,3,suspension,Dan Barlaser,/dan-barlaser/profil/spieler/256773
2021,Transferred to Rotherham,2020-10-02,2021-06-30,,,Transfer,Dan Barlaser,/dan-barlaser/profil/spieler/256773
2021,Head Injury,2021-02-11,2021-02-15,4,1,injury,Issa Diop,/issa-diop/profil/spieler/272622
2021,Bruise,2021-01-04,2021-01-14,10,1,injury,Issa Diop,/issa-diop/profil/spieler/272622
2021,Corona virus,2020-09-21,2020-10-15,24,4,injury,Issa Diop,/issa-diop/profil/spieler/272622
2021,Chest injury,2020-11-24,2020-12-13,19,3,injury,Phil Bardsley,/phil-bardsley/profil/spieler/15773
2021,Virus Infection,2020-10-21,2020-11-05,15,2,injury,Phil Bardsley,/phil-bardsley/profil/spieler/15773
2021,Bruise,2020-10-17,2020-12-01,45,10,injury,Jesse Lingard,/jesse-lingard/profil/spieler/141660
2021,No eligibility,2021-03-14,2021-03-14,0,1,absence,Jesse Lingard,/jesse-lingard/profil/spieler/141660
2021,Thigh Muscle Strain,2021-01-28,2021-02-08,11,3,injury,Wilfred Ndidi,/wilfred-ndidi/profil/spieler/274839
2021,Tear in the abductor muscle,2020-09-21,2020-12-03,73,14,injury,Wilfred Ndidi,/wilfred-ndidi/profil/spieler/274839
2021,Calf Injury,2021-01-15,2021-02-01,17,4,injury,Dani Ceballos,/dani-ceballos/profil/spieler/319745
2021,Ankle Injury,2020-10-18,2020-10-24,6,1,injury,Dani Ceballos,/dani-ceballos/profil/spieler/319745
