season,details,from,until,days,games,reason,player,url
1819,Knock,2019-02-10,2019-02-25,15,1,injury,Lewis Dunk,/lewis-dunk/profil/spieler/148153
1819,Ankle Injury,2018-08-20,2018-08-31,11,2,injury,Lewis Dunk,/lewis-dunk/profil/spieler/148153
1819,Indirect card suspension,2018-12-23,2018-12-27,4,1,suspension,Lewis Dunk,/lewis-dunk/profil/spieler/148153
1819,Ankle Injury,2018-09-24,2018-09-30,6,1,injury,Sofiane Boufal,/sofiane-boufal/profil/spieler/232271
1819,Transferred to Celta de Vigo,2018-07-20,2019-06-29,,,Transfer,Sofiane Boufal,/sofiane-boufal/profil/spieler/232271
1819,Ankle Injury,2019-01-13,2019-02-09,27,4,injury,Guido Carrillo,/guido-carrillo/profil/spieler/184672
1819,Transferred to CD Leganés,2018-07-08,2019-06-29,,,Transfer,Guido Carrillo,/guido-carrillo/profil/spieler/184672
1819,Concussion,2019-04-27,2019-05-12,15,3,injury,Denis Odoi,/denis-odoi/profil/spieler/59641
1819,Indirect card suspension,2018-05-28,2018-08-20,84,2,suspension,Denis Odoi,/denis-odoi/profil/spieler/59641
1819,Virus Infection,2019-01-31,2019-02-10,10,2,injury,Rúben Vinagre,/ruben-vinagre/profil/spieler/357158
1819,Back Injury,2018-12-17,2019-01-02,16,3,injury,Alberto Moreno,/alberto-moreno/profil/spieler/207917
1819,Back Injury,2019-02-10,2019-02-25,15,1,injury,Alex Pritchard,/alex-pritchard/profil/spieler/200777
1819,Knock,2018-12-02,2018-12-03,1,,injury,Alex Pritchard,/alex-pritchard/profil/spieler/200777
1819,Strain,2019-03-10,2019-05-11,62,11,injury,Erik Lamela,/erik-lamela/profil/spieler/111630
1819,Calf Injury,2018-12-27,2019-01-12,16,4,injury,Erik Lamela,/erik-lamela/profil/spieler/111630
1819,Strain,2018-11-29,2018-12-14,15,4,injury,Erik Lamela,/erik-lamela/profil/spieler/111630
1819,Hamstring Injury,2018-08-27,2018-09-14,18,2,injury,Erik Lamela,/erik-lamela/profil/spieler/111630
1819,Knock,2018-07-26,2018-08-17,22,1,injury,Erik Lamela,/erik-lamela/profil/spieler/111630
1819,Groin Injury,2019-02-10,2019-04-12,61,7,injury,Steve Cook,/steve-cook/profil/spieler/90836
1819,Transferred to Hibernian FC,2018-07-02,2019-05-30,,,Transfer,Ádám Bogdán,/adam-bogdan/profil/spieler/55247
1819,Ligament Injury,2019-04-10,2019-05-31,51,9,injury,Harry Kane,/harry-kane/profil/spieler/132098
1819,Torn Ankle Ligament,2019-01-14,2019-02-23,40,8,injury,Harry Kane,/harry-kane/profil/spieler/132098
1819,Back Injury,2018-07-04,2018-07-06,2,,injury,Harry Kane,/harry-kane/profil/spieler/132098
1819,Knock,2019-04-07,2019-04-14,7,2,injury,Bernardo Silva,/bernardo-silva/profil/spieler/241641
1819,Knock,2018-11-19,2018-11-30,11,2,injury,Bernardo Silva,/bernardo-silva/profil/spieler/241641
1819,Transferred to Vozdovac,2018-07-01,2019-01-07,,,Transfer,Filip Stuparevic,/filip-stuparevic/profil/spieler/442337
1819,Transferred to Vozdovac,2019-01-14,2019-06-29,,,Transfer,Filip Stuparevic,/filip-stuparevic/profil/spieler/442337
1819,Transferred to Oldham Athletic,2018-07-30,2019-01-06,,,Transfer,Sam Surridge,/sam-surridge/profil/spieler/398402
1819,Knock,2019-02-25,2019-03-30,33,3,injury,Sullay Kaikai,/sullay-kaikai/profil/spieler/244130
1819,Transferred to NAC Breda,2019-01-21,2019-06-30,,,Transfer,Sullay Kaikai,/sullay-kaikai/profil/spieler/244130
1819,Groin Injury,2019-04-16,2019-05-03,17,2,injury,Victor Moses,/victor-moses/profil/spieler/59866
1819,Back trouble,2018-11-27,2018-12-03,6,2,injury,Victor Moses,/victor-moses/profil/spieler/59866
1819,Transferred to Fenerbahce,2019-01-25,2019-06-30,,,Transfer,Victor Moses,/victor-moses/profil/spieler/59866
1819,Ankle Injury,2019-01-06,2019-02-01,26,4,injury,Charlie Austin,/charlie-austin/profil/spieler/129627
1819,Shoulder Injury,2018-10-28,2018-11-03,6,,injury,Charlie Austin,/charlie-austin/profil/spieler/129627
1819,Knee Injury,2019-03-31,2019-04-14,14,2,injury,Isaac Success,/isaac-success/profil/spieler/295331
1819,Hamstring Injury,2019-02-01,2019-02-26,25,4,injury,Isaac Success,/isaac-success/profil/spieler/295331
1819,Transferred to Aston Villa,2018-08-25,2019-01-20,,,Transfer,Yannick Bolasie,/yannick-bolasie/profil/spieler/75471
1819,Transferred to RSC Anderlecht,2019-01-31,2019-06-29,,,Transfer,Yannick Bolasie,/yannick-bolasie/profil/spieler/75471
1819,Hamstring Injury,2018-12-31,2019-01-01,1,,injury,Nathan Aké,/nathan-ake/profil/spieler/177476
1819,Toe Injury,2018-08-04,2018-08-10,6,,injury,Nathan Aké,/nathan-ake/profil/spieler/177476
1819,Bruise,2019-02-11,2019-02-25,14,1,injury,Ben Chilwell,/ben-chilwell/profil/spieler/316125
1819,Knee Injury,2018-12-10,2018-12-20,10,2,injury,Ben Chilwell,/ben-chilwell/profil/spieler/316125
1819,Knock,2019-05-06,2019-05-11,5,1,injury,Alex Oxlade-Chamberlain,/alex-oxlade-chamberlain/profil/spieler/143424
1819,Hamstring Injury,2019-03-09,2019-04-12,34,6,injury,Alex Oxlade-Chamberlain,/alex-oxlade-chamberlain/profil/spieler/143424
1819,Knock,2019-01-24,2019-03-04,39,3,injury,Danilo Pantic,/danilo-pantic/profil/spieler/222830
1819,Hamstring Injury,2018-10-22,2018-11-01,10,3,injury,Danilo Pantic,/danilo-pantic/profil/spieler/222830
1819,Transferred to Partizan,2018-07-01,2019-06-29,,,Transfer,Danilo Pantic,/danilo-pantic/profil/spieler/222830
1819,Knee Injury,2019-07-15,2019-08-12,28,1,injury,Antonio Rüdiger,/antonio-rudiger/profil/spieler/86202
1819,Knee Surgery,2019-04-29,2019-06-03,35,5,injury,Antonio Rüdiger,/antonio-rudiger/profil/spieler/86202
1819,Minor Knock,2019-04-15,2019-04-29,14,3,injury,Antonio Rüdiger,/antonio-rudiger/profil/spieler/86202
1819,Knee Injury,2019-01-31,2019-02-04,4,1,injury,Antonio Rüdiger,/antonio-rudiger/profil/spieler/86202
1819,Groin Strain,2018-10-08,2018-10-22,14,1,injury,Antonio Rüdiger,/antonio-rudiger/profil/spieler/86202
1819,Groin Injury,2018-09-24,2018-10-01,7,2,injury,Antonio Rüdiger,/antonio-rudiger/profil/spieler/86202
1819,Transferred to Jumilla,2018-07-01,2019-06-29,,,Transfer,Ming-Yang Yang,/ming-yang-yang/profil/spieler/184382
1819,Tibia Fracture,2018-12-14,2019-05-05,142,19,injury,Obbi Oulare,/obbi-oulare/profil/spieler/314959
1819,Fitness,2018-10-02,2018-11-23,52,9,injury,Obbi Oulare,/obbi-oulare/profil/spieler/314959
1819,Transferred to Standard Liège,2018-08-23,2019-06-29,,,Transfer,Obbi Oulare,/obbi-oulare/profil/spieler/314959
1819,Neck Injury,2019-03-03,2019-03-10,7,,injury,Markus Suttner,/markus-suttner/profil/spieler/31514
1819,Transferred to F. Düsseldorf,2019-01-18,2019-06-29,,,Transfer,Markus Suttner,/markus-suttner/profil/spieler/31514
1819,Hamstring Injury,2018-12-08,2019-01-12,35,8,injury,Tommy Smith,/tommy-smith/profil/spieler/121398
1819,Groin Injury,2018-11-03,2018-11-05,2,1,injury,Tommy Smith,/tommy-smith/profil/spieler/121398
1819,Red card suspension,2019-02-24,2019-03-10,14,3,suspension,Tommy Smith,/tommy-smith/profil/spieler/121398
1819,Muscle Injury,2019-05-01,2019-05-10,9,1,injury,Douglas Luiz,/douglas-luiz/profil/spieler/447661
1819,Muscle Injury,2019-03-07,2019-04-01,25,3,injury,Douglas Luiz,/douglas-luiz/profil/spieler/447661
1819,Muscle Injury,2018-11-01,2018-12-01,30,3,injury,Douglas Luiz,/douglas-luiz/profil/spieler/447661
1819,Transferred to Girona,2018-07-01,2019-06-29,,,Transfer,Douglas Luiz,/douglas-luiz/profil/spieler/447661
1819,Ill,2019-04-16,2019-04-25,9,2,injury,Dejan Lovren,/dejan-lovren/profil/spieler/37838
1819,Muscle Injury,2019-02-01,2019-03-09,36,6,injury,Dejan Lovren,/dejan-lovren/profil/spieler/37838
1819,Hamstring Injury,2019-01-08,2019-01-29,21,2,injury,Dejan Lovren,/dejan-lovren/profil/spieler/37838
1819,Concussion,2018-12-01,2018-12-10,9,3,injury,Dejan Lovren,/dejan-lovren/profil/spieler/37838
1819,Pelvis Injury,2018-07-15,2018-09-25,72,7,injury,Dejan Lovren,/dejan-lovren/profil/spieler/37838
1819,Ankle Injury,2019-03-18,2019-03-26,8,,injury,Marcus Rashford,/marcus-rashford/profil/spieler/258923
1819,Transferred to Birmingham,2018-08-07,2019-01-26,,,Transfer,Omar Bogle,/omar-bogle/profil/spieler/134657
1819,Transferred to Portsmouth,2019-01-28,2019-05-30,,,Transfer,Omar Bogle,/omar-bogle/profil/spieler/134657
1819,Hamstring Injury,2019-01-04,2019-01-12,8,2,injury,Sandro Ramírez,/sandro-ramirez/profil/spieler/199369
1819,Hamstring Injury,2018-12-27,2019-01-17,21,4,injury,Sandro Ramírez,/sandro-ramirez/profil/spieler/199369
1819,Stretched Ligament,2018-09-11,2018-09-28,17,3,injury,Sandro Ramírez,/sandro-ramirez/profil/spieler/199369
1819,Muscular problems,2018-08-30,2018-09-06,7,1,injury,Sandro Ramírez,/sandro-ramirez/profil/spieler/199369
1819,Transferred to Real Sociedad,2018-08-30,2019-06-29,,,Transfer,Sandro Ramírez,/sandro-ramirez/profil/spieler/199369
1819,Transferred to Atlético-MG,2018-07-23,2019-06-30,,,Transfer,Nathan,/nathan/profil/spieler/294798
1819,Transferred to Feyenoord,2018-07-25,2019-06-29,,,Transfer,Jordy Clasie,/jordy-clasie/profil/spieler/104223
1819,Knock,2018-08-04,2018-08-11,7,1,injury,Chris Wood,/chris-wood/profil/spieler/108725
1819,Knee Injury,2019-03-17,2019-03-29,12,,injury,Nicolás Otamendi,/nicolas-otamendi/profil/spieler/54781
1819,Achilles tendon problems,2018-11-10,2018-11-23,13,1,injury,Nicolás Otamendi,/nicolas-otamendi/profil/spieler/54781
1819,Knock,2018-10-30,2018-11-06,7,2,injury,Nicolás Otamendi,/nicolas-otamendi/profil/spieler/54781
1819,Abdominal Strain,2018-12-29,2019-04-20,112,17,injury,Mario Lemina,/mario-lemina/profil/spieler/170934
1819,Abdominal Strain,2018-12-15,2018-12-21,6,1,injury,Mario Lemina,/mario-lemina/profil/spieler/170934
1819,Thigh Muscle Strain,2018-11-05,2018-11-09,4,,injury,Mario Lemina,/mario-lemina/profil/spieler/170934
1819,Knee Injury,2018-10-21,2018-10-26,5,,injury,Mario Lemina,/mario-lemina/profil/spieler/170934
1819,Transferred to FC Lorient,2018-08-29,2019-06-29,,,Transfer,Jason Lokilo,/jason-lokilo/profil/spieler/325200
1819,Knock,2019-02-18,2019-02-22,4,,injury,Matt Doherty,/matt-doherty/profil/spieler/171679
1819,Facial Fracture,2018-11-12,2018-11-24,12,,injury,Matt Doherty,/matt-doherty/profil/spieler/171679
1819,Knock,2018-08-19,2018-08-24,5,,injury,Matt Doherty,/matt-doherty/profil/spieler/171679
1819,Hamstring Injury,2019-04-01,2019-04-28,27,7,injury,Marcos Alonso,/marcos-alonso/profil/spieler/112515
1819,Back Injury,2018-12-03,2018-12-04,1,,injury,Marcos Alonso,/marcos-alonso/profil/spieler/112515
1819,Hamstring Injury,2019-04-28,2019-05-31,33,2,injury,Dominic Solanke,/dominic-solanke/profil/spieler/258889
1819,Strain,2019-02-24,2019-03-08,12,2,injury,Dominic Solanke,/dominic-solanke/profil/spieler/258889
1819,Hamstring Injury,2018-12-23,2019-01-30,38,8,injury,Dominic Solanke,/dominic-solanke/profil/spieler/258889
1819,Groin Strain,2018-11-25,2019-01-29,65,6,injury,Dominic Solanke,/dominic-solanke/profil/spieler/258889
1819,Concussion,2018-09-16,2018-09-25,9,2,injury,Dominic Solanke,/dominic-solanke/profil/spieler/258889
1819,Ankle Injury,2019-05-05,2019-06-10,36,2,injury,Alexis Sánchez,/alexis-sanchez/profil/spieler/40433
1819,Knee Injury,2019-03-02,2019-04-14,43,8,injury,Alexis Sánchez,/alexis-sanchez/profil/spieler/40433
1819,Thigh Problems,2019-01-05,2019-01-18,13,2,injury,Alexis Sánchez,/alexis-sanchez/profil/spieler/40433
1819,Hamstring Injury,2018-11-29,2018-12-31,32,8,injury,Alexis Sánchez,/alexis-sanchez/profil/spieler/40433
1819,Groin Injury,2018-10-21,2018-10-27,6,1,injury,Alexis Sánchez,/alexis-sanchez/profil/spieler/40433
1819,Knock,2018-08-17,2018-08-26,9,1,injury,Alexis Sánchez,/alexis-sanchez/profil/spieler/40433
1819,Hamstring Injury,2019-01-03,2019-02-06,34,7,injury,Bernardo,/bernardo/profil/spieler/364258
1819,Transferred to RB Leipzig,2018-07-01,2018-07-04,,,Transfer,Bernardo,/bernardo/profil/spieler/364258
1819,Dental Surgery,2019-04-26,2019-05-06,10,2,injury,Miguel Britos,/miguel-britos/profil/spieler/76799
1819,Ill,2019-02-25,2019-03-04,7,2,injury,Miguel Britos,/miguel-britos/profil/spieler/76799
1819,Ankle Injury,2019-02-10,2019-02-25,15,1,injury,Solly March,/solly-march/profil/spieler/209212
1819,Transferred to Livingston FC,2019-01-24,2019-05-30,,,Transfer,Ciaron Brown,/ciaron-brown/profil/spieler/611845
1819,Achilles tendon rupture,2019-04-22,2019-09-12,143,12,injury,Callum Hudson-Odoi,/callum-hudson-odoi/profil/spieler/392768
1819,Transferred to Sheff Wed,2019-01-31,2019-05-30,,,Transfer,Achraf Lazaar,/achraf-lazaar/profil/spieler/139173
1819,Knock,2018-10-04,2018-10-08,4,1,injury,James Wilson,/james-wilson/profil/spieler/214104
1819,Knee Injury,2018-08-16,2018-09-21,36,4,injury,James Wilson,/james-wilson/profil/spieler/214104
1819,Transferred to Aberdeen FC,2018-08-13,2019-05-19,,,Transfer,James Wilson,/james-wilson/profil/spieler/214104
1819,Nose Injury,2019-04-22,2019-04-29,7,2,injury,Pierre-Emerick Aubameyang,/pierre-emerick-aubameyang/profil/spieler/58864
1819,Ill,2019-02-04,2019-02-25,21,4,injury,Pierre-Emerick Aubameyang,/pierre-emerick-aubameyang/profil/spieler/58864
1819,Ill,2018-10-01,2018-10-08,7,2,injury,Pierre-Emerick Aubameyang,/pierre-emerick-aubameyang/profil/spieler/58864
1819,Back Injury,2019-04-11,2019-04-15,4,1,injury,Georginio Wijnaldum,/georginio-wijnaldum/profil/spieler/49499
1819,Knee Injury,2019-01-31,2019-02-11,11,2,injury,Georginio Wijnaldum,/georginio-wijnaldum/profil/spieler/49499
1819,Knock,2019-01-10,2019-01-31,21,3,injury,Georginio Wijnaldum,/georginio-wijnaldum/profil/spieler/49499
1819,Knock,2018-09-20,2018-10-01,11,3,injury,Georginio Wijnaldum,/georginio-wijnaldum/profil/spieler/49499
