name,full_name,season,team_id
ARS,Arsenal,1516,1
AVL,Aston Villa,1516,2
BOU,Bournemouth,1516,3
CHE,Chelsea,1516,4
CRY,Crystal Palace,1516,5
EVE,Everton,1516,6
LEI,Leicester City,1516,7
LIV,Liverpool,1516,8
MCI,Manchester City,1516,9
MUN,Manchester United,1516,10
NEW,Newcastle United,1516,11
NOR,Norwich City,1516,12
SOU,Southampton,1516,13
STK,Stoke City,1516,14
SUN,Sunderland,1516,15
SWA,Swansea City,1516,16
TOT,Tottenham Hotspur,1516,17
WAT,Watford,1516,18
WBA,West Bromwich Albion,1516,19
WHU,West Ham United,1516,20
