team_name,att,mid,defn,ovr
Manchester City,85,87,83,85
Spurs,89,83,82,83
Liverpool,85,82,81,83
Chelsea,84,85,82,83
Manchester Utd,84,84,80,83
Arsenal,84,83,81,82
Everton,80,79,78,79
West Ham,80,78,77,78
Leicester City,79,78,77,78
Burnley,77,77,78,78
Crystal Palace,78,76,76,77
Watford,76,78,76,77
Southampton,76,77,77,77
Bournemouth,77,74,76,76
Wolves,76,78,75,76
Fulham,76,77,74,76
Newcastle Utd,76,76,76,76
Brighton,76,76,75,76
Huddersfield,75,75,75,75
Cardiff City,72,74,73,73
Aston Villa,74,73,72,73
Stoke,73,74,74,74
West Bromwich Albion,76,72,75,73
Hull City,69,69,70,70
Sunderland,64,68,68,68
Queens Park Rangers,70,71,70,70
Norwich City,72,71,69,71
Swansea City,71,73,69,72
Middlesbrough,73,72,72,72
