season,details,from,until,days,games,reason,player,url
2425,Hamstring strain,2025-02-05,2025-03-07,31.0,7.0,injury,Facundo Pellistri,/facundo-pellistri/profil/spieler/676318
2425,unknown injury,2024-12-17,2024-12-30,14.0,2.0,injury,Facundo Pellistri,/facundo-pellistri/profil/spieler/676318
2425,Ill,2024-12-10,2024-12-14,5.0,1.0,injury,Facundo Pellistri,/facundo-pellistri/profil/spieler/676318
2425,Transferred to Panathinaikos,2024-08-21,2025-06-30,,,Transfer,Facundo Pellistri,/facundo-pellistri/profil/spieler/676318
2425,Cruciate ligament tear,2024-09-21,2025-08-16,330.0,44.0,injury,Yerson Mosquera,/yerson-mosquera/profil/spieler/716276
2425,Muscle strain,2025-06-29,2025-09-24,88.0,9.0,injury,Roméo Lavia,/romeo-lavia/profil/spieler/628451
2425,Thigh problems,2025-03-17,2025-04-18,33.0,5.0,injury,Roméo Lavia,/romeo-lavia/profil/spieler/628451
2425,Hamstring injury,2025-01-16,2025-03-07,51.0,8.0,injury,Roméo Lavia,/romeo-lavia/profil/spieler/628451
2425,Hamstring injury,2024-12-09,2025-01-07,30.0,7.0,injury,Roméo Lavia,/romeo-lavia/profil/spieler/628451
2425,Hamstring injury,2024-08-23,2024-09-15,24.0,4.0,injury,Roméo Lavia,/romeo-lavia/profil/spieler/628451
2425,Transferred to Man City U18,2024-07-01,2025-06-30,,,Transfer,Kaden Braithwaite,/kaden-braithwaite/profil/spieler/1078156
2425,Ill,2025-04-11,2025-04-15,5.0,1.0,injury,Matt Turner,/matt-turner/profil/spieler/425306
2425,Calf injury,2024-09-09,2024-10-18,40.0,5.0,injury,Carlos Vinícius,/carlos-vinicius/profil/spieler/525287
2425,Calf injury,2025-04-21,2025-05-15,25.0,5.0,injury,Diogo Dalot,/diogo-dalot/profil/spieler/357147
2425,unknown injury,2025-02-03,2025-03-31,57.0,11.0,injury,Altay Bayındır,/altay-bayindir/profil/spieler/336077
2425,Hamstring injury,2024-12-22,2025-03-30,99.0,21.0,injury,Bukayo Saka,/bukayo-saka/profil/spieler/433177
2425,Thigh problems,2024-10-10,2024-10-24,15.0,3.0,injury,Bukayo Saka,/bukayo-saka/profil/spieler/433177
2425,Muscle injury,2024-05-13,2024-05-20,8.0,1.0,injury,Bukayo Saka,/bukayo-saka/profil/spieler/433177
2425,unknown injury,2024-12-20,2025-01-02,14.0,3.0,injury,Matheus Nunes,/matheus-nunes/profil/spieler/601883
2425,unknown injury,2024-11-10,2024-11-19,10.0,2.0,injury,Matheus Nunes,/matheus-nunes/profil/spieler/601883
2425,Transferred to Spurs U18,2024-07-01,2025-06-30,,,Transfer,Malachi Hardy,/malachi-hardy/profil/spieler/1108465
2425,Knock,2024-11-27,2024-12-04,8.0,1.0,injury,Jorge Cuenca,/jorge-cuenca/profil/spieler/494880
2425,Ankle injury,2024-09-26,2024-10-18,23.0,2.0,injury,Jorge Cuenca,/jorge-cuenca/profil/spieler/494880
2425,Transferred to Villarreal,2024-07-01,2024-08-02,,,Transfer,Jorge Cuenca,/jorge-cuenca/profil/spieler/494880
2425,Transferred to Middlesbrough,2024-08-30,2025-01-20,,,Transfer,George Edmundson,/george-edmundson/profil/spieler/385848
2425,Transferred to Middlesbrough,2025-01-25,2025-06-30,,,Transfer,George Edmundson,/george-edmundson/profil/spieler/385848
2425,Muscle injury,2024-12-01,2025-02-10,72.0,16.0,injury,Mark O'Mahony,/mark-omahony/profil/spieler/943549
2425,Transferred to Portsmouth,2024-08-28,2025-05-30,,,Transfer,Mark O'Mahony,/mark-omahony/profil/spieler/943549
2425,Cruciate ligament tear,2024-07-27,2025-06-01,310.0,43.0,injury,Enso González,/enso-gonzalez/profil/spieler/1060740
2425,Achilles tendon surgery,2025-06-02,2025-10-03,124.0,15.0,injury,Mateo Kovacic,/mateo-kovacic/profil/spieler/51471
2425,unknown injury,2024-11-18,2024-12-12,25.0,5.0,injury,Mateo Kovacic,/mateo-kovacic/profil/spieler/51471
2425,Transferred to R. Strasbourg,2024-07-01,2025-05-30,,,Transfer,Andrey Santos,/andrey-santos/profil/spieler/743600
2425,unknown injury,2025-03-15,2025-03-17,3.0,,injury,Bernardo Silva,/bernardo-silva/profil/spieler/241641
2425,Cruciate ligament injury,2025-02-03,2025-11-21,292.0,44.0,injury,Lisandro Martínez,/lisandro-martinez/profil/spieler/480762
2425,Back problems,2024-11-23,2024-11-25,3.0,1.0,injury,Lisandro Martínez,/lisandro-martinez/profil/spieler/480762
2425,unknown injury,2025-04-21,2025-04-28,8.0,1.0,injury,Mikel Merino,/mikel-merino/profil/spieler/338424
2425,Knock,2025-01-24,2025-01-28,5.0,1.0,injury,Mikel Merino,/mikel-merino/profil/spieler/338424
2425,Knee injury,2024-11-28,2024-12-02,5.0,1.0,injury,Mikel Merino,/mikel-merino/profil/spieler/338424
2425,Shoulder injury,2024-08-30,2024-10-01,33.0,8.0,injury,Mikel Merino,/mikel-merino/profil/spieler/338424
2425,Transferred to Real Sociedad,2024-07-01,2024-08-26,,,Transfer,Mikel Merino,/mikel-merino/profil/spieler/338424
2425,Transferred to Levante,2024-07-01,2025-01-20,,,Transfer,Andrés García,/andres-garcia/profil/spieler/1063329
