season,details,from,until,days,games,reason,player,url
1718,Shoulder Injury,2018-05-27,2018-06-14,18,,injury,Mohamed Salah,/mohamed-salah/profil/spieler/148455
1718,Bruised Knee,2018-05-31,2018-06-04,4,,injury,Granit Xhaka,/granit-xhaka/profil/spieler/111455
1718,Flu,2018-04-10,2018-04-15,5,2,injury,Granit Xhaka,/granit-xhaka/profil/spieler/111455
1718,Red card suspension,2017-12-03,2017-12-17,14,3,suspension,Davinson Sánchez,/davinson-sanchez/profil/spieler/341429
1718,Transferred to Ajax,2017-07-01,2017-08-22,,,Transfer,Davinson Sánchez,/davinson-sanchez/profil/spieler/341429
1718,Hamstring Injury,2017-09-05,2017-11-26,82,11,injury,Kasey Palmer,/kasey-palmer/profil/spieler/258216
1718,Transferred to Derby,2018-01-31,2018-05-30,,,Transfer,Kasey Palmer,/kasey-palmer/profil/spieler/258216
1718,Ankle Injury,2017-08-05,2017-08-19,14,1,injury,Kieran Trippier,/kieran-trippier/profil/spieler/95810
1718,Hamstring Injury,2018-01-01,2018-01-12,11,2,injury,Matt Phillips,/matt-phillips/profil/spieler/77274
1718,Hamstring Injury,2017-11-30,2017-12-25,25,5,injury,Matt Phillips,/matt-phillips/profil/spieler/77274
1718,Hamstring Injury,2017-07-29,2017-09-10,43,5,injury,DeAndre Yedlin,/deandre-yedlin/profil/spieler/255916
1718,Thigh Problems,2017-09-22,2017-10-15,23,4,injury,Phil Jagielka,/phil-jagielka/profil/spieler/13520
1718,Hamstring Injury,2018-01-14,2018-01-29,15,4,injury,Cesc Fàbregas,/cesc-fabregas/profil/spieler/8806
1718,Indirect card suspension,2017-08-14,2017-08-21,7,1,suspension,Cesc Fàbregas,/cesc-fabregas/profil/spieler/8806
1718,Ankle Surgery,2018-05-08,2018-07-01,54,2,injury,Joe Gomez,/joe-gomez/profil/spieler/256178
1718,Ankle Injury,2018-03-23,2018-04-20,28,5,injury,Joe Gomez,/joe-gomez/profil/spieler/256178
1718,Hamstring Injury,2018-02-26,2018-03-11,13,3,injury,Fernandinho,/fernandinho/profil/spieler/26267
1718,Yellow card suspension,2018-04-08,2018-04-23,15,2,suspension,Fernandinho,/fernandinho/profil/spieler/26267
1718,Back trouble,2017-09-03,2018-06-30,300,40,injury,Steve Sidwell,/steve-sidwell/profil/spieler/13427
1718,Indirect card suspension,2018-01-18,2018-01-21,3,1,suspension,Pedro,/pedro/profil/spieler/65278
1718,Transferred to CSKA Moscow,2018-01-30,2018-06-29,,,Transfer,Ahmed Musa,/ahmed-musa/profil/spieler/168337
1718,Transferred to Bury,2017-08-25,2018-06-29,,,Transfer,Rohan Ince,/rohan-ince/profil/spieler/141568
1718,Foot Injury,2017-08-01,2017-09-16,46,6,injury,Georges-Kevin N'Koudou,/georges-kevin-nkoudou/profil/spieler/215679
1718,Groin Strain,2018-01-19,2018-02-27,39,9,injury,Leon Britton,/leon-britton/profil/spieler/40043
1718,Groin Injury,2017-10-21,2017-11-18,28,5,injury,Leon Britton,/leon-britton/profil/spieler/40043
1718,Back trouble,2017-08-16,2017-09-10,25,4,injury,Leon Britton,/leon-britton/profil/spieler/40043
1718,Shoulder Injury,2018-03-12,2018-04-02,21,1,injury,Karl Darlow,/karl-darlow/profil/spieler/99397
